item,itemLabel,parentTaxon
http://www.wikidata.org/entity/Q1154570,見沼区,111040
http://www.wikidata.org/entity/Q1357069,月形町,014303
http://www.wikidata.org/entity/Q634022,桐生市,102032
http://www.wikidata.org/entity/Q792819,綾瀬市,142182
http://www.wikidata.org/entity/Q538623,あわら市,182087
http://www.wikidata.org/entity/Q861255,東かがわ市,372072
http://www.wikidata.org/entity/Q15725,いちき串木野市,462195
http://www.wikidata.org/entity/Q271917,釧路市,012068
http://www.wikidata.org/entity/Q1184508,岩槻区,111104
http://www.wikidata.org/entity/Q193638,渋谷区,131130
http://www.wikidata.org/entity/Q1280737,越前町,184233
http://www.wikidata.org/entity/Q1155010,須磨区,281077
http://www.wikidata.org/entity/Q1156212,智頭町,313289
http://www.wikidata.org/entity/Q819620,西予市,382141
http://www.wikidata.org/entity/Q858364,五泉市,152188
http://www.wikidata.org/entity/Q376901,嘉麻市,402273
http://www.wikidata.org/entity/Q935037,小川町,113433
http://www.wikidata.org/entity/Q1346963,松伏町,114651
http://www.wikidata.org/entity/Q1202820,鶴見区,141011
http://www.wikidata.org/entity/Q753864,黒部市,162078
http://www.wikidata.org/entity/Q670189,立山町,163236
http://www.wikidata.org/entity/Q1203680,安堵町,293458
http://www.wikidata.org/entity/Q163888,上尾市,112194
http://www.wikidata.org/entity/Q185238,三芳町,113247
http://www.wikidata.org/entity/Q571051,燕市,152137
http://www.wikidata.org/entity/Q1204648,関川村,155811
http://www.wikidata.org/entity/Q1154580,吉岡町,103454
http://www.wikidata.org/entity/Q868971,幸手市,112402
http://www.wikidata.org/entity/Q165857,所沢市,112089
http://www.wikidata.org/entity/Q1132081,南区,141534
http://www.wikidata.org/entity/Q1203689,芝山町,124095
http://www.wikidata.org/entity/Q1203602,一宮町,124214
http://www.wikidata.org/entity/Q734366,小矢部市,162094
http://www.wikidata.org/entity/Q386508,大月市,192066
http://www.wikidata.org/entity/Q1204524,松川村,204820
http://www.wikidata.org/entity/Q498011,佐倉市,122122
http://www.wikidata.org/entity/Q318047,習志野市,122165
http://www.wikidata.org/entity/Q692857,富里市,122335
http://www.wikidata.org/entity/Q1205612,国見町,073032
http://www.wikidata.org/entity/Q134635,さいたま市,111007
http://www.wikidata.org/entity/Q1204671,阿賀町,153851
http://www.wikidata.org/entity/Q386110,水俣市,432059
http://www.wikidata.org/entity/Q200731,鳥取市,312011
http://www.wikidata.org/entity/Q1130733,緑区,111091
http://www.wikidata.org/entity/Q857310,栗東市,252085
http://www.wikidata.org/entity/Q385252,大木町,405221
http://www.wikidata.org/entity/Q271417,船橋市,122041
http://www.wikidata.org/entity/Q1154797,三宅村,133817
http://www.wikidata.org/entity/Q1203154,黒滝村,294446
http://www.wikidata.org/entity/Q1355406,利尻富士町,015199
http://www.wikidata.org/entity/Q976945,中央区,111058
http://www.wikidata.org/entity/Q41106,熊谷市,112020
http://www.wikidata.org/entity/Q214051,千代田区,131016
http://www.wikidata.org/entity/Q1354815,八丈町,134015
http://www.wikidata.org/entity/Q820760,三原市,342041
http://www.wikidata.org/entity/Q1203580,鋸南町,124630
http://www.wikidata.org/entity/Q242885,三鷹市,132047
http://www.wikidata.org/entity/Q1204292,津南町,154822
http://www.wikidata.org/entity/Q1346914,上野村,103667
http://www.wikidata.org/entity/Q387365,鎌ケ谷市,122246
http://www.wikidata.org/entity/Q232631,杉並区,131156
http://www.wikidata.org/entity/Q877941,越前市,182095
http://www.wikidata.org/entity/Q847601,中間市,402150
http://www.wikidata.org/entity/Q390806,武蔵村山市,132233
http://www.wikidata.org/entity/Q1203751,大鹿村,204170
http://www.wikidata.org/entity/Q598446,坂祝町,215015
http://www.wikidata.org/entity/Q823502,光市,352101
http://www.wikidata.org/entity/Q669633,猪苗代町,074080
http://www.wikidata.org/entity/Q267258,小田原市,142069
http://www.wikidata.org/entity/Q990352,木津川市,262145
http://www.wikidata.org/entity/Q212713,文京区,131059
http://www.wikidata.org/entity/Q235130,北区,131172
http://www.wikidata.org/entity/Q1349667,弥彦村,153427
http://www.wikidata.org/entity/Q653510,吹田市,272051
http://www.wikidata.org/entity/Q1206130,篠栗町,403423
http://www.wikidata.org/entity/Q784402,西会津町,074055
http://www.wikidata.org/entity/Q747362,都留市,192040
http://www.wikidata.org/entity/Q1155194,稲美町,283819
http://www.wikidata.org/entity/Q1211211,中頓別町,015130
http://www.wikidata.org/entity/Q656774,邑楽町,105252
http://www.wikidata.org/entity/Q495821,佐久市,202177
http://www.wikidata.org/entity/Q1354747,甲良町,254428
http://www.wikidata.org/entity/Q264206,郡山市,072036
http://www.wikidata.org/entity/Q1349436,中能登町,174076
http://www.wikidata.org/entity/Q847319,飛騨市,212172
http://www.wikidata.org/entity/Q1156191,新庄村,335860
http://www.wikidata.org/entity/Q853061,三郷市,112372
http://www.wikidata.org/entity/Q1358965,港北区,141097
http://www.wikidata.org/entity/Q390466,阿賀野市,152234
http://www.wikidata.org/entity/Q847598,鯖江市,182079
http://www.wikidata.org/entity/Q1154649,南区,261076
http://www.wikidata.org/entity/Q850465,松浦市,422088
http://www.wikidata.org/entity/Q1075889,若葉区,121045
http://www.wikidata.org/entity/Q637868,旭市,122157
http://www.wikidata.org/entity/Q317847,稲城市,132250
http://www.wikidata.org/entity/Q1203373,緑区,141135
http://www.wikidata.org/entity/Q1203041,原村,203637
http://www.wikidata.org/entity/Q1205034,周防大島町,353051
http://www.wikidata.org/entity/Q1347548,池田町,183822
http://www.wikidata.org/entity/Q1203551,笠松町,213039
http://www.wikidata.org/entity/Q915773,伊奈町,113018
http://www.wikidata.org/entity/Q1075869,中央区,121011
http://www.wikidata.org/entity/Q821337,袋井市,222160
http://www.wikidata.org/entity/Q609350,川西市,282171
http://www.wikidata.org/entity/Q1345966,みなべ町,303917
http://www.wikidata.org/entity/Q1350969,南種子町,465020
http://www.wikidata.org/entity/Q1204453,市川三郷町,193461
http://www.wikidata.org/entity/Q1346952,八百津町,215058
http://www.wikidata.org/entity/Q1347231,川北町,173240
http://www.wikidata.org/entity/Q1155297,播磨町,283827
http://www.wikidata.org/entity/Q1203419,東吾妻町,104299
http://www.wikidata.org/entity/Q592065,宜野湾市,472051
http://www.wikidata.org/entity/Q1354760,野沢温泉村,205630
http://www.wikidata.org/entity/Q320934,久留米市,402036
http://www.wikidata.org/entity/Q452634,天草市,432156
http://www.wikidata.org/entity/Q1207957,瑞穂区,231088
http://www.wikidata.org/entity/Q1203139,三郷町,293431
http://www.wikidata.org/entity/Q1205014,田布施町,353434
http://www.wikidata.org/entity/Q961604,寄居町,114081
http://www.wikidata.org/entity/Q1143712,神奈川区,141020
http://www.wikidata.org/entity/Q191300,善通寺市,372048
http://www.wikidata.org/entity/Q1206868,みやこ町,406252
http://www.wikidata.org/entity/Q191130,金沢市,172014
http://www.wikidata.org/entity/Q1349115,高山村,205435
http://www.wikidata.org/entity/Q137716,中央区,431010
http://www.wikidata.org/entity/Q26600,福岡市,401307
http://www.wikidata.org/entity/Q1344396,中井町,143618
http://www.wikidata.org/entity/Q711739,北区,151017
http://www.wikidata.org/entity/Q1346846,長和町,203505
http://www.wikidata.org/entity/Q857194,湖南市,252115
http://www.wikidata.org/entity/Q1206590,いの町,393860
http://www.wikidata.org/entity/Q1184661,今帰仁村,473065
http://www.wikidata.org/entity/Q374984,南牧村,103837
http://www.wikidata.org/entity/Q1203321,嬬恋村,104256
http://www.wikidata.org/entity/Q542542,北区,111023
http://www.wikidata.org/entity/Q1154583,浦和区,111074
http://www.wikidata.org/entity/Q734541,鴻巣市,112178
http://www.wikidata.org/entity/Q495809,富士見市,112356
http://www.wikidata.org/entity/Q38283,横浜市,141003
http://www.wikidata.org/entity/Q1203393,西区,141038
http://www.wikidata.org/entity/Q838660,茅野市,202142
http://www.wikidata.org/entity/Q1346975,箕輪町,203831
http://www.wikidata.org/entity/Q222825,松川町,204021
http://www.wikidata.org/entity/Q1203741,南伊豆町,223042
http://www.wikidata.org/entity/Q1355625,熱田区,231096
http://www.wikidata.org/entity/Q131287,奈良県,290009
http://www.wikidata.org/entity/Q1132419,南区,401340
http://www.wikidata.org/entity/Q1206602,基山町,413411
http://www.wikidata.org/entity/Q1350873,湧水町,464520
http://www.wikidata.org/entity/Q387336,紫波町,033219
http://www.wikidata.org/entity/Q1203390,茨城町,083020
http://www.wikidata.org/entity/Q734442,草加市,112216
http://www.wikidata.org/entity/Q1345365,皆野町,113620
http://www.wikidata.org/entity/Q208863,八王子市,132012
http://www.wikidata.org/entity/Q209779,相模原市,141500
http://www.wikidata.org/entity/Q1203267,愛川町,144011
http://www.wikidata.org/entity/Q847581,敦賀市,182028
http://www.wikidata.org/entity/Q1131512,南区,221341
http://www.wikidata.org/entity/Q386651,磐田市,222119
http://www.wikidata.org/entity/Q450287,大山崎町,263036
http://www.wikidata.org/entity/Q1155253,多可町,283657
http://www.wikidata.org/entity/Q857234,庄原市,342106
http://www.wikidata.org/entity/Q990431,宮若市,402265
http://www.wikidata.org/entity/Q861519,壱岐市,422100
http://www.wikidata.org/entity/Q519187,白井市,122327
http://www.wikidata.org/entity/Q851097,飯山市,202134
http://www.wikidata.org/entity/Q1204046,揖斐川町,214019
http://www.wikidata.org/entity/Q735175,御殿場市,222151
http://www.wikidata.org/entity/Q80434,愛知県,230006
http://www.wikidata.org/entity/Q1203731,吉野町,294411
http://www.wikidata.org/entity/Q1156158,湯梨浜町,313700
http://www.wikidata.org/entity/Q1156290,宇多津町,373869
http://www.wikidata.org/entity/Q386655,大洲市,382078
http://www.wikidata.org/entity/Q273880,別府市,442020
http://www.wikidata.org/entity/Q407947,姶良市,462250
http://www.wikidata.org/entity/Q702623,与那国町,473821
http://www.wikidata.org/entity/Q1346757,神川町,113832
http://www.wikidata.org/entity/Q86536,狛江市,132195
http://www.wikidata.org/entity/Q524038,戸塚区,141101
http://www.wikidata.org/entity/Q1342787,寒川町,143219
http://www.wikidata.org/entity/Q711716,西区,151076
http://www.wikidata.org/entity/Q499047,佐渡市,152242
http://www.wikidata.org/entity/Q861271,旭区,271179
http://www.wikidata.org/entity/Q985702,住吉区,271209
http://www.wikidata.org/entity/Q424813,赤穂市,282120
http://www.wikidata.org/entity/Q1346858,古座川町,304247
http://www.wikidata.org/entity/Q1155340,矢掛町,334618
http://www.wikidata.org/entity/Q1156223,勝央町,336220
http://www.wikidata.org/entity/Q617375,広島県,340006
http://www.wikidata.org/entity/Q1349028,阿武町,355020
http://www.wikidata.org/entity/Q1350249,砥部町,384020
http://www.wikidata.org/entity/Q1351003,姫島村,443221
http://www.wikidata.org/entity/Q1348951,藤崎町,023612
http://www.wikidata.org/entity/Q636416,那須町,094072
http://www.wikidata.org/entity/Q666317,沼田市,102067
http://www.wikidata.org/entity/Q1358642,嵐山町,113425
http://www.wikidata.org/entity/Q231645,世田谷区,131121
http://www.wikidata.org/entity/Q232628,葛飾区,131229
http://www.wikidata.org/entity/Q370478,山北町,143642
http://www.wikidata.org/entity/Q128849,長野市,202011
http://www.wikidata.org/entity/Q1203136,高森町,204030
http://www.wikidata.org/entity/Q1203050,下條村,204111
http://www.wikidata.org/entity/Q369628,洲本市,282057
http://www.wikidata.org/entity/Q63436,中区,341011
http://www.wikidata.org/entity/Q850359,杵築市,442101
http://www.wikidata.org/entity/Q694317,銚子市,122025
http://www.wikidata.org/entity/Q190088,港区,131032
http://www.wikidata.org/entity/Q877266,胎内市,152277
http://www.wikidata.org/entity/Q581708,粟島浦村,155861
http://www.wikidata.org/entity/Q847543,勝山市,182061
http://www.wikidata.org/entity/Q117077169,浜名区,221392
http://www.wikidata.org/entity/Q241037,沼津市,222038
http://www.wikidata.org/entity/Q1155291,守山区,231134
http://www.wikidata.org/entity/Q845794,高島市,252123
http://www.wikidata.org/entity/Q1197771,伏見区,261092
http://www.wikidata.org/entity/Q1203732,川西町,293610
http://www.wikidata.org/entity/Q842098,橋本市,302031
http://www.wikidata.org/entity/Q851668,行橋市,402133
http://www.wikidata.org/entity/Q784698,川棚町,423220
http://www.wikidata.org/entity/Q877202,志木市,112283
http://www.wikidata.org/entity/Q873546,吉川市,112437
http://www.wikidata.org/entity/Q170616,千葉市,121002
http://www.wikidata.org/entity/Q646755,館山市,122050
http://www.wikidata.org/entity/Q734390,海老名市,142158
http://www.wikidata.org/entity/Q1204269,湯沢町,154610
http://www.wikidata.org/entity/Q1349406,志賀町,173843
http://www.wikidata.org/entity/Q1012064,軽井沢町,203211
http://www.wikidata.org/entity/Q1011157,白馬村,204854
http://www.wikidata.org/entity/Q1345531,垂井町,213616
http://www.wikidata.org/entity/Q653402,下田市,222194
http://www.wikidata.org/entity/Q1203943,木曽岬町,243035
http://www.wikidata.org/entity/Q852018,泉佐野市,272132
http://www.wikidata.org/entity/Q1347173,太子町,273813
http://www.wikidata.org/entity/Q281925,岩美町,313025
http://www.wikidata.org/entity/Q633422,小値賀町,423831
http://www.wikidata.org/entity/Q695895,浦添市,472085
http://www.wikidata.org/entity/Q336438,高崎市,102024
http://www.wikidata.org/entity/Q570333,桶川市,112313
http://www.wikidata.org/entity/Q387211,鴨川市,122238
http://www.wikidata.org/entity/Q1204507,大島町,133612
http://www.wikidata.org/entity/Q857272,塩尻市,202151
http://www.wikidata.org/entity/Q817280,豊明市,232297
http://www.wikidata.org/entity/Q490520,生野区,271161
http://www.wikidata.org/entity/Q686802,中央区,281107
http://www.wikidata.org/entity/Q1156127,日野町,314021
http://www.wikidata.org/entity/Q63446,安芸区,341070
http://www.wikidata.org/entity/Q1351626,黒潮町,394289
http://www.wikidata.org/entity/Q1042291,小倉北区,401064
http://www.wikidata.org/entity/Q924129,美里町,113816
http://www.wikidata.org/entity/Q207881,市原市,122190
http://www.wikidata.org/entity/Q1153721,神崎町,123421
http://www.wikidata.org/entity/Q212704,中央区,131024
http://www.wikidata.org/entity/Q633911,茅ヶ崎市,142077
http://www.wikidata.org/entity/Q540312,長岡市,152021
http://www.wikidata.org/entity/Q502988,高岡市,162027
http://www.wikidata.org/entity/Q990342,坂井市,182109
http://www.wikidata.org/entity/Q1204222,小海町,203033
http://www.wikidata.org/entity/Q772034,飯綱町,205907
http://www.wikidata.org/entity/Q1203226,大治町,234249
http://www.wikidata.org/entity/Q1203828,美浜町,234460
http://www.wikidata.org/entity/Q1203097,井手町,263435
http://www.wikidata.org/entity/Q1184480,佐用町,285013
http://www.wikidata.org/entity/Q379233,斑鳩町,293440
http://www.wikidata.org/entity/Q1203513,三宅町,293628
http://www.wikidata.org/entity/Q1204493,伯耆町,313904
http://www.wikidata.org/entity/Q432055,浜田市,322024
http://www.wikidata.org/entity/Q384796,大田市,322059
http://www.wikidata.org/entity/Q1357346,多度津町,374041
http://www.wikidata.org/entity/Q857895,八幡東区,401081
http://www.wikidata.org/entity/Q1205864,大刀洗町,405035
http://www.wikidata.org/entity/Q1205759,奈半利町,393029
http://www.wikidata.org/entity/Q1355445,奈井江町,014249
http://www.wikidata.org/entity/Q1206422,平内町,023019
http://www.wikidata.org/entity/Q858016,館林市,102075
http://www.wikidata.org/entity/Q967920,中之条町,104213
http://www.wikidata.org/entity/Q1203386,泉区,141160
http://www.wikidata.org/entity/Q1204471,木島平村,205621
http://www.wikidata.org/entity/Q275123,西区,271063
http://www.wikidata.org/entity/Q877169,丹波篠山市,282219
http://www.wikidata.org/entity/Q683248,小郡市,402168
http://www.wikidata.org/entity/Q1205588,須恵町,403440
http://www.wikidata.org/entity/Q596486,藤岡市,102091
http://www.wikidata.org/entity/Q1346871,下仁田町,103829
http://www.wikidata.org/entity/Q768083,睦沢町,124222
http://www.wikidata.org/entity/Q235135,墨田区,131075
http://www.wikidata.org/entity/Q857208,糸魚川市,152161
http://www.wikidata.org/entity/Q1004231,富士河口湖町,194301
http://www.wikidata.org/entity/Q847332,土岐市,212121
http://www.wikidata.org/entity/Q726565,菊川市,222241
http://www.wikidata.org/entity/Q1155226,中川区,231100
http://www.wikidata.org/entity/Q338009,志摩市,242152
http://www.wikidata.org/entity/Q1078806,垂水区,281085
http://www.wikidata.org/entity/Q63440,安佐南区,341053
http://www.wikidata.org/entity/Q1210574,剣淵町,014656
http://www.wikidata.org/entity/Q1204398,七ヶ宿町,043028
http://www.wikidata.org/entity/Q1347748,山辺町,063011
http://www.wikidata.org/entity/Q1203851,昭和村,104485
http://www.wikidata.org/entity/Q1203600,玉村町,104647
http://www.wikidata.org/entity/Q47535,久喜市,112321
http://www.wikidata.org/entity/Q869032,八潮市,112348
http://www.wikidata.org/entity/Q460806,秦野市,142115
http://www.wikidata.org/entity/Q649650,見附市,152111
http://www.wikidata.org/entity/Q127877,長野県,200000
http://www.wikidata.org/entity/Q213324,松本市,202029
http://www.wikidata.org/entity/Q838684,駒ヶ根市,202100
http://www.wikidata.org/entity/Q847554,尾鷲市,242098
http://www.wikidata.org/entity/Q460820,伊賀市,242161
http://www.wikidata.org/entity/Q513897,京丹後市,262129
http://www.wikidata.org/entity/Q1203250,由良町,303836
http://www.wikidata.org/entity/Q134093,高知県,390003
http://www.wikidata.org/entity/Q751154,須崎市,392065
http://www.wikidata.org/entity/Q633601,豊前市,402141
http://www.wikidata.org/entity/Q1205554,遠賀町,403849
http://www.wikidata.org/entity/Q1355570,由仁町,014273
http://www.wikidata.org/entity/Q972924,軽米町,035017
http://www.wikidata.org/entity/Q860659,行田市,112062
http://www.wikidata.org/entity/Q1202807,多古町,123471
http://www.wikidata.org/entity/Q1076753,宮前区,141364
http://www.wikidata.org/entity/Q1342807,葉山町,143014
http://www.wikidata.org/entity/Q290326,韮崎市,192074
http://www.wikidata.org/entity/Q1203939,喬木村,204153
http://www.wikidata.org/entity/Q336431,豊橋市,232017
http://www.wikidata.org/entity/Q597594,北名古屋市,232343
http://www.wikidata.org/entity/Q460829,松阪市,242047
http://www.wikidata.org/entity/Q844130,長浜市,252034
http://www.wikidata.org/entity/Q611642,野洲市,252107
http://www.wikidata.org/entity/Q1203714,南山城村,263672
http://www.wikidata.org/entity/Q570027,大正区,271080
http://www.wikidata.org/entity/Q873553,泉大津市,272060
http://www.wikidata.org/entity/Q1078790,兵庫区,281051
http://www.wikidata.org/entity/Q1156111,久米南町,336637
http://www.wikidata.org/entity/Q460835,丸亀市,372021
http://www.wikidata.org/entity/Q386628,新居浜市,382051
http://www.wikidata.org/entity/Q1156273,中央区,401331
http://www.wikidata.org/entity/Q1132402,西区,401358
http://www.wikidata.org/entity/Q948351,城南区,401366
http://www.wikidata.org/entity/Q1206042,川崎町,406058
http://www.wikidata.org/entity/Q1184800,氷川町,434680
http://www.wikidata.org/entity/Q1184620,芦北町,434825
http://www.wikidata.org/entity/Q199609,大分市,442011
http://www.wikidata.org/entity/Q1357023,沼田町,014389
http://www.wikidata.org/entity/Q685775,丸森町,043419
http://www.wikidata.org/entity/Q129499,群馬県,100005
http://www.wikidata.org/entity/Q851492,渋川市,102083
http://www.wikidata.org/entity/Q576556,みどり市,102121
http://www.wikidata.org/entity/Q851680,加須市,112101
http://www.wikidata.org/entity/Q734532,深谷市,112186
http://www.wikidata.org/entity/Q320943,松戸市,122076
http://www.wikidata.org/entity/Q1202775,九十九里町,124036
http://www.wikidata.org/entity/Q390788,東大和市,132209
http://www.wikidata.org/entity/Q1132502,緑区,141518
http://www.wikidata.org/entity/Q822585,羽咋市,172073
http://www.wikidata.org/entity/Q432014,津幡町,173614
http://www.wikidata.org/entity/Q41773,小浜市,182044
http://www.wikidata.org/entity/Q534667,安曇野市,202207
http://www.wikidata.org/entity/Q860647,関市,212059
http://www.wikidata.org/entity/Q174691,静岡市,221007
http://www.wikidata.org/entity/Q1203168,清水町,223417
http://www.wikidata.org/entity/Q1154588,西京区,261114
http://www.wikidata.org/entity/Q851675,高梁市,332097
http://www.wikidata.org/entity/Q1156206,西粟倉村,336432
http://www.wikidata.org/entity/Q485583,阿南市,362042
http://www.wikidata.org/entity/Q861621,南国市,392049
http://www.wikidata.org/entity/Q1350098,水巻町,403822
http://www.wikidata.org/entity/Q1206926,玄海町,413879
http://www.wikidata.org/entity/Q861221,中津市,442038
http://www.wikidata.org/entity/Q850366,豊後大野市,442127
http://www.wikidata.org/entity/Q130300,宮崎県,450006
http://www.wikidata.org/entity/Q1206617,高原町,453617
http://www.wikidata.org/entity/Q1206156,錦江町,464902
http://www.wikidata.org/entity/Q564234,安中市,102113
http://www.wikidata.org/entity/Q1357435,東秩父村,113697
http://www.wikidata.org/entity/Q926492,緑区,121053
http://www.wikidata.org/entity/Q637901,印西市,122319
http://www.wikidata.org/entity/Q840834,いすみ市,122386
http://www.wikidata.org/entity/Q1202647,長生村,124231
http://www.wikidata.org/entity/Q1203361,青葉区,141178
http://www.wikidata.org/entity/Q823886,三浦市,142107
http://www.wikidata.org/entity/Q633983,柏崎市,152056
http://www.wikidata.org/entity/Q1203881,西桂町,194239
http://www.wikidata.org/entity/Q1204497,小谷村,204862
http://www.wikidata.org/entity/Q622594,高山市,212032
http://www.wikidata.org/entity/Q1203575,神戸町,213811
http://www.wikidata.org/entity/Q819672,熊野市,242128
http://www.wikidata.org/entity/Q200747,和歌山市,302015
http://www.wikidata.org/entity/Q1346937,すさみ町,304069
http://www.wikidata.org/entity/Q200022,松山市,382019
http://www.wikidata.org/entity/Q1072679,筑前町,404471
http://www.wikidata.org/entity/Q1205284,美里町,045055
http://www.wikidata.org/entity/Q328651,八千代市,122211
http://www.wikidata.org/entity/Q1203251,大網白里市,122394
http://www.wikidata.org/entity/Q217234,大田区,131113
http://www.wikidata.org/entity/Q240489,東村山市,132136
http://www.wikidata.org/entity/Q1141223,磯子区,141071
http://www.wikidata.org/entity/Q1202616,大井町,143626
http://www.wikidata.org/entity/Q1204468,山ノ内町,205613
http://www.wikidata.org/entity/Q384809,大府市,232238
http://www.wikidata.org/entity/Q1203258,明和町,244422
http://www.wikidata.org/entity/Q1154970,北区,261017
http://www.wikidata.org/entity/Q35765,大阪市,271004
http://www.wikidata.org/entity/Q861264,東住吉区,271217
http://www.wikidata.org/entity/Q1347195,熊取町,273619
http://www.wikidata.org/entity/Q502196,天理市,292044
http://www.wikidata.org/entity/Q1156136,八頭町,313297
http://www.wikidata.org/entity/Q825166,出雲市,322032
http://www.wikidata.org/entity/Q1155346,鏡野町,336068
http://www.wikidata.org/entity/Q857828,美馬市,362077
http://www.wikidata.org/entity/Q845857,宇和島市,382035
http://www.wikidata.org/entity/Q1330839,博多区,401323
http://www.wikidata.org/entity/Q585630,柳川市,402079
http://www.wikidata.org/entity/Q1206102,岡垣町,403831
http://www.wikidata.org/entity/Q782825,宇城市,432130
http://www.wikidata.org/entity/Q1184667,産山村,434256
http://www.wikidata.org/entity/Q1350786,国富町,453820
http://www.wikidata.org/entity/Q200077,盛岡市,032018
http://www.wikidata.org/entity/Q386179,太田市,102059
http://www.wikidata.org/entity/Q2068514,宮城村,103055
http://www.wikidata.org/entity/Q1358949,草津町,104264
http://www.wikidata.org/entity/Q1203771,板倉町,105210
http://www.wikidata.org/entity/Q823907,東松山市,112127
http://www.wikidata.org/entity/Q646847,袖ケ浦市,122297
http://www.wikidata.org/entity/Q1153579,幸区,141321
http://www.wikidata.org/entity/Q838672,岡谷市,202045
http://www.wikidata.org/entity/Q819639,下呂市,212202
http://www.wikidata.org/entity/Q643929,周南市,352152
http://www.wikidata.org/entity/Q629799,鞍手町,404021
http://www.wikidata.org/entity/Q1206732,西米良村,454036
http://www.wikidata.org/entity/Q1205986,伊仙町,465321
http://www.wikidata.org/entity/Q1355522,長沼町,014281
http://www.wikidata.org/entity/Q1354380,日高町,016012
http://www.wikidata.org/entity/Q161176,福島市,072010
http://www.wikidata.org/entity/Q1345518,みなかみ町,104493
http://www.wikidata.org/entity/Q153629,大宮区,111031
http://www.wikidata.org/entity/Q905721,日高市,112429
http://www.wikidata.org/entity/Q1354799,毛呂山町,113263
http://www.wikidata.org/entity/Q328619,野田市,122084
http://www.wikidata.org/entity/Q317834,国分寺市,132144
http://www.wikidata.org/entity/Q651742,南足柄市,142174
http://www.wikidata.org/entity/Q841129,飯田市,202053
http://www.wikidata.org/entity/Q1348998,山形村,204501
