raw_remote_id,name,kana,elevation_m,unified_poi_id
1,経ヶ岬,きょうがみさき,201,22246
2,船津山,ふなつやま,548,10948
3,権現山,ごんげんやま,600.9,10947
4,蝙蝠岳,こうもりだけ,311.4,10949
5,笠山,かさやま,496,18899
6,太鼓山,たいこやま,683.2,792
7,依遅ヶ尾山,いちがおさん,540.2,10945
8,小金山,おがねさん,416,10944
9,徳楽山,とくらさん,220,22247
10,尾坂山,おさかやま,258.2,22248
11,金時山,きんときやま,616.6,22249
12,角突山,つのつきやま,629.1,10942
13,笹ヶ尾山,ささがおやま,371,10939
14,千石山,せんごくやま,312.5,10940
15,汐霧山,しおぎりやま,647,10936
16,嶽山,だけやま,637.5,22250
17,金剛童子山,こんごうどうじさん,613.6,10941
18,高尾山,たかおさん,620.3,10934
19,高山,たかやま,702,19911
20,柳平,やながなる,679.2,22251
21,鼓ヶ岳,つづみがたけ,569.1,10935
22,妙見山,みょうけんさん,30,10938
23,小原山,おばらさん,371.8,22252
24,木積山,きづみやま,269.5,22253
25,高天山,たかてんやま,285.4,10943
26,西山,にしやま,407.8,22254
27,久次岳,ひさつぎだけ,541.4,10933
28,磯砂山,いさなごさん,660.9,793
29,女布権現山,にょうごんげんさん,348.4,10868
30,兜山,かぶとやま,191.7,10867
31,大山,おおやま,334.4,22255
32,高尾山,たかおさん,426.4,22256
33,得良山,とくらさん,316,22257
34,青地岳,あおじだけ,445.7,10860
35,高竜寺ヶ岳,こうりゅうじがたけ,696.7,10861
36,法沢山,ほうたくさん,643.4,10862
37,由良ヶ岳,ゆらがだけ,640,10931
38,滝上山,たきがみやま,119.7,10930
39,妙見山,みょうけんさん,370.7,10928
40,題目山,だいもくさん,264.3,10929
41,権現山,ごんげんやま,514.6,22258
42,青葉山,あおばやま,693,781
43,空山,そらやま,549.6,22259
44,多禰寺山,たねじやま,556.3,19963
45,愛宕山,あたごやま,282,10913
46,養老山,ようろうさん,665.4,10915
47,三国岳,みくにだけ,616.4,10914
48,525.7m峰,,525.7,
49,五老岳,ごろうだけ,300.6,10909
50,槇山,まきやま,483,15949
51,建部山,たてべさん,315.5,22260
52,愛宕山,あたごやま,213,10910
53,千石山,せんごくやま,334.3,10912
54,赤岩山,あかいわさん,669,10907
55,杉山,すぎやま,697,10905
56,普甲山,ふこうやま,471.1,22261
57,砥石岳,といしだけ,407.7,10906
58,湯舟山,ゆふねやま,368.3,10904
59,大笠山,おおがさやま,740,22262
60,572.9m峰,,573,
61,鍋塚,なべづか,762.9,10902
62,鳩ヶ峰,はとがみね,746,10901
63,大江山,おおえやま,832.4,794
64,赤石ヶ岳,あかいしがだけ,736.1,10899
65,権現山,ごんげんやま,526.5,10898
66,江笠山,えがさやま,727.5,10897
67,君尾山,きみのおさん,581.8,10882
68,579.3m峰,,579,
69,中津灰,なかつはい,746.1,20244
70,681.4m峰,,681.4,20888
71,弥仙山,みせんさん,664,10880
72,596.3m峰,,596.3,
73,蓮ヶ峯,はちがみね,544,10879
74,上滝ノ尾,かみたきのお,459.4,22263
75,鉢伏山,はちぶせやま,626,20465
76,権現山,ごんげんやま,588.7,22264
77,空山,そらやま,351.9,22265
78,鬼ヶ城,おにがじょう,544,10876
79,烏ヶ岳,からすがだけ,536.5,10799
80,天ヶ峰,てんがみね,632.4,10872
81,三国山,みくにやま,570,10869
82,三岳山,みたけさん,839.1,10871
83,伏見山,ぶくみやま,710,20641
84,龍ヶ城,たつがじょう,645.5,10873
85,居母山,いもやま,730.5,10840
86,堂本山,どうもとやま,565.3,22266
87,深山,みやま,780,22267
88,栗尾山,くりおやま,760,22268
89,富岡山,とみおかやま,707.2,10839
90,鉄鈷山,かなとこやま,775,10837
91,岸山,きしやま,736.4,22269
92,三谷山,さんだにやま,679.1,22270
93,宝山,たからやま,349.7,10842
94,三郡山,みこおりやま,497.9,22271
95,上殿,じょうでん,452.9,22272
96,高岳,たかだけ,416.1,10802
97,天突,あまんづく,320,18336
98,姫髪山,ひめがみやま,406.1,10795
99,和久山,わくやま,471.5,21250
100,烏帽子山,えぼしやま,512.4,10796
101,小風呂,こぶろ,597.5,21005
102,小倉富士,おぐらふじ,495,18794
103,神奈備山,かんなびやま,416,22273
104,市寺山,いちでらやま,604.5,10797
105,鹿倉山,しかくらやま,547.7,10767
106,三国峠,みくにとうげ,776.1,10883
107,傘峠,からかさとうげ,935,22274
108,ブナノ木峠,ぶなのきとうげ,939.2,22275
109,天狗峠,てんぐとうげ,928,10822
110,中山谷山,なかやまだにやま,791.8,20271
111,奥ノ谷山,おくのたにやま,811,18776
112,奥ヶ追谷山,おくがせたにやま,702.3,19997
113,八ヶ峰,はちがみね,800.2,7193
114,オバタケダン,おばたけだん,729.1,22276
115,タケガタン,たけがたん,743,22277
116,三ヶ谷山,みつがたにやま,701.1,20950
117,鉢ヶ峰,はちがみね,778.6,22278
118,白尾山,しらおやま,748.6,10810
119,トチワラ,とちわら,674.5,22279
120,西谷,にしたに,675.2,22280
121,福居,ふくい,618.8,22281
122,鶴ヶ岡,つるがおか,612,22282
123,頭巾山,とうきんざん,871,782
124,天狗畑,てんぐばた,848.2,20087
125,高庵,たかいお,801.2,22283
126,地蔵杉,じぞうすぎ,898.8,19500
127,念仏,ねんぶつ,726.8,22284
128,高野,たかの,550.3,22285
129,小淵,おぶち,546.8,22286
130,長老ヶ岳,ちょうろうがたけ,916.8,783
131,仏岩,ほとけいわ,730,22287
