raw_remote_id,name,kana,elevation_m,unified_poi_id
17913,岩井堂砦,いわいどうとりで,380.0,17913
17934,大明神山,だいみょうじんやま,570.0,17934
17975,天狗山,てんぐやま,440.0,17975
17976,蚕影山,こかげやま,370.0,17976
17997,戸叶山,とかのやま,530.0,17997
18037,峨嶁山,がろうざん,180.0,18037
18090,大峠山,おおとうげやま,1760.0,18090
18126,名無山,ななしやま,1870.0,18126
18229,相之山,あいのやま,970.0,18229
18230,青井原山,あおいばらやま,210.0,18230
18241,赤岩尾山,あかいわおやま,500.0,18241
18250,赤坂山,あかさかやま,340.0,18250
18263,赤はげ,あかはげ,810.0,18263
18267,赤松手山,あかまつでやま,680.0,18267
18283,朝日台,あさひだい,448.0,18283
18305,愛宕山,あたごやま,160.0,18305
18347,アラ沢ノ頭,あらさわのかしら,2680.0,18347
18372,雷丘,いかずちのおか,110.0,18372
18407,石丸山,いしまるやま,150.0,18407
18410,泉が森,いずみがもり,30.0,18410
18423,一ノ谷ノ頭,いちのたにのかしら,2160.0,18423
18434,井手山,いでやま,120.0,18434
18461,入江山,いりえやま,370.0,18461
18500,植鉢山,うえばちやま,660.0,18500
18511,牛首岳,うしくびだけ,455.0,18511
18512,牛首山,うしくびやま,2640.0,18512
18528,内浦山,うちうらやま,200.0,18528
18529,内ノ倉山,うちのくらやま,250.0,18529
18558,烏帽子岩,えぼしいわ,1350.0,18558
18589,大井谷山,おおいたにやま,290.0,18589
18625,大ゴ沢岳,おおごさわだけ,1290.0,18625
18662,大谷山,おおたにやま,340.0,18662
18685,大平頭,おおなるがしら,1230.0,18685
18697,大原山,おおはらやま,560.0,18697
18745,大槍,おおやり,1840.0,18745
18769,奥頭巾山,おくずきんやま,880.0,18769
18787,奥三ッ頭,おくみつがしら,2590.0,18787
18792,小倉,おぐら,1150.0,18792
18796,小倉山,おぐらやま,140.0,18796
18819,オッカブロ山,おっかぶろやま,1480.0,18819
18823,御坪,おつぼ,1600.0,18823
18830,御成山,おなりやま,1450.0,18830
18844,面白峰,おもしろみね,810.0,18844
18853,鬼ヶ城,おんがじょう,280.0,18853
18857,御岳,おんたけ,500.0,18857
18865,女岩,おんないわ,1040.0,18865
18866,女駒岳,おんなこまだけ,130.0,18866
18874,貝吹金剛,かいふきこんごう,920.0,18874
18877,楓ノ峰,かえでのみね,1050.0,18877
18909,春日山,かすがやま,240.0,18909
18928,勝根山,かつねやま,410.0,18928
18954,株山,かぶやま,260.0,18954
18967,上平,かみだい,880.0,18967
18989,カラ谷ノ頭,からだにのかしら,1210.0,18989
18991,カラト山,からとやま,840.0,18991
19018,寒霞渓山,かんかけいやま,610.0,19018
19063,木ノ根山,きのねやま,1050.0,19063
19118,国境峰,くにさかいみね,1060.0,19118
19128,首取山,くびとりやま,280.0,19128
19130,熊穴沢ノ頭,くまあなざわのあたま,2610.0,19130
19142,鞍,くら,990.0,19142
19183,黒髪山,くろかみやま,120.0,19183
19187,黒倉山,くろくらやま,950.0,19187
19205,剣ヶ峰,けんがみね,1420.0,19205
19213,ゲンジ元光兎,げんじもとこうさぎ,670.0,19213
19232,高地山,こうちやま,1260.0,19232
19243,小烏帽子,こえぼし,1280.0,19243
19245,小笠,こがさ,2830.0,19245
19253,極楽平,ごくらくだいら,2820.0,19253
19299,小塚山,こづかやま,370.0,19299
19300,小鎚山,こづちやま,340.0,19300
19309,護天山,ごてんやま,260.0,19309
19322,此隅山,このすみやま,140.0,19322
19329,五百山,ごひゃくやま,280.0,19329
19335,五本松,ごほんまつ,720.0,19335
19343,小松山,こまつやま,1800.0,19343
19361,小茂吉沢ノ頭,こもきちさわのあたま,2260.0,19361
19372,小槍,こやり,3110.0,19372
19374,小楊子山,こようじさん,1710.0,19374
19403,コンピラ山,こんぴらやま,300.0,19403
19407,境ノ峰,さかいのみね,920.0,19407
19415,笹尾,ささお,570.0,19415
19420,笹山,ささやま,230.0,19420
19422,五月山,さつきやま,210.0,19422
19424,座頭ノ峰,ざとうのみね,740.0,19424
19425,里見台,さとみだい,370.0,19425
19433,皿ヶ峯,さらがむね,340.0,19433
19441,猿面峰,さるつらみね,2000.0,19441
19457,三光山,さんこうさん,1310.0,19457
19464,三秀台,さんしゅうだい,840.0,19464
19488,鹿之頭,しかのかしら,1320.0,19488
19491,シコクリ峰,しこくりみね,650.0,19491
19493,シシ頭,ししがしら,2900.0,19493
19499,地蔵石,じぞういし,260.0,19499
19537,下丸山,しもまるやま,340.0,19537
19551,ジャンクションピーク,じゃんくしょんぴーく,1940.0,19551
19561,背負子山,しょいっこやま,1260.0,19561
19565,城ガ峰,じょうがみね,550.0,19565
19572,小同心,しょうどうしん,2760.0,19572
19577,小普賢岳,しょうふげんだけ,1680.0,19577
19614,白布山,しらぶやま,950.0,19614
19632,城山,しろやま,280.0,19632
19639,城山,しろやま,340.0,19639
19667,瑞龍山,ずいりゅうさん,110.0,19667
19689,巣場,すば,1350.0,19689
19715,関山,せきやま,120.0,19715
19720,瀬戸山,せとやま,1130.0,19720
19730,浅間山,せんげんやま,650.0,19730
19770,台ヶ森,だいがもり,1010.0,19770
19783,大師ノ峰,たいしのみね,620.0,19783
19787,大師山,たいしやま,470.0,19787
19791,大勝山,たいしょうさん,290.0,19791
19798,大同心,だいどうしん,2720.0,19798
19815,高江山,たかえさん,130.0,19815
19828,高倉山,たかくらやま,970.0,19828
19832,高崎山,たかさきやま,130.0,19832
19849,高舘,たかだて,65.0,19849
19857,高塚山,たかつかやま,90.0,19857
19860,タカツコ,たかつこ,350.0,19860
19878,鷹ノ巣山,たかのすやま,1030.0,19878
19886,高橋山,たかはしやま,1340.0,19886
19891,高八山,たかはちやま,330.0,19891
19964,田ノ頭,たのかしら,174.0,19964
19966,多宝山,たほうざん,285.0,19966
19993,チジン小,ちじんぬくわ,85.0,19993
20002,茶臼山,ちゃうすやま,610.0,20002
20039,ツボクラ,つぼくら,730.0,20039
20053,手繰ヶ城山,てくりがじょうざん,160.0,20053
20113,天王山,てんのうざん,120.0,20113
20116,天明山,てんめいざん,890.0,20116
20138,遠見山,とおみやま,160.0,20138
20140,遠山,とおやま,1430.0,20140
20153,床並岳,とこなみだけ,580.0,20153
20154,床浪山,とこなみやま,1980.0,20154
20175,とべ山,とべやま,243.0,20175
20208,トンガリ山,とんがりやま,360.0,20208
20210,トング峰,とんぐみね,870.0,20210
20221,長尾山,ながおやま,210.0,20221
20222,長尾山,ながおやま,800.0,20222
20236,ナカゾロ山,なかぞろやま,1410.0,20236
20238,中台持山,なかだいもちやま,660.0,20238
20243,長谷峰,ながたにみね,620.0,20243
20246,中天井岳,なかてんじょうだけ,2890.0,20246
20267,中山,なかやま,720.0,20267
20269,中山,なかやま,400.0,20269
20274,薙山,なぎやま,1640.0,20274
20276,奈倉ノ頭,なくらのかしら,1640.0,20276
20285,橅生,なでお,790.0,20285
20297,鍋底山,なべそこやま,800.0,20297
20332,西ヶ峯,にしがみね,1170.0,20332
20365,日本鼻,にほんばな,1640.0,20365
20395,ネブカセ,ねぶかせ,970.0,20395
20396,念火山,ねんびやま,550.0,20396
20431,萩ノ丸,はぎのまる,740.0,20431
20476,八地,はっち,1150.0,20476
20553,東聖岳,ひがしひじりだけ,2880.0,20553
20562,東山,ひがしやま,60.0,20562
20588,日向沢ノ頭,ひなたざわのあたま,1685.0,20588
20600,ヒバコノ頭,ひばこのかしら,1020.0,20600
20619,平倉山,ひらくらやま,640.0,20619
20630,風南山,ふうなんざん,120.0,20630
