raw_remote_id,name,kana,elevation_m,unified_poi_id,description_text
1,御前峰（白山）,ごぜんがみね,2702.17,683,
2,大汝峰（白山）,おおなんじがみね,2684,9575,
3,剣ヶ峰（白山）,けんがみね,2660,9571,
4,七倉山,ななくらやま,2550,682,
5,四塚山,よつづかやま,2519.45,7397,
6,別山（白山）,べつざん,2399.35,685,
7,御舎利山,おしゃりやま,2370,18808,
8,油坂ノ頭,あぶらざかのかしら,2256,23088,
9,長坂下の頭,ながさかしたのかしら,2158,27968,
10,扇の峰,おおぎのみね,2140,27917,
11,三ノ峰,さんのみね,2128,14898,
12,間名古の頭,まなこのかしら,2123.88,7393,
13,シゲジ,しげじ,2080,23857,
14,ゴマ平の頭,ごまだいらのかしら,2077,27918,
15,白山釈迦岳,はくさんしゃかだけ,2053.18,684,
16,美女坂の頭,びじょざかのかしら,2047.08,27919,
17,薬師山,やくしやま,2023.5,7399,
18,火の御子峰,ひのみこみね,2004,7396,
19,笈ヶ岳,おいずるがだけ,1841.35,679,
20,大笠山,おおがさやま,1821.84,678,
21,野谷荘司山,のだにしょうじやま,1797.29,7402,
22,錫杖岳（笈ヶ岳）,しゃくじょうだけ,1780,27920,
23,妙法山,みょうほうざん,1775.59,7400,
24,滝ヶ岳,たきがだけ,1774.44,19918,
25,奥長倉山,おくながくらやま,1771,7384,
26,美濃原山,みのはらやま,1756,20991,
27,仙人窟岳,せんにんいわやだけ,1747,7431,
28,宝剣岳（笈ヶ岳）,ほうけんだけ,1741,20724,
29,三方岩岳,さんぽういわだけ,1736,680,
30,馬狩荘司山,まがりしょうじやま,1730,20812,
31,シリタカ山,しりたかやま,1699,7432,
32,国見山,くにみやま,1690,7428,
33,大長山,おおちょうざん,1671.42,7375,
34,長倉山,ながくらやま,1660.57,7383,
35,奈良岳,ならだけ,1644.33,7458,
36,瓢簞山,ふくべやま,1637.29,7429,
37,赤兎山,あかうさぎやま,1628.66,689,
38,冬瓜山,かもりやま,1627.89,7427,
39,鷹巣山,たかのすやま,1626,27921,
40,ショウガ山,しょうがやま,1623.54,7388,
41,見越山,みこしやま,1621,7459,
42,奥三方山,おくさんぽうやま,1601,7456,
43,鳴谷山,なるたにやま,1596.55,7385,
44,大門山,だいもんざん,1571.59,677,
45,湯谷頭,ゆだにのかしら,1549.4,7401,
46,大瓢簞山,おおふくべやま,1549.05,7424,
47,鉢伏山,はちぶせやま,1549,20464,
48,苅安岳（山）,かりやすだけ,1505,19005,
49,ナナコバ山,ななこばやま,1504.14,7368,
50,赤摩木古山,あかまっこやま,1501,7461,
51,天ノ又の頭,てんのまたのかしら（高三郎山）,1461,22355,
52,霧晴山,きりはれやま,1456.39,26074,
53,大辻山,おおつじやま,1436.15,7386,
54,高三郎山,たかさぶろうやま,1421.43,676,
55,長山,ながやま,1421.4,27922,
56,指尾,さしお,1417.96,7372,
57,猿が浄土山,さるがじょうどやま,1402,27678,
58,板谷の頭,いただにのかしら,1383,24299,
59,大日山,だいにちざん,1368,692,
60,山毛欅尾山,ぶなおやま,1365.07,7422,
61,東高山,ひがしたかやま,1356.56,7371,
62,オオジャラ,おおじゃら,1353,23484,
63,スズハラ,すずはら,1339.83,23092,
64,ガラ頭,がらかしら,1333.11,23493,
65,砂御前山,すなごぜんやま,1325.95,7391,
66,不動島山,ふどうじまやま,1325.84,27923,
67,オブクモリ,おぶくもり（高三郎山）,1320,27924,
68,越前甲（大日山）,えちぜんかぶと,1319.59,18550,
69,白木峰,しらきみね,1317.41,27680,
70,温泉山,おんせんやま,1314,27925,
71,兜山（大日山）,かぶとやま,1312,23505,
72,多子津山,たこつやま,1311,7463,
73,取立山,とりたてやま,1307.22,7365,
74,中三方岳,なかさんぽうだけ,1306,7451,
75,口三方岳,くちさんぼうだけ,1269.35,675,
76,コツブリ山,こつぶりやま,1264,19301,
77,六万山,ろくまんざん,1260,7373,
78,三村山,みむらやま,1258.48,7423,
79,カリヤス山,かりやすやま,1230,27675,
80,大嵐山,おおあらしやま,1204,7392,
81,小大日山,こだいにちざん,1198.43,7381,
82,岩蕗山（岩藤山）,いわぶきやま,1190.44,24070,
83,西高山,にしたかやま,1189.07,7374,
84,鈴ヶ岳（大日山）,すずがだけ,1174.71,22852,
85,月ヶ原山,つきがはらやま,1169.77,7464,
86,松尾山,まつおやま,1162.94,7419,
87,護摩堂山,ごまんどやま,1152.36,19352,
88,烏帽子山,えぼしやま,1136,7448,
89,タロエモ山,たろえもやま,1118,27926,
90,鷲走ヶ岳,わっそうがたけ,1096.6,691,
91,三輪山,みのわやま,1068.96,7445,
92,三ツ尾の頭,みつおのかしら,1062.87,21517,
93,赤堂山,あかんどうやま,1059,7453,
94,カンタの山,かんたのやま,1058,27927,
95,成ヶ峰,なるがみね,1055.75,7446,
96,牛首,うしがくび,1052.12,27928,
97,道西山,どうさいやま,1042.01,23483,
98,青柳山,あおやぎやま,1032.91,7390,
99,鷹打山,たかうちやま,1030,27967,
100,有形山,ありがたやま,1010.67,7370,
101,大倉山,おおくらやま,1004.59,7465,
102,小嵐山,こあらしやま,1002,7389,
103,剣岳,つるぎがだけ,988,27929,
104,庄司峰,しょうじみね,986.54,23379,
105,砺倉山,とくらやま,983,27930,
106,藤倉山,ふじくらやま,971,27931,
107,大山,おおやま,956,18739,
108,大倉,おおくら,954,27932,
109,挙原山,あげはらやま,946,7477,
110,富士写ヶ岳,ふじしゃがだけ,941.92,693,
111,奥医王山,おくいおうぜん,939.13,674,
112,奥獅子吼山,おくししくやま,928.12,7444,
113,金谷頭,けんたにのかしら（丸山）,927,27933,
114,菅倉山,すがくらやま,923.71,18843,
115,荒倉峰,あらくらみね,923.09,7450,
116,高倉山,たかくらやま,922.19,7420,
117,宮谷峰,みやだにのみね,920.54,27934,
118,鏡山（大山）,かがみやま,919.6,7382,
119,別山（大山）,べつざん,912,20712,
120,伏拝（小倉谷山）,ふしおがみ（おぐらだにやま）,910.58,18793,
121,脚谷山,あしたにやま,905,23481,
122,二輪山,にのわやま（尾ノ谷峰）,898.71,27935,
123,白兀山（医王山）,しらはげやま,896,7494,
124,水葉山,みずばやま,891,7478,
125,白抜山,しらぬきやま,891,7421,
126,北の峰,きたのみね,890,23482,
127,恐山,おんそりやま,888.58,23491,
128,順尾山,じゅんのやま,883,7483,
129,見晴ノ峰,みはらしのみね,873,27936,
130,ケカン谷の頭,けかんだにのかしら,870,27937,
131,笠山,かさやま,865.42,7449,
132,西山,にしやま,857,7364,
133,高尾山,たかおやま,841,22782,
134,高倉山,たかくらやま,836,23949,
135,荒倉岳,あらくらだけ,834,7416,
136,大頽山,おおなだれやま,832.41,7367,
137,古久ヶ峰,こくがみね,826,23380,
138,火燈山,ひともしやま,802.87,7357,
139,吉次山,きちじやま,800.11,7476,
140,黒瀑山（医王山）,くろたきやま,789.47,7499,
141,前高尾山,まえたかおやま,763.1,7481,
142,御仏供山,おぼこやま（後山）,749.97,27676,
143,天池山,あまいけやま,742.71,27938,
144,阿図谷山,あぞたにやま,734.42,23480,
145,大雪崩山,おおなだれやま,731.75,27677,
146,蟹ノ目山,がんのめやま,688.99,23711,
147,ミズダシ,みずだし,677,27939,
148,大倉岳,おおくらだけ,650.65,7415,
149,後高山,しりたかやま,649,7475,
150,宝達山,ほうだつさん,637.35,659,
151,水坪山,みずつぼやま,630,20931,
152,妙小（アゲハラ山）,みょうしょう,625.09,27940,
153,動山,ゆるぎやま,604.25,7417,
154,小富士,こふじ,574.09,24778,
155,高尾山,たかおやま,571,27941,
156,高洲山,こうしゅうざん,567,8199,
157,上屋敷山,かみやしきやま,567,27733,
158,倉ヶ岳,くらがたけ,565.37,7474,
159,石動山,せきどうざん,565,658,
160,国見山,くにみやま,556.84,7473,
161,赤倉山,あかくらやま,549,27942,
162,戸室山,とむろやま,547.84,7491,
163,刈安山,かりやすやま,547.65,7377,
164,キゴ山,きごやま,546,7496,
165,エラガ岳,えらがだけ,545.52,23968,
166,鉢伏山,はちぶせやま,543.62,657,
167,兜山,かぶとやま,534,7480,
168,明神壁,みょうじんかべ,512.56,24043,
169,蔵王山,ざおうやま,507.62,22466,
170,岳峰,だけのみね,505.48,7442,
171,鷹落山,たかおちやま,494.37,7414,
172,三童子山,さんどうじやま,492.87,23414,
173,揚原山,あげはらやま,486.69,7437,
174,桝形山,ますがたやま,486,23631,
175,高洞山,たかほらやま,482,27943,
176,火燈山,ひともしやま,480.92,7439,
177,鞍掛山,くらかけやま,477.71,7413,
178,大平山,おおひらやま,477.07,27734,
179,とんびはげ,とんびはげ,470,,
180,宝立山,ほうりゅうざん,468.568,656,
181,碁石ヶ峰,ごいしがみね,461.06,7658,
182,雲竜山,うんりゅうざん,460,7452,
183,天川山,てんがわやま,457,8203,
184,大峰,おおみね,453,7440,
185,久江原山,くえはらやま,452.4,27735,
186,梨笠山,なしがさやま,445.35,27944,
187,長坂山,ながさかやま,426.71,8206,
188,長崎山,ながさきやま,425,27945,
189,小富士山,こふじさん,424.83,8208,
190,河合山,かわいやま,417,7627,
191,猫ヶ岳,ねこがたけ,412.66,8222,
192,桑塚山,くわつかやま,409,7673,
193,水山,みずやま,404.77,8216,
194,松ヶ瀬山,まつがせやま,404,8217,
195,観音山,かんのんやま,402.25,7438,
196,岩坪山,いわつぼやま,400,8204,
197,河内岳,かわちだけ,398.55,7674,
198,宮野山,みやのやま,397.52,23953,
199,ごねんごろ山,ごねんごろやま,390.68,27946,
200,佐比野山,さびややま,387.83,8194,
201,猿矢山,さるややま,381,8201,
202,松尾山,まつおやま（七尾城山）,380.7,24404,
203,見平岳,けんだらだけ,378.21,8221,
204,瓶ノ森山,かめのもりやま,374.91,13822,
205,高野山,たかのやま,372.77,7436,
206,三蛇山,さんじゃやま,371.99,8190,
207,舞谷御前山,まいたにごぜんやま,367.78,8213,
208,別荘岳（三角点山）,べっそうだけ,366.98,27947,
209,鞍坪岳,くらつぼだけ,365.78,8220,
210,原御前,はらごぜん,359,18249,
211,別所岳,べっしょだけ,358.04,7675,
212,岩倉山,いわくらやま,356.98,8215,
213,百文山,ひゃくもんざん,355.62,8205,
214,風吹岳,かぜふきだけ,353.87,7676,
215,別荘岳,べっそうだけ,352,7678,
216,水無山,みずなしやま,348.5,7380,
217,烏ヶ山,からすがやま,344.38,8195,
218,気勝山,けかちやま,343.37,8198,
219,赤倉山,あかくらやま,342.41,27948,
220,焼山,やけやま,342,8202,
221,サビヤ山,さびややま,341.67,7679,
222,高爪山,たかつめやま,341,7672,
223,峨山,がざん,336.18,7685,
224,猿山,さるやま,332.54,7680,
225,蓮如山,れんにょさん,328,27949,
226,茅山,かややま,323.83,8189,
227,三国山,みくにやま,323.62,7630,
228,土平山,どへらやま,320,8196,
229,大丸山,おおまるやま,319.04,7684,
230,動坂山,どおざかやま,316,8191,
231,番場山,ばんばやま,313.83,8193,
232,松根城山,まつねじょうやま,308,23952,
233,大畑山,おおはたやま,302.97,7686,
234,八幡山,はちまんやま,302,8207,
235,坪野山,つぼのやま,300.76,7682,
236,城山（七尾城山）,じょうやま,300,7669,
237,雨池山,あまいけやま,300,8218,
238,城山,しろやま,296,26076,
239,岩倉山,いわくらやま,296,19029,
240,虫ヶ峰,むしがみね,295.88,7670,
241,鷹ノ巣山,たかのすやま,280.22,13817,
242,木原岳,きはらだけ,277.94,,
