raw_remote_id,name,kana,elevation_m,unified_poi_id
1,大船山,たいせんざん,1787,969
2,北大船,きたたいせん,1706,28551
3,立中山,たっちゅうさん,1468,19949
4,清水山,しみずやま,1078,19531
5,長池台,ながいけだい,880,25347
6,平治岳,ひいじだけ,1642,15339
7,台の山,だいのやま,1140,25360
8,黒岳・高塚,くろたけ・たかつか,1587,968
9,黒岳・天狗,くろたけ・てんぐ,1550,20073
10,黒岳・荒神森,くろたけ・こうじんもり,1530,
11,黒岳・上台,くろたけ・うわだい,1520,
12,黒岳・北高塚,くろたけ・きたたかつか,1480,
13,黒岳・明神森,くろたけ・みょうじんもり,1390,24878
14,黒岳・前岳,くろたけ・まえたけ,1334,15340
15,中岳,なかだけ,1791,967
16,天狗ヶ城,てんぐがじょう,1780,20078
17,久住山,くじゅうさん,1786,972
18,稲星山,いなぼしやま,1774,15294
19,白口岳,しらくちだけ,1720,19597
20,鳴子山,なるこやま,1643,20315
21,肥前ヶ城,ひぜんがじょう,1685,20576
22,扇ヶ鼻,おうぎがはな,1698,18576
23,岩井川岳,いわいごだけ,1522,18465
24,輪川山,りんがわやま,1098,21230
25,字見台,あざみだい,1038,25492
26,三俣山（主峰）,みまたやま,1744,970
27,三俣山・南峰,みまたやま・なんぽう,1743,
28,三俣山・北峰,みまたやま・ほっぽう,1690,
29,三俣山・西峰,みまたやま・せいほう,1678,
30,指山,ゆびやま,1449,21169
31,上湯沢台,かみゆざわだい,1370,18969
32,下湯沢台,しもゆざわだい,1185,19538
33,硫黄山,いおうざん,1580,18366
34,星生山,ほっしょうざん,1762,971
35,沓掛山,くつかけやま,1503,19116
36,黒岩山,くろいわやま,1502,15332
37,大崩の辻,おおくえんつじ,1460,18598
38,上泉水山,かみせんすいざん,1447,19740
39,下泉水山,しもせんすいざん,1296,15330
40,丸山,まるやま,1083,22433
41,合頭山,ごうとうざん,1382,15334
42,猟師岳,りょうしだけ,1423,15335
43,一目山,ひとめやま,1287,15331
44,ミソコブシ,みそこぶし,1296,
45,涌蓋山,わいたざん,1499,966
46,中岳,なかだけ,1010,15328
47,西陣,にしじん,844,
48,三尾,みお,1060,
49,常盤岳,ときわだけ,852,26542
50,宇津木原,うつぎばる,744,26541
51,三笈山,みおうやま,659,26540
52,ながみず山,ながみずやま,1310,20261
53,大野原,おおのはる,1088,25331
54,花牟礼山,はなむれやま,1170,15338
55,立石山,たていしやま,1210,28392
56,鏡山,かがみやま,1172,24427
57,ふきくさ山,ふきくさやま,1309,20638
58,万丈塔,ばんじょうとう,1190,24504
59,崩平山,くえんひらやま,1288,15371
60,扇山,おうぎやま,1206,25053
61,合鴨山,ごうしぎやま,1205,25033
62,堂尾台,どうのおだい,935,26326
63,大石原山,おおいしばるやま,929,
64,鹿伏岳,かぶしだけ,1024,15367
65,鹿伏岳・北,かぶしだけ・きた,994,
66,立石山,たていしやま,1024,23936
67,蛇越岳,じゃごしだけ,1024,23937
68,野稲岳,のいねだけ,1037,15369
69,芝塚,しばつか,810,26549
70,釜ヶ台山,かまがだいやま,945,25503
71,高山,たかやま,820,
72,白石台,しらいしだい,809,26715
73,杖ヶ台山,つえがだいやま,855,25502
74,時山,ときさん,958,15337
75,直野山,なおのやま,913,25501
76,熊群山,くまむれやま,804,15344
77,高塚,たかつか,767,15345
78,冠山,かんむりやま,761,15346
79,飛龍野岳,ひりゅうのだけ,693,26673
80,大龍山,おおたつやま,624,15347
81,剣龍山,けんりゅうざん,620,24871
82,城山,しろやま,232,26280
83,城山,しろやま,216,25670
84,妙音山,みょうおんざん,577,25328
85,馬場山,ばばやま,300,25964
86,小倉山,おぐらやま,253,23907
87,高長谷山,たかはぜやま,236,15377
88,北方山,きたがたやま,227,
89,茅場,かやば,237,25744
90,馬乗山,うまのりやま,152,25705
91,障子岳,しょうじだけ,750,15352
92,宇曽山,うぞうさん,644,24256
93,御座ヶ岳,ござがたけ,796,15353
94,雲ヶ背岳,くもがせだけ,795,15354
95,朝海山,ちょうかいざん,692,25414
96,岩詰,いわつめ,672,24856
97,石合原山,いさいばるやま,541,25762
98,貝殻岳,かいがらだけ,510,15349
99,高倉山,たかくらやま,320,25923
100,扇岳,おうぎだけ,556,15348
101,栗灰山,くりはいやま,409,25402
102,繁美山,しげみやま,266,26438
103,上の原,うえのはる,215,26439
104,愛宕山,あたごやま,104,25440
105,クズロ山,くずろやま,606,25660
106,池床,いけどこ,557,
107,日向塚,ひゅうがづか,529,25661
108,船山,ふなやま,500,
109,丸山,まるやま,587,25659
110,小松代,こまつだい,544,
111,重ヶ塚,しげがづか,482,26955
112,城後おばね,じょうごおばね,446,26546
113,由布岳・西ノ峰,ゆふだけ・にしのみね,1583,964
114,由布岳・東ノ峰,ゆふだけ・ひがしのみね,1580,
115,飯盛山,いいもりやま,1347,24433
116,飯盛ヶ城,いもりがじょう,1067,18458
117,日向岳,ひゅうがだけ,1085,23031
118,へべ山,へべやま,960,24505
119,鶴見岳,つるみだけ,1347,963
120,お釜の台,おかまのだい,878,25384
121,男岳,おんだけ,1216,
122,鞍ヶ戸,くらがと,1344,19149
123,内山,うちやま,1275,15422
124,石橋尾根,いしばしおね,962,25336
125,大平山,おおひらやま,810,15420
126,伽藍岳,がらんだけ,1045,15418
127,鍋山,なべやま,620,15419
128,鬼箕山,おにみのやま,693,25339
129,松塚,まつづか,700,
130,高平山,こうひらやま,830,28370
131,猫ヶ岩山,ねこがいわやま,720,16287
132,台山,だいやま,676,26885
133,西台,にしだい,565,25300
134,東台,ひがしだい,542,26660
135,岳ヶ下山,たけがしたやま,484,16285
136,鉄輪山,かんなわやま,340,19016
137,板山,いたやま,127,
138,角山,かくやま,170,
139,実相寺山,じっそうじやま,169,15421
140,小鹿山,おじかやま,727,15426
141,柳原,やなぎばる,737,27872
142,船原山,ふなばるやま,692,15427
143,立石山,たていしやま,526,24432
144,向平山,むこうがひらやま,500,15416
145,耳取山,みみとりやま,320,
146,吉備山,きびやま,255,15425
147,高崎山,たかさきやま,628,15378
148,雨乞岳,あまごいだけ,1073,15373
149,黒岩山,くろいわやま,1106,23605
150,大平山,おおひらやま,682,26508
151,高場山,たかばやま,740,15375
152,城山,しろやま,331,
153,城ヶ岳,じょうがだけ,1167,15374
154,マエ岳,まえだけ,1085,25409
155,星岳,ほしだけ,729,15376
156,王子岳,おうじだけ,426,25410
157,辻の台,つじのだい,282,25411
158,尾子岳,おうこだけ,710,15370
159,倉木山,くらきやま,1160,16372
160,青梅台,おうめんでえ,896,25027
161,弁天平,べんてんびら,810,
162,上野台,うえのだい,770,
163,高尾山,たかおやま,787,15368
164,我台,わがだい,620,
165,雛戸山,ひなどやま,830,15417
166,向山,むこうやま,733,25208
167,飛岳,とびだけ,924,15415
168,立石山,たていしやま,1070,15414
169,日向山,ひゅうがやま,859,15413
170,山石山,やまいしやま,749,26201
171,若杉山,わかすぎやま,631,25335
172,内野,うちの,785,25334
173,官山,かんざん,840,25333
174,秋山,あきやま,802,15411
175,坂山,さかいやま,836,15412
176,砲台山,ほうだいやま,720,15409
177,弾痕山,だんこんやま,690,
178,幽霊山,ゆうれいやま,704,
179,丸山,まるやま,690,15403
180,高陣ヶ尾,たかじんがお,763,15410
181,鈴ヶ塚山,すずがつかやま,890,16280
182,人見岳,ひとみだけ,877,15406
183,人見岳・西,ひとみだけ・にし,920,
184,横田山,よこたやま,806,15404
185,伊ノ伏,いのふし,818,26101
186,城山,しろやま,568,
187,福万山,ふくまざん,1235,15408
188,福万山・北,ふくまざん・きた,1200,
189,池の台,いけのだい,942,
190,八山,はちやま,557,26279
191,兜山,かぶとやま,1016,15407
192,扇山,おうぎやま,920,
193,カルト山,かるとやま,1033,15405
194,双子山,ふたごやま,770,
195,平家山,へいけざん,1023,15402
196,大黒山,だいこくやま,1020,28531
197,横山,よこやま,1036,15400
198,丸岳,まるだけ,868,
199,大祖山,おおそやま,890,15399
200,黒岳,くろだけ,891,15394
201,小松台,こまつだい,822,
202,無田の台,むたのだい,794,
203,鍋台,なべだい,711,
204,黒木山,くろきやま,688,26810
205,尼蔵岳,にぞうだけ,458,16281
206,経塚山,きょうづかやま,610,16283
207,七つ石山,ななついしやま,623,22131
208,板川山,いたごさん,600,18416
209,鳥屋岳,とやだけ,590,16282
210,唐木山,からきやま,599,16284
211,城山,しろやま,556,22132
212,百合野山,ゆりのやま,568,21175
213,雲田山,くもたやま,510,28487
214,城山,しろやま,340,16288
215,早水台,そうみだい,34,26339
216,三尺山,ざんじゃくやま,66,26340
217,高津,たかつ,73,19864
218,遠見塚,とおみづか,115,26346
219,辻,つじ,53,26345
220,寺山,てらやま,99,26512
221,立花,たちばな,102,
222,波崎,なみざき,67,
223,応利山,おうりさん,297,16348
224,来縄山,くなわやま,376,25115
225,千部山,せんぶやま,94,28446
226,栗山,くりやま,115,25276
227,両戒山,りょうかいやま,349,25116
228,松尾山,まつおやま,438,25117
229,津波戸山,つわどさん,540,20049
230,華岳,はながたけ,592,16350
231,鞍懸山,くらがけやま,392,25114
232,霧笠山,きりがさやま,369,25113
233,西叡山,さいえいざん,571,16349
234,烏帽子岳,えぼしだけ,493,25149
235,田原山,たわらやま,542,16330
236,田原山・東,たわらやま・ひがし,543,
237,甲尾山,こうのおさん,223,16329
238,鉄輪ヶ城,かながじょう,462,25151
239,高熊山,たかくまやま,480,28366
240,猪垣,いがき,422,26710
241,妙見山,みょうけんざん,481,25152
242,天堤台,あまづつみだい,367,
243,橋上台,はしがみだい,376,26832
244,高雲山,たかくもやま,298,26827
245,狐平,きつねびら,202,26828
246,妙見山,みょうけんざん,210,16334
247,横城山,よこぎさん,234,26815
248,千本松,せんぼんまつ,206,26816
249,見立山,みたてやま,192,16335
250,大熊山,おおくまやま,116,16289
251,小熊山,こぐまやま,70,
252,両子山,ふたごさん,720,961
253,牛岳,うしだけ,570,25108
254,弥箇岳,やこだけ,502,25109
255,大岳山,おおだけさん,560,16355
256,文殊山,もんじゅさん,616,16365
257,牛岳,うしだけ,616,
258,小門山,おどむれ,535,16368
259,赤根山,あかねやま,453,25112
260,熊ヶ岳,くまがたけ,527,25068
261,千灯岳,せんとうだけ,605,16359
262,不動山,ふどうさん,352,16360
263,伊美山,いみやま,510,16364
264,狩場山,かりばやま,500,
265,黒木山,くろきやま,510,
266,鷲巣岳,わしのすだけ,436,16357
267,清水畑,しみずばた,322,25147
268,堂明,どうみょう,353,24884
269,峠,とうげ,305,
270,夷耶馬,えびすやば,316,18555
271,ハジカミ山,はじかみやま,570,16362
272,尻付山,しりつきやま,587,16363
273,小牟礼山,おむれやま,420,24875
274,猪群山,いのむれやま,458,16361
275,鬼城,きしろ,450,28476
276,屋山,ややま,543,16351
277,走水峠,はしりみずとうげ,484,
278,米山,こめやま,428,26800
279,大中野,おおなかの,326,
280,笹ヶ尾,ささがお,364,
281,金比羅,こんぴら,314,
282,高畑,たかはた,264,
283,谷ヶ迫山,たにがさこやま,400,25366
284,馬場越,ばばごし,327,
285,桜畠,さくらはた,280,
286,油原山,ゆはるやま,265,28442
287,吉松山,よしまつやま,246,26047
288,小城山,おぎさん,246,16333
289,尾迫山,おざこやま,235,
290,上園,うえぞの,249,
291,大谷,おおたに,174,
292,水ヶ本,みずがもと,193,26870
293,行蔵山,ぎょうぞうやま,155,26869
294,城山,しろやま,85,
295,高岩,たかいわ,159,
296,尾ノ山,おのやま,120,
297,大平,おおひら,114,
298,見目山,みめやま,170,28369
299,羽根山,はねやま,175,25673
300,四面野,しめの,57,
301,中山,なかやま,170,28511
302,釜割,かまわり,410,25371
303,水ヶ迫山,みずがさこやま,372,25372
304,三ツ石,みついし,348,25373
305,横岳,よこだけ,389,16331
306,大力山,だいりきやま,304,25473
307,椎原山,しいはるやま,220,25474
308,岩竹山,いわたけやま,260,28480
309,大畑山,おおはたやま,240,
310,大迫山,おおさこやま,128,
311,小園山,おそのやま,50,
312,城山,しろやま,110,28525
313,矢筈岳,やはずだけ,266,16372
314,達磨山,だるまやま,110,16371
315,城山,しろやま,45,
316,焼野岳,やけのだけ,130,16373
317,両瀬山,もろせやま,117,28400
318,柱ヶ岳,はしらがたけ,45,25258
319,大村山,おおむれさん,418,16327
320,上平山,うえべらやま,364,26631
321,城山,しろやま,288,16326
322,大平山,おおひらやま,342,25292
323,城山,しろやま,210,25670
324,御許山,おもとさん,647,16324
325,雲ヶ岳,くもがたけ,653,16323
326,平山,ひらやま,560,28545
327,高畑山,たかはたやま,496,25216
328,小椋山,おぐらやま,35,
329,大尾山,おおのおさん,50,
330,大蔵山,おおぞうやま,543,16325
331,友形山,ともがたやま,510,25274
332,城山,しろやま,298,16313
333,鷹取山,たかとりやま,362,25265
334,和尚山,かしょうざん,327,16315
335,糸口山,いとぐちやま,42,25604
336,台ノ原,だいのはる,49,
337,響山,ひびきやま,50,
338,山本山,やまもとやま,141,25278
339,照山,てるやま,176,25267
340,台山,だいやま,301,25272
341,観音山,かんのんやま,234,25199
342,妙見山,みょうけんざん,444,16314
343,谷山,たにやま,434,25085
344,石山,いしやま,539,16310
345,稲積山,いなずみやま,406,16311
346,鬼落山,おにおとしやま,576,16312
347,石井山,いしいやま,487,25084
348,高山,たかやま,480,16309
349,乙村岳,おとむらだけ,498,16318
350,乙村岳・西,おとむらだけ・にし,456,
351,牛岳・東,うしだけ・ひがし,590,25268
352,牛岳・西,うしだけ・にし,572,
353,仙岩山,せんがんざん,572,16319
354,船木山,ふなきやま,476,25184
355,権現山,ごんげんやま,270,28479
356,龍王山,りゅうおうざん,315,21219
357,妻垣山,つまがけやま,241,25200
358,稲荷山,いなりやま,231,
359,鹿子岳,かなこだけ,270,16308
360,且尾山,かつおやま,349,26245
361,米神山,こめかみやま,475,16328
362,城山,しろやま,300,
363,轟山,とどろきやま,299,25182
364,古笹山,ふるざさやま,275,25270
365,戸方山,とがたやま,207,25305
366,大平山,おおひらやま,242,
367,樺木山,かばのきやま,585,16286
368,烏帽子山,えぼしやま,572,16279
369,寒水台,そうずだい,665,
370,伏松,ふせまつ,587,
371,鹿嵐山・雄岳,かならせやま・おんだけ,758,962
372,鹿嵐山・雌岳,かならせやま・めんだけ,730,
373,高尾山,たかおさん,340,25181
374,米山,こめやま,281,16317
375,城山,しろやま,130,
376,大平山,おおひらやま,419,25277
377,猪ノ奥,いのおく,276,
378,杉崎山,すぎさきやま,406,25187
379,谷門山,たにかどやま,314,25269
380,水谷台,みずたにだい,562,
381,南畑台,みなみはただい,532,25275
382,三保山,みほやま,178,28385
383,城山,しろやま,47,
384,城山,しろやま,70,
385,猪山平,いのやまひら,150,
386,奥畑山,おくばたやま,238,28478
387,猪口山,いのくちやま,206,28436
388,八面山,はちめんざん,659,16347
389,足岳,あしたけ,550,16300
390,中山,なかやま,434,28387
391,生木岳,なまきだけ,483,26267
392,羅漢寺山,らかんじやま,347,26266
393,引塚,ひきづか,332,16302
394,奥畑山,おくばたやま,573,28421
395,河内岳,こうちだけ,460,28496
396,熊ヶ岳,くまがたけ,470,16303
397,折元山,おりもとやま,410,28429
398,イムレ,いむれ,374,25341
399,賢女ヶ岳,けんにょがたけ,250,16299
400,六正山,ろくしょうやま,312,28379
401,キリハタ山,きりはたやま,372,25339
402,長野山,ながのやま,478,25180
403,大岳,おおだけ,630,16305
404,鷹城山,たかじょうさん,474,28426
405,無戸,むと,556,28382
406,高城山,たかじょうさん,500,28461
407,城山,じょうやま,432,25340
408,置石山,おきいしやま,427,28419
409,蛸の畑,たこんはた,491,
410,鹿熊岳,かぐまだけ,664,16307
411,陣ヶ尾,じんがお,427,
412,伊勢山,いせやま,200,
413,中摩殿畑山,なかまどんのはたやま,991,16294
414,彦見岳,ひこみだけ,896,23371
415,釣鐘山,つりがねやま,852,16295
416,天の岩戸,あまのいわと,830,
417,合使山,おうしやま,925,25137
418,惣見山,そうみやま,904,25138
419,高平山,たかひらやま,645,28459
420,樋桶山,ひおけやま,870,16296
421,ウメノキ,うめのき,724,
