raw_remote_id,name,kana,elevation_m,unified_poi_id,description_text
206,唐木山,からきやま,599.7,16284,
207,白石山,しらいしやま,391,15388,
208,烏岳,からすだけ,376.8,28415,
209,日向山,ひゅうがやま,958.9,27150,
210,上野岳,うえのだけ,755.2,26736,
211,殿上山,とのがみやま,330.6,25424,
212,塩見山,しおみやま,554.5,28416,
213,台山,だいやま,301,25272,
214,森山,もりやま,453,28417,
215,奥山,おくやま,345.8,25183,
216,東峰,ひがしみね,515.6,25075,
217,桃ノ木山,もものきやま,416,28418,
218,置石山,おきいしやま,427.7,28419,
219,高岡山,たかおかやま,197.7,25079,
220,烏帽子岳,えぼしだけ,493.7,25149,
221,彦見岳,ひこみだけ,886.2,23371,
222,唐迫岳,からさこだけ,1006,18982,
223,城山,じょうやま,288.3,16326,
224,四ツ城山,よつしろやま,820,16177,
225,諏訪山,すわやま,190.7,25556,
226,又五郎山,またごろうやま,433.8,28420,
227,奥畑山,おくばたやま,573.7,28421,
228,枯樅山,かれもみやま,664.8,25073,
229,高尾山,たかおさん,478.5,26125,
230,来縄山,くなわやま,376.2,25115,
231,紫石山,しせきさん,510,28422,
232,轟山,とどろきやま,552.4,28423,
233,霧笠山,きりかさやま,369,25113,
234,春田山,はるたやま,339.3,28424,
235,鼻黒山,はなぐろやま,1086.3,20493,
236,傘山,かさやま,395.5,16297,
237,双子嶽,ふたごだけ,431.6,27384,
238,照山,てるやま,176.2,25267,
239,三日月山,みかづきやま,496.7,15535,
240,平尾山,ひらおやま,254.7,28425,
241,鷹城山,たかじょうさん,474,28426,
242,ツルガ山,つるがやま,274,25499,
243,高城山,たかじょうさん,320,15285,
244,岩見岳,いわみだけ,481.2,28427,
245,三笈山,みおうやま,659.2,26540,
246,官山,かんざん,468.2,27234,
247,水ヶ迫山,みずがさこやま,372.6,25372,
248,龍王山,りゅうおうざん,316,15290,
249,稲積山,いなづみやま,406,16311,
250,大久保山,おおくぼやま,866.7,25447,
251,高峰,たかみね,585.8,28428,
252,折元山,おりもとやま,410,28429,
253,中山,なかやま,772.9,25577,
254,青山,あおやま,309,28430,
255,高塚山,たかつかやま,620.5,15601,
256,上平山,うえべらやま,364.9,26631,
257,赤根山,あかねやま,453,25112,
258,諫山,いさやま,141.9,28431,
259,狩場山,かりばやま,490.7,28432,
260,代ノ峰,だいのみね,393.3,28433,
