raw_remote_id,name,kana,elevation_m,unified_poi_id
1,石槌山,いしづちさん,486.2,15261
2,瀬平山,せびらやま,282.5,23721
3,大村山,おおむれさん,418.6,16327
4,甲尾山,こうのおさん,223.1,16329
5,応利山,おうりさん,297.6,16348
6,西叡山,さいえいざん,571,16349
7,龍王山,りゅうおうざん,198.7,15225
8,高森山,たかもりやま,225.6,25140
9,指山,ゆびやま,1449,21169
10,岩井川岳,いわいごだけ,1522,18465
11,亀ヶ岳,かめがだけ,768.1,15300
12,男岳山,おだけやま,653,15298
13,鷲ノ巣岳,わしのすだけ,436.5,16357
14,ハジカミ山,はじかみやま,570,16362
15,チーゴ岳,ちーごだけ,911.4,16142
16,シシガ城,ししがじょう,807.4,26755
17,米神山,こめかみやま,475,16328
18,龍王山,りゅうおうざん,315.4,21219
19,妙音山,みょうおんざん,577.6,25328
20,扇岳,おうぎだけ,556.8,15348
21,鹿熊岳,かぐまだけ,664.5,16307
22,不動岩,ふどういわ,490,28362
23,冠岳,かんむりだけ,617.5,15281
24,楯ヶ城山,たてがじょうやま,609.5,15279
25,小富士山,こふじさん,456.7,15271
26,巣石山,すいしやま,455.1,15272
27,羽衣山,はごろもやま,345.6,25498
28,水ヶ城山,みずがじょうさん,280.8,15357
29,黒岳,くろだけ,891.1,15394
30,黒木山,くろきやま,688.5,26810
31,柏山,かしわやま,680.8,15252
32,大石岳,おおいしだけ,645.6,15253
33,猿駈山,さるがけやま,968,16166
34,出雲岳,いずもだけ,847.9,16175
35,高塚,たかつか,767.7,15345
36,大龍山,おおたつやま,624.3,15347
37,大嶽山,おおだけさん,560.8,16355
38,小門山,おどむれ,535.1,16368
39,三陀山,さんだやま,930.6,15604
40,苅又山,かりまたやま,960,15603
41,横山,よこやま,1036.8,15400
42,河上岳,かわかみだけ,598.3,15361
43,鳥屋岳,とやだけ,590.1,16282
44,尼蔵嶽,にぞうだけ,458.8,16281
45,板戸山,いたどやま,746.4,15207
46,鷹鳥屋山,たかとやさん,639.1,25242
47,熊渡山,くまどやま,960.2,16205
48,大河内山,おおこうちやま,998,28364
49,雛戸山,ひなどやま,830.8,15417
50,樺木山,かばのきやま,585.3,16286
51,妙見山,みょうけんざん,444,16314
52,大蔵山,おおぞさん,543.4,16325
53,高倉山,たかくらやま,683.5,16213
54,二串山,ふたくしやま,521.7,16212
55,時山,ときさん,958.3,15337
56,常盤岳,ときわだけ,852,26542
57,木原山,きばるさん,669.4,15295
58,法師山,ほうしやま,379,15270
59,津島畑山,つしまばたやま,506.3,15216
60,萱場,かやば,500.5,28365
