raw_remote_id,name,kana,elevation_m,unified_poi_id,description_text
1-1,白鳥山,しらとりやま,1286.9,7764,
1-2,菊石山,きくいしやま,1209.8,19037,
1-3,黄蓮山,おうれんやま,1360,18583,
1-4,犬ヶ岳,いぬがたけ,1593,458,
1-5,サワガニ山,さわがにやま,1612.3,19442,
1-6,黒岩山,くろいわやま,1623.6,18195,
1-7,長栂山,ながつがやま,2267,7736,
1-8,初雪山,はつゆきやま,1610,7734,
1-9,白金ノ頭,しろがねのずこ,1491.5,25418,
1-10,定倉山,じょうくらやま,1406,7735,
1-11,大地山,おおちやま,1167,18669,
1-12,鍋倉山,なべくらやま,810,23805,
1-13,黒菱山,くろびしやま,1043.4,7762,
1-14,焼山,やけやま,910,7763,
1-15,大鷲山,おおわしやま,817,18747,
1-16,押場峯,おしばみね,693.8,27374,
1-17,烏帽子山,えぼしやま,483.4,7760,
1-18,諏訪山,すわやま,274.7,28645,新規
1-19,城山,しろやま,248.8,7759,
1-20,二王山,におうざん,784,7758,
1-21,南保富士,なんぼふじ,727.1,20320,
1-22,二王平峯,におうぶらみね,635,27377,
1-23,鴈谷峯,がんだんみね,556.7,27378,
1-24,三峰,みつぼ,377,27380,
1-25,権現山,ごんげんやま,203.7,27381,
1-26,南保山,なんぼやま,342.1,20321,
1-27,千蔵山,せんぞうやま,291.2,26146,
1-28,馬鬣山,ばりょうざん,248,20516,
1-29,朴ノ木山,とちのきやま,1374.4,22484,
1-30,負釣山,おいつるしやま,959.3,7732,
1-31,負釣山南峰,おいつるしやまなんぽう,978,28646,新規
1-32,樫倉山,かすくらやま,558.7,18660,
1-33,道口山,どぐちやま,514.7,27382,
1-34,鷹打山,たかうちやま,438.4,27383,
1-35,舟見山,ふなみやま,252.8,20692,
1-36,水行山,すいぎょうやま,776.7,28647,新規
1-37,権現山,ごんげんやま,230,28648,新規・標高を修正
1-38,高エ山,たかえやま,598,27246,
1-39,舟平,ふなだいら,298.6,27248,
1-40,丸山,まるやま,359.3,27387,
1-41,山伏平,やまぶしだいら,417.6,28649,新規
2-1,朝日岳,あさひだけ,2418.3,459,
