raw_remote_id,name,kana,elevation_m,unified_poi_id
1,八丁山,はっちょうやま,,22511
2,国界三郡山,こっかいみごおりやま,,22512
3,請雨山,しょううさん,,22513
4,安房高山,あわたかやま,,21747
5,長野田山,ながのだやま,,28136
6,小町峰峠,こまちみねとうげ,,22514
7,香木原峠,かきはらとうげ,,28137
8,黒塚山,くろづかやま,,22515
9,元清澄山,もときよすみさん,,1325
10,神詡連峰,かくれんぽう,,22516
11,八千鬼山,はっちきやん,,22517
12,鹿路峰,ろくろほう,,21743
13,山ノ神,やまのかみ,,22518
14,名所塚,めいしょづか,,22519
15,観音台,かんのんだい,,28138
16,鴨川富士,かもがわふじ,,22520
17,和泉浅間山,いずみせんげんやま,,28139
18,和泉風宮山,いずみかざみややま,,28140
19,女神山,めがなやま,,28141
20,男金山,おがなやま,,21742
21,小倉山,こぐらやま,,28142
22,高倉山,たかくらやま,,28143
23,度祇巌山,とびいわやま,,22525
24,金毘羅山,こんぴらやま,,28144
25,神楽石山,かぐらいしやま,,28145
26,西風宮山,にしかざみややま,,26393
27,東浅間山,ひがしせんげんやま,,28146
28,平塚浅間山,ひらつかせんげんやま,,28147
29,頑固山,がんこやま,,28148
30,二ツ山,ふたつやま,,1246
31,長狭大山,ながさおおやま,,24248
32,権現山,ごんげんやま,,28150
33,鬼手山,きでやま,,28149
34,馬ノ背,うまのせ,,28151
35,嶺岡大塚山,みねおかおおつかやま,,21745
36,中塚山,なかつかやま,,28152
37,熊捕山,くまとりやま,,28153
38,嶺岡浅間山,みねおかせんげんやま,,1316
39,白滝山,しらたきさん,,28154
40,巾着山,きんちゃくやま,,26450
41,雨乞山,あまごいやま,,24025
42,嶺岡花立山,みねおかはなたてやま,,28155
43,阿さみ塚,あさみづか,,26430
44,川代浅間山,かわしろあさまやま,,26431
45,龍光山,りゅうこうざん,,26432
46,石子山,いしごやま,,28157
47,魚見塚,うおみづか,,
48,貝渚浅間山,かいすかせんげんやま,,21750
49,波太富士,なぶとふじ,,28158
50,大峯,おおみね,,28159
51,高鶴山,たかつるやま,,1315
52,岩郷山,いわごうやま,,28160
53,向山,むかいやま,,26840
54,天面浅間山,あまずらせんげんやま,,25162
55,蛇山,じゃやま,,26564
56,八幡山,はちまんやま,,23478
57,天道山,てんとうやま,,23479
58,秋葉山,あきばやま,,26841
59,江見大塚山,えみおおつかやま,,1314
60,大石山,おおいしやま,,28161
61,四方木浅間山,よもぎせんげんやま,,26925
62,富士山,ふじやま,,377
63,宝珠山,ほうじゅさん,,28163
64,摩尼山,まにさん,,28165
65,金剛山,こんごうさん,,28167
66,如意山,にょいさん,,28162
67,露地山,ろぢさん,,28164
68,独古山,とっこさん,,28166
69,鶏毛山,けいもうさん,,23455
70,高天神,たかてんじん,,21744
71,烏帽子山,えぼしやま,,28168
72,硯石,すずりいし,,28169
73,滑山,ぬかりやま,,28170
74,天道山,てんとうさん,,28171
75,引土浅間山,ひきつちせんげんやま,,23501
76,天津愛宕山,あまつあたごやま,,26399
77,天津山,あまつやま,,28172
78,小湊山,こみなとさん,,28173
79,市ヶ坂,いちがさか,,28174
80,岩光山,がんこうさん,,25119
81,鋸山,のこぎりやま,,379
82,岩殿山,いわどのさん,,28175
83,保田八幡山,ほたはちまんやま,,26889
84,保田権現山,ほたごんげんやま,,28176
85,保田浅間山,ほたせんげんやま,,23462
86,大峯,おおみね,,26561
87,鹿嶺,しがみね,,23463
88,籠田山,かごたやま,,23464
89,保田見嵯峨山,ぼてみさがやま,,21746
90,保田見峠,ぼてみとうげ,,28177
91,人骨山,ひとぼねやま,,1245
92,津森山,つもりやま,,1244
93,旗立山,はたたてやま,,28178
94,龍島浅間山,りゅうじませんげんやま,,1240
95,大黒山,だいこくやま,,1243
96,恵比寿山,えびすやま,,28179
97,勝山八幡山,かつやまはちまんやま,,28180
98,岩井袋浅間山,いわいぶくろせんげんやま,,28181
99,天満山,てんまやま,,1242
100,津辺野山,つべのやま,,1241
101,中佐久間浅間山,なかさくませんげんやま,,28182
102,富山,とみさん,,380
103,井野浅間山,いのせんげんやま,,28183
104,伊予ヶ岳,いよがたけ,,381
105,要害山,ようがいやま,,28184
106,荒川浅間山,あらかわせんげんやま,,26452
107,大杉山,おおすぎやま,,28185
108,金ヶ塚山,かねがつかやま,,24028
109,鞍骨山,くらぼねやま,,24027
110,東房子嶺,とうぼしれい,,26451
111,嶺岡三郡山,みねおかみごおりやま,,28186
112,宮田山,みやたやま,,28187
113,大台山,おおだいやま,,21740
114,富士山,ふじやま,,24017
115,大峯山,おおみねさん,,28188
116,木ノ根峠,きのねとうげ,,28189
117,丹生浅間山,にゅうせんげんやま,,26935
118,山崎七面山,やまざきしちめんざん,,28190
119,聖山,ひじりやま,,28191
120,大房山,たいぶさやま,,28192
121,大房七面山,たいぶさしちめんざん,,28193
122,堂山,どうやま,,1235
123,二位山,にいやま,,28194
124,那古山,なごやま,,28195
125,国司山,こくしやま,,28196
126,高野山,こうやさん,,28197
127,高根山,たかねやま,,26891
128,真倉浅間山,さなぐらせんげんやま,,28198
129,房ノ大山,ぼうのおおやま,,383
130,御手洗山,みたらしやま,,28199
131,ガンコ山,がんこやま,,28200
132,砂山,すなやま,,28201
133,座席山,ざせきやま,,26576
134,兎尾山,とおやま,,28202
135,大神宮大塚山,だいじんぐうおおつかやま,,26956
136,吾谷山,あづちやま,,26957
137,天神山,てんじんやま,,22524
138,女神山,めがみやま,,25160
139,男神山,おがみやま,,25159
140,天田山,あまだやま,,23007
141,京塚山,きょうづかやま,,26958
142,神余城山,かなまりしろやま,,28203
143,城山,しろやま,,1229
144,虚空蔵山,こくうぞうやま,,28204
145,健田富士,たけだふじ,,28205
146,雨乞塚,あまごいづか,,28206
147,魚見根山,うおみねやま,,24281
148,七浦高塚山,ななうらたかつかやま,,1231
149,大貫浅間山 ,おおぬきせんげんやま,,28361
150,観音塚,かんのんづか,,26959
151,音落ヶ嶽,おとおつがたけ,,25166
152,大日山,だいにちやま,,19804
153,山名金比羅山,やまなこんぴらやま,,28207
154,房央三郡山,ぼうおうみごおりやま,,23995
155,二反森,にたんもり,,25158
156,海老敷金比羅山,えびしきこんぴらやま,,1237
157,嶺岡愛宕山,みねおかあたごやま,,382
158,経塚山,きょうづかやま,,1236
159,渡度山,とどさん,,20170
160,石堂大塚山,いしどうおおつかやま,,18673
161,小戸鴻ノ巣山,おどこうのすやま,,26960
162,白石山,しらいしやま,,28208
163,小戸愛宕山,おどあたごやま,,26961
164,赤坂山,あかさかやま,,28209
165,南赤坂山,みなみあかさかやま,,28210
166,山王山,さんのうやま,,28211
167,十三塚,じゅうさんづか,,26962
168,三峯山,みつみねさん,,26963
169,沓見大塚山,くつみおおつかやま,,28218
170,大峯山,おおみねさん,,18731
171,八幡山,はちまんやま,,28219
172,峯山,みねやま,,1232
173,御殿山,ごてんやま,,1249
174,鷹取山,たかとりやま,,19874
175,宝篋塔山,ほうきょうとうさん,,28220
176,西原浅間山,さいばらせんげんやま,,28212
177,泉山,いずみやま,,28213
178,大聖寺山,だいしょうじやま,,28214
179,円照寺山,えんしょうじやま,,28215
180,塔の上 ,とおのうえ,,
181,貴船山,きふねやま,,28216
182,青龍寺山,しょうりゅうじさん,,28217
183,胴骨山,どうぼねやま,,26446
184,五十蔵鴻ノ巣山,ごじゅうくらこうのすやま,,28221
185,烏場山,からすばやま,,18012
186,花園金比羅山,はなぞのこんぴらやま,,28222
187,西大塚山,にしおおつかやま,,26447
188,布野浅間山,ぬののせんげんやま,,26964
189,平塚山,ひらつかやま,,21748
190,白渚浅間山,しらすかせんげんやま,,21741
191,峰山,みねやま,,26965
192,神明山,しんめいやま,,1309
193,磯根浅間山,いそねせんげんやま,,28223
194,大貫嵯峨山,おおぬきさがやま,,24052
195,中大塚山,なかおおつかやま,,28224
196,小久保大塚山,こくぼおおつかやま,,1312
197,大坪山,おおつぼやま,,25157
198,古船浅間山,こせせんげんやま,,28225
199,含富里浅間,がんぶりせんげん,,28226
200,岩坂天王山,いわさかてんのうざん,,28227
201,天神山,てんじんやま,,28228
202,妙見山,みょうけんやま,,26966
203,御旗山,おはたやま,,
204,竹岡不動山,たけおかふどうやま,,28229
205,竹岡城山,たけおかしろやま,,1278
206,十三塚山,じゅうさんづかやま,,26967
207,弁財天山,べんざいてんやま,,28230
208,砲台山,ほうだいやま,,20730
209,金谷不動山,かなやふどうやま,,28231
210,金谷浅間山,かなやせんげんやま,,28232
211,三舟山,みふねやま,,1311
212,八幡山,はちまんやま,,28233
213,虚空蔵山,こくぞうやま,,26560
214,北上山,きたかみやま,,
215,岩富山,いわとみさん,,28234
216,鬼泪山,きなだやま,,1279
217,十州台,としまだい,,26562
218,鉄杖山,てつじょうさん,,23495
219,トビ岩山,とびいわやま,,28235
220,物見塚山,ものみづかやま,,23494
221,御岳山,おんたけさん,,28236
222,仲山,なかやま,,28237
223,梨沢大塚山,なしざわおおつかやま,,22455
224,三浦三良山,みうらさぶろうやま,,22453
225,峠塚,とうげづか,,25168
226,大沢天王山,おおさわてんのうざん,,28238
227,石射太郎山,いしいたろうやま,,28239
228,関尻浅間山,せきじりせんげんやま,,28240
229,関大塚山,せきおおつかやま,,1281
230,宇藤原浅間山,うとうばらせんげんやま,,28241
231,水室山,みむろやま,,1282
232,高宕山,たかごやま,,1283
233,毘沙門山,びしゃもんやま,,28243
234,金毘羅山,こんぴらやま,,28242
235,中倉浅間山,,,28244
236,豊岡愛宕山,とよおかあたごやま,,1284
237,地蔵峰,じぞうほう,,24074
238,志駒愛宕山,しこまあたごやま,,26969
239,峯山,みねやま,,28245
240,八坂山,やさかやま,,28246
241,木之根峠,きのねとうげ,,28247
242,山中石尊山,やまなかせきそんさん,,25167
243,船塚山,ふなづかやま,,25169
244,三田浅間山,さんだせんげんやま,,28248
245,壬申山,じんしんやま,,25170
246,上新田浅間山,かみにったせんげんやま,,28249
247,陣ヶ峯,じんがみね,,28250
248,秋葉山,あきばやま,,28251
249,怒田浅間山,ぬだせんげんやま,,28252
250,龍神山,りゅうじんやま,,
251,背波澤山,せばさわやま,,26970
252,久留里愛宕山,くるりあたごやま,,1331
