raw_remote_id,name,kana,elevation_m,unified_poi_id,description_text
1,寂地山,じゃくちさん,1337,866,
2-1,右谷山,みぎたにやま,1234,11817,
2-2,容谷山,ようだにやま,1032,11818,
3,小五郎山,こごろうさん,1162,868,
4-1,羅漢山,らかんざん,1109,869,
4-2,法華山,ほっけさん,962,11751,
5,鬼ヶ城山,おにがじょうやま,1030,11744,
6,大将陣,だいしょうじん,1022,11500,
7,城将山,じょうしょうざん,826,11433,
8,平家ヶ岳,へいけがだけ,1066,871,
9,水ノ尾山,みずのおさん,983,2262,
10,成君寺山,じょうくんじさん,672,11692,
11,根笠山,ねかさやま,559,11359,
12,白滝山,しらたきやま,459,11662,
13-1,弥山,みせん,435,20942,
13-2,岩国山,いわくにやま,278,11661,
14,城山,しろやま,300,19641,
15,物見ヶ岳,ものみがだけ,707,11633,
16-1,蓮華山,れんげやま,576,11636,
16-2,鞍掛山,くらがけやま,240,11635,
17,氷室岳,ひむろだけ,563,11627,
18,高照寺山,こうしょうじやま,645,11628,
19-1,銭壺山,ぜにつぼやま,540,11629,
19-2,大将軍山,だいしょうぐんやま,426,11631,
20-1,琴石山,こといしやま,546,16268,
20-2,三ヶ岳,みつがだけ,487,16270,
21-1,嘉納山,かのうざん,685,16254,
21-2,源明山,げんめいざん,625,16253,
22,文珠山,もんじゅやま,662,16269,
23,嵩山,だけさん,619,16257,
24-1,白木山,しらきやま,374,16258,
24-2,大見山,おおみさん,337,16274,
25-1,千坊山,せんぼうざん,299,11148,
25-2,大峰山,おおみねやま,299,18730,
26,烏帽子岳,えぼしだけ,697,11286,
27,石城山,いわきさん,352,16261,
28,大星山,おおぼしやま,438,16250,
29,皇座山,おうざさん,527,888,
30-1,茶臼山,ちゃうすやま,349,11144,
30-2,烏帽子岳,えぼしだけ,412,11232,
31,四熊ヶ岳,しくまがだけ,504,11281,
32-1,嶽山,だけやま,364,11225,
32-2,若山,わかやま,217,11223,
33,緑山,みどりやま,613,11280,
34,金峰山,みたけさん,790,11356,
35,千石岳,せんごくだけ,630,11355,
36,石ヶ岳,いしがだけ,924,11348,
37,飯ヶ岳,いいがだけ,937,11416,
38,弟見山,おととみやま,1085,18826,
39,莇ヶ岳,あざみがだけ,1004,873,
40,高岳,たかだけ,962,11424,
41,長野山,ながのやま,1015,11434,
42,馬糞ヶ岳,ばふんがだけ,985,872,
43,日暮ヶ岳,ひぐれがたけ,694,11417,
44-1,白石山,しらいしやま,541,11343,
44-2,狗留孫山,くるそんざん,544,11349,
45,真田ヶ岳,しんたがだけ,621,11345,
46,右田ヶ岳,みぎたがだけ,426,11208,
47,矢筈ヶ岳,やはずがだけ,461,11270,
48,大平山,おおひらやま,631,878,
49,大海山,おおみやま,325,11207,
50-1,火の山,ひのやま,303,2087,
50-2,陶ヶ岳,すえがだけ,250,11199,
51,禅定寺山,ぜんじょうじやま,392,11248,
52,鴻ノ峰,こうのみね,338,2202,
53-1,東方便山,ひがしほうべんざん,734,11329,
53-2,西方便山,にしほうべんざん,741,877,
54,日の山,ひのやま,146,2076,
55,霜降岳,しもふりだけ,250,11196,
56,竜王山,りゅうおうざん,136,11133,
57-1,荒滝山,あらたきやま,456,11244,
57-2,日の岳,ひのだけ,459,2122,
58,松岳山,まつたけさん,324,11189,
59,江嶺山,こうれいさん,549,11323,
60,矢櫃山,やびつやま,654,11319,
61,鯨ヶ岳,くじらがだけ,616,11384,
62,桂木山,かつらぎさん,702,879,
63,如意岳,にょいがだけ,545,11386,
64,花尾山,はなおやま,669,880,
65,竜護峰,りゅうごほう,426,1584,
66,雁飛山,がんびさん,580,11295,
67,桜山,さくらやま,456,11241,
68-1,四王司山,しおうじざん,392,11152,
68-2,勝山,かつやま,370,11151,
69,竜王山,りゅうおうざん,614,883,
70-1,鬼ヶ城,おにがじょう,620,11162,
70-2,狩音山,かりおとやま,577,11161,
71,華山,げさん,713,11292,
72,狗留孫山,くるそんざん,616,882,
73-1,天井ヶ岳,てんじょうがだけ,691,881,
73-2,白滝山,しらたきやま,668,11364,
74,一位ヶ岳,いちいがだけ,672,11365,
75,堂ヶ岳,どうがだけ,588,11379,
76-1,千畳敷,せんじょうじき,330,25686,
76-2,雨乞山,あまごいやま,347,11435,
77,高山,たかやま,320,11502,
78,権現山,ごんげんやま,560,11452,
79,日尾山,ひおやま,521,11450,
80,田床山,たどこやま,373,11466,
81,碁盤ヶ岳,ごばんがだけ,551,11465,
82,天越山,あまごえやま,580,11480,
83,男岳,おんだけ,789,11402,
84,ダツヤ山,だつややま,746,11326,
85,竜門岳,りゅうもんだけ,688,11413,
86,犬鳴山,いんなきやま,531,11563,
87,高山,こうやま,533,876,
88,神宮山,しんぐうやま,483,11552,
89,伊良尾山,いらおやま,641,11556,
90,権現山,ごんげんやま,653,11568,
91-1,西台,にしだい,571,11514,
91-2,権現山,ごんげんやま,592,11516,
92,大将山,たいしょうやま,644,11481,
93-1,高羽ヶ岳,たかばがたけ,761,11415,
93-2,物見ヶ岳,ものみがだけ,746,11412,
94,黒獅子山,くろじしやま,717,11478,
95,大蔵岳,おおくらだけ,834,11492,
96,野道山,のどうやま,924,11490,
97,三ツヶ峰,みつがみね,970,20951,
98,高岳山,たかだけやま,1041,11496,
99,法師山,ほうしやま,906,11545,
100,十種ヶ峰,とくさがみね,989,875,
