raw_remote_id,name,kana,elevation_m,unified_poi_id
1,御池岳,おいけだけ,1247,711
2,雨乞岳,あまごいだけ,1238,714
3,御在所岳,ございしょだけ,1212,713
4,鈴北岳,,1182,19680
5,藤原岳,ふじわらだけ,1171,21936
6,国見岳,くにみだけ,1170,19122
7,鎌ヶ岳,かまがたけ,1161,8860
8,イブネ,いぶね,1160,18453
9,クラシ,,1140,19153
10,鈴ヶ岳,すずがたけ,1130,11123
11,高昌,,1125,23884
12,杉峠の頭,,1121,19674
13,銚子,,1120,22670
14,綿向山,わたむきやま,1110,11098
15,竜ヶ岳,りゅうがだけ,1099,712
16,清水頭,,1095,19527
17,霊仙山,りょうぜんざん,1094,708
18,釈迦ヶ岳,しゃかがたけ,1092,11101
19,青岳,あおだけ,1090,27986
20,静ヶ岳,しずがたけ,1088,19498
21,七人山,,1080,19510
22,深谷山,,1080,27987
23,銚子ヶ口,ちょうしがぐち,1076,20006
24,タイジョウ,たいじょう,1060,22671
25,猫岳,,1058,20386
26,冷川岳,,1054,23313
27,土倉岳,,1049,22555
28,南霊山,,1036,25783
29,水沢岳,,1029,8859
30,銚子岳,,1019,20007
31,谷山,,992,22716
32,水谷岳,みずたにだけ,990,20930
33,水無山,,990,20932
34,天狗堂,てんぐどう,988,20084
35,仙香山,,983,19735
36,三池岳,みいけだけ,971,20903
37,多志田山,,965,23261
38,祝ヶ岳,,964,18451
39,仙ヶ岳,せんがたけ,961,8857
40,サンヤリ,,958,19480
41,水晶岳,すいしょうだけ,954,22425
42,高岩,,950,23991
43,黒尾山,くろおやま,948,19178
44,宮指路岳,くしろだけ,946,19110
45,高円山,,940,27988
46,茶野,ちゃの,938,23289
47,日本コバ,にほんこば,934,11113
48,割山,,930,27989
49,向山,,930,27990
50,ソノド,そのど,926,22715
51,焼尾山,,922,22717
52,サクラグチ,さくらぐち,918,23524
53,入道ヶ岳,にゅうどうがたけ,915,8862
54,大洞の頭,,915,23335
55,三国岳,みくにだけ,911,28049
56,岩ヶ峰,,910,27991
57,段木,,910,27992
58,ハライド,,908,21720
59,幾里山,いくりやま,908,22554
60,金山,,906,18940
61,雲母峰,きららみね,888,19093
62,塔の峰,,880,24081
63,衣掛山,,880,23351
64,滝谷山,,877,23291
65,阿弥陀ヶ峰,あみだがみね,876,24496
66,横谷山,,873,22739
67,烏帽子岳,えぼしだけ,872,11125
68,野登山,ののぼりやま,870,8858
69,風越山,,870,25642
70,御所平,ごしょだいら,850,27993
71,羽鳥峰,,850,20488
72,不老堂,ふろうどう,845,27658
73,ヒキノ,ひきの,843,22724
74,白滝山,,841,23334
75,竜王山,,840,11097
76,鍋尻山,なべじりやま,838,11121
77,草木,,834,23262
78,ヨコネ,,832,24314
79,孫太夫山,,830,27994
80,コザト,,829,23353
81,二子山,,822,25156
82,大見晴,,820,23288
83,奥草山,おくくさやま,820,27995
84,高室山,たかむろやま,818,11120
85,ザラノ,,808,23340
86,政子,,803,23489
87,ダイラの頭,,803,23357
88,那須ヶ原山,なすがはらやま,800,8843
89,弥一ヶ岳,,800,27996
90,入道ヶ原,,790,27999
91,割谷の頭,,790,27997
92,東山,,790,27998
93,タカノス,,786,25784
94,岳,だけ,781,19928
95,奥山,,780,28000
96,長尾山,,778,25785
97,万野,,775,23290
98,三つ頭山,,774,22707
99,高畑山,たかはたやま,773,715
100,狗留尊岳,,772,23402
101,押立山,おしだてやま,771,23400
102,溝干山,,770,22619
103,水呑ヶ岳,,770,28001
104,太尾,,770,28002
105,横根山,よこねやま,764,28003
106,ベンケイ,べんけい,761,23125
107,幾利,,760,28004
108,小那須山,,760,28005
109,舟石,,760,28006
110,能登ヶ峰,のとがみね,759,23396
111,倉骨山,,756,25128
112,旭山,あさひやま,755,22725
113,白鹿背山,はっかせやま,755,20123
114,ミズナシ,,754,24357
115,地蔵山,,750,25121
116,オゴエ谷頭,,731,25786
117,唐木岳,,730,28007
118,高塚,,730,23467
119,南コブ,,723,23415
120,西山,にしやま,722,23837
121,湯の峰,,722,22733
122,リョウシ,,722,23354
123,烏山,,717,23356
124,鳩ヶ峰,,710,22720
125,明神山,,700,21023
126,アカイシ,,704,23166
127,猿登,さるのぼり,702,23352
128,左上田山,,700,25843
129,臼杵ヶ岳,,697,22721
130,大日向,,696,23450
131,岳の畑,,696,25787
132,油日岳,あぶらひだけ,693,8842
133,三国岳,,690,20916
134,丸山,,690,28008
135,庭戸山,,690,23413
136,石岳,,690,25788
137,陣尾山,,687,25127
138,黒谷山,,685,24945
139,高野山,,684,19883
140,男鬼山,,683,22850
141,高取,,680,25837
142,神縣,,680,25789
143,大見放,,678,28009
144,丸山,,676,23028
145,比婆之山,,670,27980
146,小鍋尻山,,670,25790
147,向山,,670,28010
148,四方草山,しおそやま,667,19486
149,釈迦岳,,660,28011
150,武奈山,,659,21029
151,丸山,,650,28012
152,旗山,はたやま,649,20457
153,子向井山,,647,23296
154,新の谷,,643,28015
155,イワス,,640,27623
156,アミダ峰,,640,25792
157,杉坂山,,640,25793
158,寒山,,640,28013
159,丸茅山,,633,23839
160,猿ヶ山,,630,25390
161,臼杵山,,630,28016
162,向山,,630,28017
163,一里山,いちりやま,629,24249
164,経塚山,きょうづかやま,623,25052
165,ネコ,,620,28018
166,ボンテン,ぼんてん,617,18442
167,八つ尾山,やつおやま,616,11119
168,砥山,,615,23838
169,今須山,,611,25794
170,北山,,610,28019
171,長坂の頭,,610,28020
172,高取山,,610,19872
173,宇曽利山,,609,25838
174,たかや,,604,27649
175,八葉山,はちようざん,601,23385
176,長石山,ちょうせきやま,600,28014
177,紅皿山,べにさらやま,600,28021
178,福王山,,598,11115
179,奥の山,,593,25795
180,錐山,,590,28022
181,高畑山,,577,25839
182,タカンジョ,たかんじょ,573,24665
183,新山,,569,25796
