raw_remote_id,name,kana,elevation_m,unified_poi_id
1,朝日岳,あさひだけ,1896,3332
2,半月山,はんげつやま,1753,3104
3,丸山,まるやま,1689,3179
4,赤薙山,あかなぎさん,2010,3180
5,大岩山,おおいわさん,417,2718
6,行道山,ぎょうどうさん,442,2717
7,神ノ主山,こうのすやま,842,9463
8,鳴虫山,なきむしやま,1104,3117
9,石裂山,おざくさん,879,2802
10,晃石山,てるいしさん,419,2729
11,太平山,おおひらさん,341,2728
12,馬不入山,うまいらずさん,345,2731
13,鳴蟲山,なきむしやま,725,2805
14,深高山,しんこうざん,506,2715
15,古賀志山,こがしやま,583,2814
16,赤雪山,あかゆきやま,621,2750
17,石尊山,せきそんさん,486,2716
18,茶臼岳,ちゃうすだけ,1915,265
19,南月山,みなみがっさん,1776,3327
20,白笹山,しらざさやま,1719,3326
21,三本槍岳,さんぼんやりだけ,1917,264
22,田代山,たしろやま,1971,285
23,鶏頂山,けいちょうざん,1765,3230
24,白根山,しらねさん,2578,274
25,太郎山,たろうさん,2367,272
26,庚申山,こうしんざん,1892,276
27,横根山,よこねやま,1373,278
28,三毳山,みかもやま,229,2707
29,両崖山,りょうがいさん,251,2719
30,笹目倉山,ささめくらやま,800,2803
31,大小山,だいしょうやま,314,2705
32,唐沢山,からさわさん,241,2723
33,仙人ヶ岳,せんにんがたけ,663,2749
34,諏訪岳,すわだけ,324,2721
35,大鳥屋山,おおとやさん,693,2752
36,隠居倉,いんきょぐら,1819,3333
37,剣ヶ峰,けんがみね,1540,3235
38,男体山,なんたいさん,2484,273
39,金精山,こんせいざん,2244,3165
40,五色山,ごしきやま,2379,3166
41,前白根山,まえしらねさん,2373,3169
42,女峰山,にょほうさん,2483,269
43,大真名子山,おおまなごさん,2375,270
44,熊鷹山,くまたかやま,1169,2777
45,丸岩岳,まるいわだけ,1127,2778
46,多高山,たこうさん,608,2748
47,高原山,たかはらやま,754,2784
48,本山,ほんざん,562,3137
49,二股山,ふたまたやま,570,2787
50,氷室山,ひむろやま,1120,2773
51,鶏鳴山,けいめいざん,970,3121
52,雨巻山,あままきさん,533,2842
53,岳ノ山,たけのやま,704,8875
54,高谷山,たかやさん,602,2785
55,尾出山,おでやま,933,2783
56,赤岩山,あかいわやま,535,2815
57,多気山,たげさん,377,2816
58,地蔵岳,じぞうだけ,1483,3113
59,夕日岳,ゆうひだけ,1526,3114
60,備前楯山,びぜんたてやま,1272,2795
61,袈裟丸山,けさまるやま,1961,277
62,富士山,ふじやま,1184,3296
63,ミツモチ,みつもち,1248,3234
64,鋸山,のこぎりやま,1998,3100
65,皇海山,すかいさん,2144,275
66,山王帽子山,さんのうぼうしやま,2077,3176
67,高山,たかやま,1668,3171
68,流石山,ながれいしやま,1822,3321
69,社山,しゃざん,1827,3105
70,釈迦ヶ岳,しゃかがだけ,1795,268
71,羽黒山,はぐろさん,470,3142
72,飯盛山,めしもりやま,501,3138
73,高舘山,たかだてやま,477,3139
74,御岳山,おんたけさん,162,2866
75,鎌倉山,かまくらさん,216,2867
76,芳賀富士,はがふじ,272,2868
77,高館山,たかだてやま,302,2855
78,鞍掛山,くらかけさん,492,2811
79,野峰,のみね,1010,2780
80,仏頂山,ぶっちょうざん,431,2843
81,根本山,ねもとやま,1199,2774
82,十二山,じゅうにやま,1140,2775
83,岩船山,いわふねさん,173,2706
84,絹ヶ岳,きぬがたけ,310,
85,愛宕山,あたごやま,534,2751
86,茶臼山,ちゃうすやま,517,3125
87,刈場山,かりばやま,412,3188
88,勝雲山,かつうんざん,1322,2797
89,金原山,かなはらさん,427,2756
90,茂呂山,もろやま,193,2790
91,天狗鳥屋,てんぐとや,365,2812
92,浅間山,せんげんやま,109,2704
93,根名草山,ねなくさやま,2330,3213
94,アド山,あどやま,371,2757
95,薬師岳,やくしだけ,1420,3112
96,鬼怒沼山,きぬぬまやま,2141,288
97,物見山,ものみやま,2113,3207
98,高峯,たかみね,520,2844
99,花香月山,はなかりさん,378,2856
100,帝釈山,たいしゃくさん,2455,3182
101,小真名子山,こまなごさん,2323,271
102,三床山,みどこやま,335,2720
103,荒海山,あらかいざん,1581,284
104,南平山,なんだいらさん,1007,3225
105,富士山,ふじやま,427,3127
106,丸山,まるやま,326,3132
107,岩山,いわやま,328,2788
108,外山,とやま,880,3185
109,小倉山,おぐらやま,754,3186
110,三峰山,みつみねさん,605,2753
111,松倉山,まつくらさん,345,2884
112,筑紫山,つくしやま,199,2882
113,谷倉山,やぐらさん,599,2759
114,観音山,かんのんやま,172,2865
115,笠松山,かさまつやま,328,2810
116,黒戸山,くろとやま,412,2809
117,矢倉山,やぐらやま,409,3140
118,妙見山,みょうけんざん,330,3141
119,唐沢山,からさわやま,555,2754
120,三ノ宿山,さんのしゅくやま,1229,9450
121,地蔵岳,じぞうだけ,1274,2799
122,奈良部山,ならべやま,985,2779
123,石尊山,せきそんさん,594,2804
124,中山,なかやま,615,3122
125,月山,がっさん,1287,3222
126,夫婦山,めおとやま,1342,3221
127,愛宕山,あたごさん,520,3123
128,磯山,いそやま,105,2837
129,百村山,もむらやま,1085,3312
130,日ノ出平,ひのでだいら,1786,
131,黒尾谷岳,くろおやだけ,1589,3328
132,御富士山,おふじやま,497,3391
133,西平岳,にしひらだけ,1712,3229
134,中岳,なかだけ,1728,3228
135,大山,おおやま,1158,3187
136,帝釈山,たいしゃくさん,2060,286
137,三岳,みつだけ,1945,3174
138,安戸山,やすどやま,1152,3300
139,鶏岳,にわとりだけ,668,3191
140,赤田山,あかだやま,311,3239
141,弥太郎山,やたろうさん,1392,3295
142,二方鳥屋山,にほうとやざん,1262,3292
143,浅間山,せんげんやま,396,3131
144,雷電山,らいでんやま,386,3134
145,寅巳山,とらみやま,446,3133
146,大倉山,おおくらやま,1885,3319
147,三倉山,みくらやま,1888,3322
148,日留賀岳,ひるがだけ,1849,3304
149,比津羅山,ひづらやま,1201,3311
150,巣神山,すがみやま,1226,2796
151,谷倉山,やぐらさん,747,2782
152,不動岳,ふどうだけ,665,2786
153,不動岳,ふどうだけ,378,2755
154,火戸尻山,ほどじりやま,852,3118
155,六郎地山,ろくろうじやま,1100,3115
156,雲雀鳥屋,ひばりとや,362,2813
157,三峰山,みつみねさん,485,2789
158,大倉山,おおくらさん,455,2758
159,高平山,たかひらさん,830,3120
160,富士山,ふじやま,365,3190
161,石尊山,せきそんさん,481,3189
162,女体山,にょたいさん,409,3341
163,薬師岳,やくしだけ,386,3342
164,高鳥山,たかとりさん,337,3340
165,焼森山,やきもりやま,420,2858
166,鶏足山,けいそくさん,430,2857
167,高知山,たかちやま,398,3130
168,大山,おおやま,404,3128
169,前山,まえやま,369,3129
170,名野山,なのやま,426,3119
171,堂室山,どうむろやま,306,3136
172,東立室,ひがしたつむろ,957,3232
173,西立室,にしたつむろ,973,3231
174,赤倉山,あかくらやま,1442,3111
175,城山,しろやま,443,3126
176,高へら山,たかへらやま,433,3135
177,半蔵山,はんぞうやま,502,2806
178,兜山,かぶとやま,372,2808
