raw_remote_id,name,kana,elevation_m,unified_poi_id
1,大萱山,おおかややま,1154,2800
2,白浜山,しらはまやま,1125,17851
3,宝生山,ほうしょうざん,1154,17866
4,氷室山,ひむろさん,1123,2773
5,椀名条山,わんなじょうさん,1052,2772
6,十二山,じゅうにさん,1143,2775
7,根本山,ねもとさん,1199,2774
8,三境山,さんきょうさん,1088,2776
9,残馬山,ざんまさん,1107,17867
10,白萩山,しらはぎやま,1070,17899
11,熊鷹山,くまたかやま,1169,2777
12,丸岩岳,まるいわだけ,1127,2778
13,野峰,のみね,1010,2780
14,鳴神山,なるかみやま,980,2741
15,三峰山,みつみねさん,697,17889
16,大形山,おおがたやま,682,2743
17,萱野山,かやのやま,568,18157
18,城山,じょうやま,361,2744
19,吾妻山,あずまやま,481,2746
20,丸山,まるやま,1065,17884
21,大畑山,おおはたやま,754,17846
22,荒神山,こうじんやま,624,2740
23,十二山,じゅうにやま,797,17914
24,高鳥屋山,たかとややま,706,17915
25,赤地山,あかっちやま,686,17917
26,駒見山,こまみやま,600,17918
27,石尊山,せきそんさん,507,18158
28,雷電山,らいでんやま,449,17919
29,岩久保山,いわくぼやま,394,18159
30,経塚山,きょうづかやま,338,18160
31,小倉山,おぐらやま,342,18161
32,笹久保山,ささくぼやま,360,17911
33,仙人ヶ岳,せんにんがたけ,663,2749
34,仙ヶ沢,せんがさわ,647,17880
35,高戸山,たかどやま,625,17885
36,観音山,かんのんやま,308,18162
37,御嶽山,おんたけやま,380,17891
38,茶臼山,ちゃうすやま,294,2713
39,黒檜山,くろびさん,1828,279
40,駒ヶ岳,こまがたけ,1685,2765
41,長七郎山,ちょうしちろうさん,1579,2768
42,小黒檜山,こくろびさん,1644,2763
43,袈裟丸山,けさまるやま,1910,17869
44,二子山,ふたごやま,1557,2794
45,栗生山,くりゅうさん,968,2771
46,小中山,こなかやま,1116,17904
47,要害山,ようがいさん,593,17897
48,田沢奥山,たざわおくざん,1260,17940
49,中野山,なかのやま,785,17896
50,神戸山,ごうどやま,857,17905
51,琴平山,こんぴらやま,196,2711
52,稲荷山,いなりやま,180,18163
53,鹿田山,しかだやま,232,2709
54,天神山,てんじんやま,174,2710
55,浅間山,せんげんやま,448,17950
56,立岩山,たついわやま,235,17886
57,要害山,ようがいさん,270,17845
58,手振山,てぶりやま,368,18164
59,八王子山,はちおうじやま,269,18165
60,荒神山,こうじんやま,218,2712
61,唐沢山,からさわやま,261,17882
62,手臼山,てうすやま,194,18166
63,鳶山,とびやま ,210,17960
64,桂山,かつらやま,281,17959
65,雨乞山,あまごいやま,196,18167
66,浅間山,せんげんやま,172,18168
67,羽場山,はばやま,220,17859
68,唐沢山,からさわやま,380,18169
69,雷電山,らいでんやま,187,18170
70,雷電山,らいでんやま,225,18171
71,一色雷電山,いっしきらいでんやま,327,18172
72,石尊山,せきそんさん,177,18173
73,朴の木山,ほおのきやま,624,17847
74,二渡山,ふたわたりやま,348,17892
75,栗生山,くりゅうやま,341,18174
76,愛宕山,あたごやま,375,17894
77,作網山,さかみやま,401,18175
78,筬沢山,おさざわやま,494,18176
79,愛宕山,あたごやま,166,18177
80,経塚山,きょうづかやま,216,18178
81,丸山,まるやま,174,18179
82,物見山,ものみやま,274,2747
83,雷電山,らいでんやま,217,18180
84,観音山,かんのんやま,199,18181
85,雷電山,らいでんやま,320,18182
86,丸山,まるやま,372,17910
87,蚕影山,こかげさん,616,17916
88,石尊山,せきそんさん,271,17953
89,愛宕山,あたごやま,302,17952
90,駒形山,こまがたやま,632,17951
91,富士山,ふじやま,163,18183
92,梵天山,ぼんてんやま,426,17947
93,八王子山,はちおうじやま,330,18184
94,天狗山,てんぐやま,748,17944
95,三峰山,みつみねやま,628,17946
96,東山,ひがしやま,678,17945
97,雷電山,らいでんやま,605,17986
98,田黒山,たぐろやま,792,17943
99,不二山,ふじやま,290,18185
100,雷電山,らいでんやま,202,18186
