raw_remote_id,name,kana,elevation_m,unified_poi_id,description_text,
1,吉和冠山,よしわかんむりやま,1339,865,
2,小室井山,こむろいやま,1072.2,21300,
3,十方山,じっぽうざん,1318.9,863,
4,恐羅漢山,おそらかんざん,1346.4,862,
5,砥石郷山,といしごうやま,1177.0,11916,
6,聖山,ひじりやま,1113.2,11922,
7,深入山,しんにゅうざん,1153.0,861,
8,高岳,たかだけ,1054.3,11921,
9,臥龍山,がりゅうざん,1223.4,860,
10,掛頭山,かけずやま,1126.1,12031,
11-1,大佐山,おおさやま,1069.0,859,
11-2,鷹巣山,たかのすやま,943.3,2643,
12,大潰山,おおづえやま,997.5,12076,
13,雲月山,うずきやま,911.8,858,
14-1,一兵山家山,いちべえさんかやま,951.7,12086,
14-2,中野冠山,なかのかんむりやま,1002.9,12083,
15,天狗石山,てんぐいしやま,1191.8,857,
16,高杉山,たかすぎやま,1148.6,21301,
17,毛無山,けなしやま,1082.5,12088,
18,阿佐山,あさやま,1218.2,856,
19,寒曳山,かんびきやま,825.8,12095,
20,火野山,ひのやま,705.4,12041,
21,熊城山,くまのじょうさん,997.5,12035,
22,龍頭山,りゅうずやま,928.4,11930,
23,大丸峯,おおまるみね,778.5,11929,
24,五輪山,ごりんざん,832.7,11928,
25,猿政山,さるまさやま,1267.7,843,
26,吾妻山,あづまやま,1238.8,16573,
27,比婆山,ひばやま,1264,16578,
28-1,牛曳山,うしびきやま,1144,18514,
28-2,伊良谷山,いらだにやま,1148.9,18460,
28-3,毛無山,けなしやま,1143.7,16577,
29,竜王山,りゅうおうざん,1255.8,16575,
30,福田頭,ふくだがしら,1252.7,16574,
31,葦嶽山,あしだけやま,815,18291,
32,猫山,ねこやま,1195.5,16582,
33-1,道後山,どうごやま,1268.9,840,
33-2,岩樋山,いわひやま,1271,16579,
34,多飯が辻山,おおいがつじやま,1040.3,16544,
35-1,鈴ヶ峰,すずがみね,312,11769,
35-2,鬼ヶ城山,おにがじょうやま,282.5,11768,
36,大茶臼山,おおちゃうすやま,413.2,11832,
37,宗箇山,そうこやま,356,11829,
38-1,武田山,たけだやま,410.9,11837,
38-2,火山,ひやま,488.3,11828,
39,荒谷山,あらたにやま,631.3,11827,
40-1,権現山,ごんげんやま,397.1,11835,
40-2,阿武山,あぶさん,586.4,11833,
41,安芸小富士,あきのこふじ,278.1,11711,
42,呉娑々宇山,ごさそうざん,682.2,853,
43,二ヶ城山,ふたつがじょうざん,483.2,11840,
44,木ノ宗山,きのむねやま,413.1,2489,
45,高松山,たかまつやま,339.0,11893,
46,可部冠山,かべかんむりやま,735.7,11940,
47,堂床山,どうとこやま,859.6,11886,
48,牛頭山,うしずやま,689,11892,
49,高鉢山,たかはちやま,705.8,852,
50-1,白木山,しらきやま,889.8,852,
50-2,押手山,おしてやま,706.8,11895,
51,神ノ倉山,かんのくらやま,561.5,2511,
52,鎌倉寺山,かまくらじざん,610,11900,
53-1,鷹ノ巣山,たかのすやま,922.1,851,
53-2,カンノ木山,かんのきやま,892.1,11908,
54-1,窓ヶ山,まどがやま,711.4,11823,
54-2,向山,むかいやま,665.9,11824,
55,極楽寺山,ごくらくじやま,693,11766,
56,野貝原山,のがいばらやま,719.5,20399,
57-1,宮島弥山,みやじまみせん,529.8,887,
57-2,岩船岳,いわふねだけ,466.6,11663,
58-1,城山,じょうやま,265.6,11707,
58-2,経小屋山,きょうごやさん,596.6,11704,
59,船倉山,ふなくらやま,545.9,21302,
60,大野権現山,おおのごんげんやま,699.5,11760,
61-1,行者山,ぎょうじゃやま,313.5,19079,
61-2,傘山,かさやま,649.9,11703,
62,河平連山,こうひられんざん,555.2,19237,
63-1,三倉岳,みくらだけ,701.8,11700,
63-2,瓦小屋山,かわらごややま,663.8,11706,
64-1,上勝成山,かみかつなりやま,684.0,11758,
64-2,下勝成山,しもかつなりやま,652.2,11762,
65,大峯山,おおみねやま,1039.8,864,
66,東郷山,とうごうやま,977.4,11822,
67,天上山,てんじょうざん,972.6,11879,
68,湯来冠山,ゆきかんむりやま,1004.4,11819,
69,羅漢山,らかんざん,1109.1,869,
70,鬼ヶ城山,おにがじょうやま,1030.9,11744,
71,日浦山,ひのうらやま,345.9,11779,
72-1,蓮華寺山,れんげじやま,374.0,11786,
72-2,高城山,たかじょうやま,496.1,11843,
73,鉾取山,ほことりやま,711.5,11782,
74,曽場ヶ城山,そばがじょうやま,607.2,11850,
75,虚空蔵山,こくうぞうやま,666.1,11851,
76,篁山,たかむらやま,535,11867,
77,天神嶽,てんじんだけ,757.5,11907,
78,小田山,こたさん,719.1,11788,
79,絵下山,えげさん,568.1,11716,
80,天狗岩,てんぐいわ,370,21303,
81,天狗城山,てんぐじょうやま,293.4,11723,
82,灰ヶ峰,はいがみね,737.0,11722,
83,古鷹山,ふるたかやま,392,11713,
84,倉橋島火山,くらはしじまひやま,408,11652,
85,野呂山,のろさん,839.4,854,
86,朝日山,あさひやま,454.1,11807,
87-1,黒滝山,くろたきやま,266,11811,
87-2,白滝山,しろたきやま,340,11810,
88,七国見山,ななくにみやま,457.0,11678,
89-1,筆影山,ふでかげやま,314,15971,
89-2,葉田竜王山,はたりゅうおうざん,445.0,15969,
90-1,大峰山,おおみねさん,610.2,16002,
90-2,竜王山,りゅうおうざん,665.1,850,
91,鳴滝山,なるたきやま,402.0,15973,
92,鉢ヶ峰,はちがみね,429.7,15972,
93,大谷山,おおたにやま,400.6,16012,
94,臼木山,うすきやま,315,18523,
95-1,彦山,ひこさん,430.1,16016,
95-2,葛城山,かつらぎさん,420,21304,
95-3,熊ヶ峰,くまがみね,438.0,885,
96-1,男鹿山,おじかやま,633.8,11959,
96-2,女鹿山,めじかやま,624,11958,
97,岳山,だけやま,738.6,849,
98,亀ヶ岳,かめがだけ,539.4,1066,
99,蛇円山,じゃえんざん,545.8,1069,
100,馬乗山,うまのりやま,500.3,1067,
