raw_remote_id,name,kana,elevation_m,unified_poi_id
1,くとさん,久斗山,650,804
2,かんのんさん,観音山,245,12784
3,みなるやま,三成山,536.2,12786
4,くるひだけ,来日岳,566.7,796
5,みかわやま,三川山,887.6,10855
6,そぶだけ,蘇武岳,1074.4,805
7,みょうけんさん,妙見山,1139,806
8,うしがみねやま,牛ヶ峰山,712.8,12783
9,おうぎのせん,扇ノ山,1309.9,810
10,ほうたくさん,法沢山,643.5,10862
11,こうりゅうじがだけ,高竜寺ヶ岳,696.7,10861
12,とろかわやま,瀞川山,1039.2,10828
13,はちぶせやま,鉢伏山,1221.1,811
14,ひょうのせん,氷ノ山,1509.6,812
15,ひがしとこのおさん,東床尾山,839.1,795
16,むろおやま,室尾山,629.7,10841
17,みはらいさん,御祓山,773.1,10366
18,するがみね,須留ヶ峰,1053.5,10367
19,あさごやま,朝来山,756.5,10371
20,あわがやま,粟鹿山,962.3,801
21,あおくらさん,青倉山,810.5,10372
22,ぎょうじゃだけ,行者岳,786,21729
23,あかたにやま,赤谷山,1216.4,21647
24,ふじなしやま,藤無山,1139.2,807
25,さんきゅうあんざん,三久安山,1123.2,10349
26,みむろやま,三室山,1358,813
27,そらやま,空山,900.9,12567
28,うしろやま,後山,1344.6,816
29,うえまつやま,植松山,1191.1,12572
30,ひなくらさん,日名倉山,1047.4,10334
31,ひとつやま,一山,1064.4,10351
32,ひがしやま,東山,1015.9,10352
33,かさすぎやま,笠杉山,1032.1,10353
34,だるがみね,段ヶ峰,1106,808
35,せんちょうがみね,千町ヶ峰,1141.3,10356
36,ぎょうせいざん,暁晴山,1077.2,10343
37,くろおやま,黒尾山,1042.7,10339
38,せっぴこさん,雪彦山,811.1,18681
39,ちょうずいさん,長水山,584.4,10320
40,みょうじんさん,明神山,667.9,10308
41,なぐさやま,七種山,683,10322
42,おやしらず,親不知,604.6,10797
43,いわやさん,岩屋山,718.3,10361
44,ごだいさん,五台山,654.6,10757
45,みくにだけ,三国岳,855.2,10363
46,りゅうがだけ,竜ヶ岳,816.7,10364
47,せんがみね,千ヶ峰,1005.2,802
48,しらいわやま,白岩山,973,19620
49,みょうこうさん,妙高山,564.8,10768
50,むかいやま,向山,569,10698
51,みつおさん,三尾山,586,10704
52,のこぎりやま,鋸山,605.9,21730
53,みたけ,三嶽,793.4,790
54,こがねがだけ,小金ヶ嶽,725,10720
55,いしどやま,石戸山,548.8,18403
56,きんざん,金山,540,10703
57,しらがだけ,白髪岳,721.8,791
58,やじゅうろうがたけ,弥十郎ヶ岳,715.1,10649
59,みょうけんさん,妙見山,692.6,10348
60,かさがたやま,笠形山,939.4,803
61,はくさん,白山,510,10633
62,さいこうじさん,西光寺山,712.9,10636
63,かまくらやま,鎌倉山,452.7,21731
64,こくぞうさん,虚空蔵山,592,10569
65,みくさやま,三草山,423.9,10563
66,おおやさん,大野山,753.5,10650
67,せんじょうじさん,千丈寺山,589.6,10573
68,おおふなやま,大船山,653.1,10586
69,みくさやま,三草山,564.1,10596
70,ありまふじ,有馬富士,374,10579
71,はつかやま,羽束山,524,10501
72,みょうけんさん,妙見山,660.1,787
73,おおいわだけ,大岩岳,384.1,10508
74,おおみねさん,大峰山,552.3,10513
75,なかやま,中山,478,10517
76,しらはたやま,白旗山,440.3,819
77,みのうさん,三濃山,508.6,10263
78,おおくらやま,大倉山,520.1,18612
79,いせやま,伊勢山,353,10277
80,しょしゃざん,書写山,371,818
81,ますいやま,増位山,259,10280
82,かさまつやま,笠松山,244.4,10290
83,べにやま,紅山,184,20714
84,おたかだいやま,雄鷹台山,253,10231
85,てんがだいさん,天下台山,321.4,10227
86,こふじやま,小富士山,173,10244
87,たかみくらやま,高御位山,304,10251
88-1,おっこさん,雄岡山,241.2,10427
88-2,めっこさん,雌岡山,249,10426
89,たんじょうさん,丹生山,515,10425
90,よこおやま,横尾山,312.1,10189
91,たかとりさん,高取山,328,10399
92,きくすいやま,菊水山,458.8,10394
93,ふたたびさん,再度山,470,10391
94,まやさん,摩耶山,702,798
95,ゆぶねだにやま,湯槽谷山,801,10442
96,ろっこうさん,六甲山,931.3,797
97,かぶとやま,甲山,309.2,10469
98,じょうりゅうじさん,常隆寺山,515.1,18413
99,せんざん,先山,448,9859
100,ゆづるはさん,諭鶴羽山,608.3,800
