raw_remote_id,name,kana,elevation_m,unified_poi_id,description_text
1,伊吹山,いぶきやま,1377,707,
2,三国岳,みくにだけ,815,11126,
3,養老山,ようろうさん,859,710,
4,池田山,いけだやま,924,9317,
5,小島山,おじまやま,864,9316,
6,鎗ヶ先山,やりがさきやま,966,9314,
7,虎子山,とらすやま,1183,20192,
8,貝月山,かいづきやま,1234,9367,
9,金糞岳,かなくそだけ,1320,706,
10,土蔵岳,つちくらだけ,1002,9391,
11,小津権現山,おづごんげんさん,1158,9399,
12,花房山,はなぶさやま,1190,9400,
13,雷倉,かみなりくら,1169,9401,
14,タンポ,たんぽ,1066,19986,
15,天狗山,てんぐやま,1149,9397,
16,蕎麦粒山,そむぎやま,1297,9393,
17,五蛇池山,ごじゃいけやま,1148,9396,
18,上谷山,うえんだにやま,1083,9426,
19,黒壁,くろかべ,1316,19897,
20,三周ヶ岳,さんしゅうがたけ,1292,705,
21,美濃俣丸,みのまたまる,1254,9421,
22-1,不動山,ふどうさん,1240,9424,
22-2,千回沢山,せんがざわやま,1246,9425,
23,笹ヶ峰,ささがみね,1285,9420,
24,釈迦嶺,しゃかりょう,1175,9436,
25,金草岳,かなくさだけ,1227,9435,
26,冠山,かんむりさん,1257,704,
27,若丸山,わかまるやま,1286,9438,
28,能郷白山,のうごうはくさん,1617,703,
29,高屋山,たかやさん,1136,9429,
30,大白木山,おじろぎやま,1234,18810,
31,越山,おやま,1129,9442,
32,屛風山,びょうぶさん,1354,701,
33,舟伏山,ふなふせやま,1040,9404,
34,日永岳,ひながだけ,1216,9430,
35,ドウの天井,どうのてんじょう,1333,20132,
36,蕪山,かぶらやま,1069,9432,
37,左門岳,さもんだけ,1224,9444,
38,滝波山,たきなみやま,1413,9448,
39,今渕ヶ岳,いまぶちがたけ,1048,9411,
40,瓢ヶ岳,ふくべがたけ,1163,9410,
41,高賀山,こうかさん,1224,700,
42,大洞山,おおぼらやま,1035,18715,
43,母袋烏帽子,もたいえぼし,1341,21057,
44,烏帽子岳,えぼしだけ,1625,9555,
45,鷲ヶ岳,わしがたけ,1672,671,
46,大日ヶ岳,だいにちがたけ,1709,688,
47,毘沙門岳,びしゃもんだけ,1386,9456,
48,野伏ヶ岳,のぶせがたけ,1674,687,
49,願教寺山,がんきょうじやま,1691,686,
50-1,芦倉山,あしくらやま,1717,9568,
50-2,丸山,まるやま,1786,9566,
