id,source_type,display_name,reliability_level
1,DIGITAL,GSI_GCP,0
2,DIGITAL,GSI_DM25K,3
3,DIGITAL,GSI_VTEXP,2
4,DIGITAL,WIKIDATA,7
5,DIGITAL,YAMAP,6
6,DIGITAL,YAMARECO,8
7,DIGITAL,LEGACY,9
8,BOOK,MANUAL,1
9,BOOK,PENDING,10
10,BOOK,静岡の百山,5
11,BOOK,石川の山,5
12,BOOK,大分の山,5
13,BOOK,大分300山,5
14,BOOK,大分250山,5
15,BOOK,奈良名山案内,5
16,BOOK,富山県山名録,5
17,BOOK,福井の山150,5
18,BOOK,房総山岳志,5
19,BOOK,防長百山,5
20,BOOK,鈴鹿の山万能ガイド,5
21,BOOK,群馬300上巻,5
22,BOOK,群馬300下巻,5
23,BOOK,栃木273山,5
24,BOOK,桐生100山,5
25,BOOK,ひろしま百山,5
26,BOOK,兵庫100山,5
27,BOOK,京都府山岳総覧,5
