raw_id,name,kana,elevation,mountain_id,description
1,生駒山,いこまやま,642.0,732,
2,大原山,おおはらやま,514.2,23442,
3,信貴山,しぎさん,437,733,
4,明神山,みょうじんやま,273.6,10167,
5-1,二上山（雄岳）,にじょうざん,517,734,
5-2,二上山（雌岳）,にじょうざん,473.9,10163,
6,岩橋山,いわはしやま,658.8,10140,
7,大和葛城山,やまとかつらぎさん,958.9,735,
8-1,金剛山,こんごうざん,1125,736,
8-2,中葛城山,なかかつらぎさん,937.5,20224,
8-3,神福山,じんふくざん,795,10120,
9,松尾山,まつのおさん,315.1,10201,
10,国見山,くにみやま,680,22601,
11-1,芳山,ほやま,517.6,10420,
11-2,若草山,わかくさやま,341.6,727,
12,大国見山,おおくにみやま,500,18600,
13,龍王山,りゅうおうざん,585.5,10171,
14,三輪山,みわさん,466.8,728,
15-1,初瀬山,はせやま,548,10174,
15-2,天神山,てんじんやま,455.1,10176,
16-1,畝傍山,うねびやま,198.5,731,
16-2,天香久山,あめのかぐやま,152,730,
16-3,耳成山,みみなしやま,139.2,729,
17,御破裂山,ごはれつやま,607.4,10146,
18,高取山,たかとりやま,583.6,10143,
19-1,音羽山,おとわやま,851.3,10150,
19-2,経ヶ塚山,きょうがつかやま,889,10151,
19-3,熊ヶ岳,くまがたけ,904,10152,
20,竜門岳,りゅうもんだけ,904.1,746,
21,神野山,こうのさん,618.4,10209,
22-1,額井岳,ぬかいだけ,812.3,10180,
22-2,戒場山,かいばやま,737.4,18873,
23-1,鳥見山,とみやま,734.4,10173,
23-2,貝ヶ平山,かいがひらやま,821.7,10182,
23-3,香酔山,こうずいやま,795,10181,
24-1,伊那佐山,いなさやま,636.9,10178,
24-2,井足岳,いたりだけ,550,28639,新規
25-1,住塚山,すみづかやま,1009.2,8799,
25-2,国見山,くにみやま,1016,8800,
26-1,鎧岳,よろいだけ,893.6,8803,
26-2,兜岳,かぶとだけ,920,8802,
27-1,古光山,こごやま,952.4,8804,
27-2,後古光山,うしろこごやま,892,18517,
28-1,倶留尊山,くろそやま,1037.3,742,
28-2,二本ボソ山,にほんぼそやま,996,20366,
28-3,亀山,かめやま,849,8805,
29-1,三郎ヶ岳,さぶろうがたけ,878.8,8798,
29-2,高城山,たかきやま,810,19824,
30,学能堂山,がくのどうやま,1021.4,18879,
31,三峰山,みうねやま,1235.2,744,
32-1,天狗山,てんぐやま,993,20091,
32-2,黒石山,くろいしやま,915.1,19171,
33,高見山,たかみやま,1248.4,745,
34-1,雲ヶ瀬山,くもがせやま,1075,19140,
34-2,ハンシ山,はんしやま,1137,20524,
34-3,伊勢辻山,いせつじやま,1290,18412,
34-4,コウベエ矢塚,こうべえやづか,1094.6,19238,
35-1,国見山,くにみやま,1418.7,750,
35-2,水無山,みずなしやま,1430,20936,
35-3,赤ゾレ山,あかぞれやま,1300,18254,
36-1,薊岳,あざみだけ,1406,10952,
36-2,木ノ実ヤ塚,きのみやづか,1373.8,22599,
36-3,二階岳,にかいだけ,1242,22600,
37-1,明神岳,みょうじんだけ,1432,21019,
37-2,笹ヶ峰,ささがみね,1367,19416,
37-3,千石山,せんごくやま,1380.4,18777,
37-4,赤嵓山,あかくらやま,1394,8746,
38-1,千里峰,せんりみね,1400,28640,新規
38-2,霧降山,きりふりやま,1360,28641,新規
38-3,池木屋山,いけごややま,1395.9,751,
38-4,ホウキガ峰,ほうきがみね,1340,28642,新規
38-5,弥次平峰,やじへいみね,1274.3,21104,
39-1,山ノ神の頭,やまのかみのかしら,1099.1,21141,
39-2,馬ノ鞍峰,うまのくらみね,1177.8,18537,
40,白鬚岳,しらひげだけ,1378.1,752,
41-1,両佛山,りょうぶつやま,1307.9,23915,
41-2,峰山,みねやま,1208.8,20985,
42,白屋岳,しらやだけ,1177.0,10134,
43-1,御座嵓,ござくら,1170,28643,新規
43-2,添谷山,そえたにやま,1250.1,23914,
44,日出ヶ岳,ひでがたけ,1695.1,753,
45-1,堂倉山,どうくらやま,1470,20121,
45-2,コブシ峰,こぶしみね,1410.8,19330,
46,伯母ヶ峰,おばがみね,1266.7,8734,
47,荒谷山,あらたにやま,1267.4,24106,
48-1,又剱山,またつるぎやま,1377.4,20826,
