raw_id,name,kana,elevation,mountain_id,description
1,荒島岳,,1523.5,698,
2,飯降山,,884.2,7311,書籍の標高に誤記あり。修正
3,鷲鞍岳,,1010.6,7279,
4,木無山,,1328.6,19061,
5,くせ谷山,,982.9,19115,
6,野々小屋山,,1065.7,20411,
7,大谷山,,1160.9,18661,
8,蛇鏡岳,じゃかがみだけ,1140,19540,
9,岩穴谷山,,1231.5,18481,
10,岩ヶ谷山,,1310.1,18467,
11,三ノ宿,さんのしゅく,1304.8,19470,
12,野田ヶ大和,,1260,20407,
13,毘沙門岳,,1385.4,9456,
14,大山,,1128.4,9452,
15,山大納山,,989.9,21130,
16,縫ヶ原山,,1317.0,20375,
17,小河原山,,1013.0,18756,
18,倉谷山,,1082.6,19154,
19,細谷又山,,1189.9,28127,
20,岩谷山,,1256.1,18478,
21,御伊勢山,,1286.5,18572,
22,赤樽山,,1143.2,18257,
23,中山,,1151.1,20266,
24,高倉山,,1246.2,19829,
25,猿塚,,1221.4,9446,
26,平家岳,,1441.5,699,
27,奥坪山,,1084.1,18771,
28,五現川山,,1224.2,19258,
29,徳平山,とくべらやま,1193.1,20150,
30,臼本山,,1115.8,18526,
31,滝波山,,1412.5,9448,
32,小黒見山,,995.1,18799,
33,法恩寺山,,1356.7,7340,
34,経ヶ岳,,1625.2,690,
35,青葉山,,692,781,
36,大山,,488.5,18740,
37,三国岳,,616.4,10914,
38,頭巾山,とうきんざん,871.0,782,
39,飯盛山,,584.5,780,
40,八ヶ峰,,800.1,7193,
41,マタン（白倉山）,,674.0,26904,
42,永谷山（しんこぼ）,,811.4,22631,
43,三国岳,,775.9,10883,
44,百里ヶ岳,,931.3,779,
45,多田ヶ岳,,712.1,10918,
46,久須夜ヶ岳,,619.1,778,
47,遠敷端の高,おにうばたのたか,748.3,26903,
48,駒ヶ岳,,780.1,10885,
49,千石山,,682.4,10919,
50,高岳,,239.1,19845,
51,三十三間山,,842.3,10921,
52,大御影山,,950.1,18724,
53,大谷山,,813.9,10961,
54,雲谷山,,786.6,777,
55,庄部谷山,,856.1,24636,
56,西方ヶ岳,,764.1,7235,
57,蠑螺ヶ岳,,685.5,7234,
58,三国山,,876.3,7210,
59,乗鞍岳,,865.6,7211,
60,野坂岳,,913.5,776,
61,岩籠山,いわごもりやま,765.2,22678,
62,鉢伏山,,761.8,7236,
63,日野山,,794.8,696,
64,杣山,,492.1,7249,
65,古木山,,743.9,28128,
66,天草山,,852.4,9418,
67,美濃俣丸,,1253.8,9421,
68,笹ヶ峰,,1284.6,9420,
69,金草岳,,1227.1,9435,
70,上谷山,,1196.7,7240,
71,夜叉ヶ池山,,1212,,書籍の位置は夜叉ヶ池南西の1206mP
72,三国岳,,1209,9390,
73,一乗城山,,460,7310,
74,白椿山,,720,7301,
75,一乗山,,740.9,7300,
76,剣ヶ岳,,799.5,7332,
77,草間岳,,651.8,7312,
78,砥村山,,651.7,20180,
79,棚倉山,たなぐらやま,791.3,19957,
80,平生山,へぞやま,705.6,20710,
81,段ノ岳,,728.6,14863,
82,大小屋山,,734.0,7274,
83,唐木岳,,738.1,7272,
84,金粕山,,735.7,18936,
85,大曽地山,,733.4,28129,
86,部子山,へこさん,1464.6,697,
87,桐ヶ平山,,1218.2,19094,
88,岳の谷山,,1182.4,19932,
89,冠山,,1256.6,704,
90,国見岳,,656.1,695,
91,金毘羅山,,624.6,7317,
92,六所山,ろくしょやま,698.3,7281,
93,鞍掛山,,690.6,19148,
94,越知山,おちさん,612.6,7280,
95,鬼ヶ岳,,532.6,7258,
96,厨城山,,537,7282,
97,若須岳,わがすだけ,564.2,7256,
98,矢良巣岳,やらすだけ,472.7,7259,
99,ホノケ山,,736.8,7244,
100,浄法寺山,,1052.8,694,
101,鷲ヶ岳,,769.1,7362,
102,高平山,,1091,19909,
103,尾股山,,923.7,18843,
104,小倉谷山,,910.6,18793,
105,丈競山,,1045,7363,
106,みつまた山,,1062.9,21517,「みつまた山」の山頂標識は20959にある
107,水無山,,784.3,7361,
108,大仏寺山,,807.4,7337,
109,経ヶ岳,,764.9,7336,
110,大日山,,1319.6,18550,
111,堂ヶ辻山,,1205.5,7278,
112,道斉山,,1188.4,7277,
113,銀杏峯,げなんぽ,1440.7,7275,
114,鍋ヶ谷山,,969.0,20289,
115,東鎌谷山,,1022.3,20544,
116,中岳,,1142.9,20240,
117,倉ノ又山,,1215.6,9439,
118,姥ヶ岳,,1453.6,702,
119,天谷山,,929.0,18333,
120,宇津井谷山,,1068.8,18530,
121,あらくら山,,1229,18346,
122,若丸山,,1285.7,9438,
123,飯盛山,,1201.9,18361,
124,鍋又山,,1200.6,20300,
125,蝿帽子嶺,,1037.3,20421,
126,越山,,1129.3,9442,
127,屛風山,,1354.2,701,
128,杉谷山,,1281.6,19673,
129,刈安山,,1301.7,19004,
130,能郷白山,,1617.3,703,
131,高倉山,,973,7339,
132,あげはら山,,1020.7,27572,
133,取立山,,1307.2,7365,
134,烏岳,,1476,7376,書籍の位置は▲1326m峰
135,大長山,おおちょうやま,1671.4,7375,
136,赤兎山,,1628.7,689,
137,湯谷山,,1275.9,7345,
138,大嵐山,,1090.5,18585,
139,松鞍山,,1419.3,20838,
140,枇杷倉山,びわくらやま,1518,20628,
141,桂島山,,1173.3,18931,
142,奥の塚,,1205.2,,新規
143,よろぐろ山,,1254.7,7347,
144,小白山,おじろやま,1609.2,18812,
145,野伏ヶ岳,,1674.3,687,
146,薙刀山,,1647.2,7353,
147,初霜山,,1294.8,20475,
148,日岸山,ひぎしやま,1669,20564,
149,よも太郎山,,1581,7351,
150,願教寺山,がんきょうじやま,1690.9,686,
151,二ノ峰,,1962.3,14896,
152,打波谷の頭,,2090,24670,
153,別山,,2399.4,685,
154,白山,,2702.2,683,
