raw_id,name,kana,elevation,mountain_id,description
1,岩手山,いわてさん,2038.2,171,
2,姥倉山,うばくらやま,1517.3,6054,
3,鎌倉森,かまくらもり,1316.9,5987,
4,犬倉山,いぬくらやま,1408,6057,
5,鞍掛山,くらかけやま,896.8,6362,
6,姫神山,ひめかみさん,1123.8,141,
7,小野松山,おのまつやま,291.2,6379,
8,大森山,おおもりやま,271,6325,
9,愛宕山,あたごやま,196,22501,
10,岩山,いわやま,340.4,6336,
11,石ヶ森,いしがもり,445.8,6368,
12,燧堀山,かどほりやま,466.7,6365,
13,烏泊山,からすとまりやま,389.1,6322,
14,七ツ森,ななつもり,348.4,6310,
15,宰郷山,さいごうやま,368,6314,
16,太田薬師,おおたやくし,407.5,18667,
17,箱ヶ森,はこがもり,865.5,20439,
18,飯岡山,いいおかやま,358.2,6278,
19,南昌山,なんしょうざん,848,6272,
20,赤林山,あかばやしやま,855,6273,
21,東根山,あずまねさん,928.4,191,
22,高洞山,たかほらやま,522,6330,
23,建石山,たていしやま,660.8,6340,
24,鑪山,たたらやま,390.5,6337,
25,鬼ヶ瀬山,おにがせやま,724,6289,
26,朝島山,あさしまやま,607,6283,
27,黒森山,くろもりやま,837.3,6291,
28,相ノ山,あいのやま,826.9,13159,
29,御大堂山,みだいどうやま,1195.7,6342,
30,阿部館山,あべたてやま,1221,6344,
31,兜明神岳,かぶとみょうじんだけ,1005,6292,
32,岩神山,いわがみさん,1103,6341,
33,早池峰山,はやちねさん,1913.6,146,
34,鶏頭山,けいとうさん,1445.1,6246,
35,毛無森,けなしもり,1427.2,6244,
36,薬師岳,やくしだけ,1644.9,147,
37,剣ヶ峰,けんがみね,1827,6253,
38,男助山,おすけやま,758.4,5885,
39,須賀倉山,すがくらやま,940.9,5854,
40,黒森山,くろもりやま,647.1,6210,
41,城山,しろやま,180.6,6226,
42,黒石山,くろいしやま,284,6216,
43,戸塚森,とづかもり,221.6,6167,
44,権現堂山,ごんげんどうやま,476.3,6168,
45,黒森山,くろもりやま,414.6,6162,
46,堂ヶ沢山,どうがさわやま,364.5,6160,
47,六郎山,ろくろうやま,510.6,6164,
48,万寿山,まんじゅやま,410.1,6161,
49,草井山,くさいやま,413.2,6163,
50,江釣子森山,えづりこもりやま,379,6113,
51,ナメトコ山,なめとこやま,860,20306,
52,駒頭山,こまがしらやま,940,5820,
53,八方山,はっぽうやま,716.6,5780,
54,胡四王山,こしおうざん,183,6114,
55,諏訪沢森,すわさわもり,317,6170,
56,向山,むかいやま,280,22502,
57,飛竜山,ひりゅうざん,598.8,6122,
58,砥森山,ともりさん,670.1,5722,
59,明神山,みょうじんやま,623.1,5721,
60,大麻部山,おおまぶやま,1043.6,6178,
61,石上山,いしがみやま,1038.1,6127,
62,笠通山,かさのかようやま,869.2,5724,
63,二郷山,ふたごうやま,634.5,5726,
64,六角牛山,ろっこうしさん,1294,149,
65,焼石岳,やけいしだけ,1547.7,195,
66,牛形山,うしがたやま,1339.8,5451,
67,駒ヶ岳,こまがたけ,1129.8,5462,
68,経塚山,きょうづかやま,1372.4,5463,
69,南本内岳,みなみほんないだけ,1486,5455,
70,三界山,さんかいさん,1380.9,5454,
71,朝日岳,あさひだけ,1376,5882,
72,高下岳,こうげだけ,1322.8,5846,
73,和賀岳,わがだけ,1440,192,
74,風鞍,かざくら,1023,5844,
75,真昼岳,まひるだけ,1059.9,193,
76,女神山,めがみさん,955.8,5769,
77,四枚平山,しまいびらやま,824,5816,
78,志賀来山,しがらいさん,563.5,5772,
79,白木峠,しろきとうげ,601.3,22503,
80,仙人山,せんにんやま,882.2,5490,
81,羽山,はやま,599.9,5491,
82,月山,がっさん,583,5489,
83,前塚見山,まえづかみやま,914.8,5459,
84,国見山,くにみやま,244,5713,
85,物見山,ものみやま,870.6,151,
86,大師森,だいしもり,246,5654,
87,蓬莱山,ほうらいさん,787.3,5625,
88,束稲山,たばしねやま,595.7,5621,
89,須川岳,すかわだけ,1626.7,196,
90,自鏡山,じきょうざん,312,5537,
91,室根山,むろねさん,895,153,
92,五葉山,ごようざん,1341.3,150,
93,氷上山,ひかみさん,874.7,152,
94,今出山,いまでやま,756.2,5673,
95,箱根山,はこねやま,446.8,5647,
96,愛染山,あいぜんさん,1228.5,5700,
97,男火山,おんびやま,878,5697,
98,片羽山,かたばやま,1313.2,5737,
99,仙磐山,せんばんやま,1016.2,5744,
100,長者森,ちょうじゃもり,1010.5,6194,
101,白見山,しろみやま,1172.6,6195,
102,カモメ森山,かもめもりやま,325.9,5747,
103,鯨山,くじらさん,610.2,6149,
104,霞露ヶ岳,かろがたけ,514,6479,
105,多々羅山,たたらやま,364.3,6478,
106,十二神山,じゅうにしんざん,731.4,148,
107,日光山,にっこうさん,673,6267,
108,月山,がっさん,455.9,6483,
109,魹山,とどやま,465.1,6482,
110,青松葉山,あおまつばやま,1365.6,144,
111,火石山,ひいしやま,1032.7,6295,
112,堺ノ神岳,さかいのかみだけ,1319,142,
113,宇霊羅山,うれいらさん,600.5,6445,
114,穴目ヶ岳,あなめがだけ,1168.1,6473,
115,遠別岳,とおべつだけ,1235,6863,
116,平庭岳,ひらにわだけ,1059.8,6862,
117,遠島山,とおじまやま,1262.7,139,
118,卯子酉山,うねどりやま,424.2,6871,
119,和佐羅比山,わさらびやま,813.9,6868,
120,久慈平岳,くじひらだけ,706.3,6930,
121,階上岳,はしかみだけ,739.6,135,
122,八幡平,はちまんたい,1613.3,167,
123,茶臼岳,ちゃうすだけ,1578.3,168,
124,安比岳,あっぴだけ,1493,6108,
125,焼山,やけやま,1366.1,166,
126,名久井岳,なくいだけ,615.4,136,
127,折爪岳,おりつめだけ,852.2,137,
128,就志森,つくしもり,769.8,6886,
129,傾城峠,けいせいとうげ,735.9,6899,
130,二ッ森,ふたつがもり,621.3,6897,
131,四角岳,しかくだけ,1003,6598,
132,五の宮岳,ごのみやだけ,1115,163,
133,稲庭岳,いなにわだけ,1078,162,
134,西岳,にしだけ,1018.1,6856,
135,七時雨山,ななしぐれやま,1060,164,
136,田代山,たしろやま,945.4,6882,
137,御月山,おつきやま,954.4,6847,
138,空雲山,そらくもやま,902.3,6427,
139,送仙山,おくりせんやま,472.4,6461,
140,三ッ森山,みつもりやま,640.5,27974,
141,畚岳,もっこだけ,1577.8,169,
142,源太ヶ岳,げんたがだけ,1545,6048,
143,栗木ヶ原,くりきがはら,1162,28710,新規
144,三ッ石山,みついしやま,1466,6056,
145,曲崎山,まがりざきやま,1333.8,6036,
146,大白森,おおじろもり,1215.6,6041,
147,烏帽子岳,えぼしだけ,1478,172,
148,千沼ヶ原,せんしょうがはら,1340,,
149,駒ヶ岳,こまがたけ,1637.4,173,
150,貝吹岳,かいぶきだけ,992.4,5918,
