raw_id,name,kana,elevation,mountain_id,description
1,茶臼岳,ちゃうすだけ,1915,265,
2,三本槍岳,さんぼんやりだけ,1917,264,
3,朝日岳,あさひだけ,1896,3332,
4,南月山,みなみがっさん,1776,3327,
5,白笹山,しらざさやま,1719,3326,
6,大倉山,おおくらさん,1885,3319,
7,日留賀岳,ひるがだけ,1849,3304,
8,黒滝山,くろたきさん,1754,3309,
9,大佐飛山,おおさびやま,1908,267,
10,男鹿岳,おがだけ,1777,266,
11,弥太郎山,やたろうやま,1392,3295,
12,若見山,わかみやま,1126,3294,
13,安戸山,やすとやま,1151,3300,
14,釈迦ヶ岳,しゃかがだけ,1795,268,
15,鶏頂山,けいちょうざん,1765,3230,
16,前黒山,まえぐろやま,1678,3298,
17,富士山,ふじさん,1184,3296,
18,塩沢山,しおざわやま,1264,3291,
19,鶏岳,にわとりだけ,668,3191,
20,明神ヶ岳,みょうじんがだけ,1594,3279,
21,荒海山,あらかいざん,1581,284,
22,芝草山,しばくさやま,1342,4703,
23,持丸山,もちまるやま,1365,3287,
24,葛老山,かつろうやま,1124,3284,
25,南平山,なんだいらさん,1007,3225,
26,月山,がっさん,1287,3222,
27,田代山,たしろやま,1971,285,
28,帝釈山,たいしゃくざん,2060,286,
29,台倉高山,だいくらたかやま,2067,3274,
30,黒岩山,くろいわやま,2163,287,
31,鬼怒沼山,きぬぬまやま,2141,288,
32,燕巣山,つばくろすやま,2222,3205,
33,根名草山,ねなくさやま,2330,3213,
34,温泉ヶ岳,ゆせんがたけ,2333,3164,
35,金精山,こんせいざん,2244,3165,
36,白根山,しらねさん,2578,274,
37,錫ヶ岳,すずがたけ,2388,3160,
38,高山,たかやま,1668,3171,
39,太郎山,たろうさん,2368,272,
40,大真名子山,おおまなごさん,2375,270,
41,男体山,なんたいさん,2486,273,
42,女峰山,にょほうさん,2483,269,
43,赤薙山,あかなぎさん,2010,3180,
44,外山,とやま,880,3185,
45,半月山,はんげつやま,1753,3104,
46,社山,しゃざん,1827,3105,
47,黒檜岳,くろびだけ,1976,3106,
48,鳴虫山,なきむしやま,1104,3117,
49,薬師岳,やくしだけ,1420,3112,
50,夕日岳,ゆうひだけ,1526,3114,
51,火戸尻山,ほどじりやま,852,3118,
52,毘沙門山,びしゃもんやま,587,3124,
53,鶏鳴山,けいめいざん,961,3121,
54,笹目倉山,ささめくらさん,800,2803,
55,羽賀場山,はがばやま,774,17966,
56,古峰原,こぶがはら,1378,18027,
57,地蔵岳,じぞうだけ,1274,2799,
58,横根山,よこねやま,1373,278,
59,石裂山,おざくさん,879,2802,
60,鳴蟲山,なきむしやま,725,2805,
61,二股山,ふたまたやま,570,2787,
62,岩山,いわやま,328,2788,
63,備前楯山,びぜんたてやま,1272,2795,
64,庚申山,こうしんざん,1892,276,
65,鋸山,のこぎりやま,1998,3100,
66,皇海山,すかいさん,2144,275,
67,袈裟丸山,けさまるやま,1878,18026,
68,羽黒山,はぐろさん,470,3142,
69,本山,もとやま,561,3137,
70,鞍掛山,くらかけさん,492,2811,
71,多気山,たげさん,377,2816,
72,古賀志山,こがしやま,583,2814,
73,花瓶山,はなかめやま,692,16725,
74,萬蔵山,まんぞうさん,534,3386,
75,鷲子山,とりのこさん,463,3343,
76,松倉山,まつくらさん,345,2884,
77,鎌倉山,かまくらやま,216,2867,
78,芳賀富士,はがふじ,271,2868,
79,鶏足山,けいそくさん,430,2857,
80,高館山,たかだてやま,302,2855,
81,雨巻山,あままきやま,533,2842,
82,高峯,たかみね,520,2844,
83,谷倉山,やぐらさん,599,2759,
84,三峰山,みつみねさん,605,2753,
85,不動岳,ふどうだけ,664,2786,
86,尾出山,おでやま,933,2783,
87,氷室山,ひむろさん,1123,2773,
88,根本山,ねもとやま,1199,2774,
89,熊鷹山,くまたかやま,1169,2777,
90,大鳥屋山,おおとやさん,693,2752,
91,晃石山,てるいしさん,419,2729,
92,三毳山,みかもやま,229,2707,
93,唐沢山,からさわやま,241,2723,
94,諏訪岳,すわだけ,324,2721,
95,大小山,だいしょうやま,314,2705,
96,両崖山,りょうがいさん,251,2719,
97,行道山,ぎょうどうさん,442,2717,
98,石尊山,せきそんさん,486,2716,
99,仙人ヶ岳,せんにんがだけ,663,2749,
100,赤雪山,あかゆきやま,621,2750,
