raw_id,name,kana,elevation,mountain_id,description
1,多峯主山,とうのすやま,271,2051,
2,鐘撞堂山,かねつきどうやま,330,2688,
3,雨乞山,あまごいやま,340,18332,
4,御嶽山（金鑚）,みたけやま（かなさな）,343,2696,
5,官ノ倉山,かんのくらやま,344,2665,
6,物見山,ものみやま,375,2052,
7,大高取山,おおたかとりやま,376,2069,
8,雷電山,らいでんやま,418,2674,
9,弓立山,ゆみたてやま,427,2066,
10,ノボット,のぼっと,436,21524,
11,天覚山,てんかくさん,445,2050,
12,大築山,おおづくやま,466,18676,
13,大高山,おおたかやま,493,18019,
14,宝登山,ほどさん,497,2685,
15,大仁田山,おおにたやま,505,2048,
16,金岳,かねたけ,511,2657,
17,陣見山,じんみやま,531,2687,
18,不動山,ふどうやま,549,2680,
19,楢抜山,ならぬきやま,553,20311,
20,釜ノ沢五峰,かまのさわごほう,565,21532,
21,越上山,おがみやま,566,2071,
22,釜伏山,かまふせやま,582,2689,
23,簑山,みのやま,581,2658,
24,横隈山,よこがいさん,594,21180,
25,戸蓋山,とぶたやま,615,21528,
26,破風山（皆野）,はっぷさん（みなの）,626,2656,
27,日向山,ひなたやま,633,20589,
28,子ノ山,ねのやま,660,21535,
29,登谷山,とやさん,668,2659,
30,粟野山,あわのやま,675,21527,
31,皇鈴山,みすずやま,679,20929,
32,観音山,かんのんやま,698,2333,
33,神山,かみやま,732,2681,
34,関八州見晴台,かんはっしゅうみはらしだい,771,21534,
35,大霧山,おおぎりやま,767,2660,
36,四阿屋山,あずまやさん,771,1896,
37,正丸山,しょうまるやま,780,19580,
38,真弓沢山,まゆみざわやま,790,21526,
39,両詰山,りょうづまりやま,791,21529,
40,古御岳,こみたけ,820,19353,
41,笠山,かさやま,837,2664,
42,伊豆ヶ岳,いずがたけ,851,360,
43,大反山,おおそりやま,854,18644,
44,堂平山,どうだいらさん,876,358,
45,二子山（横瀬）,ふたごやま（よこぜ）,883,2063,
46,塚山,つかやま,954,2372,
47,丸山,まるやま,960,2061,
48,棒ノ嶺,ぼうのみね,969,7227,
49,毘沙門山,びしゃもんさん,997,2332,
50,城峯山,じょうみねさん,1038,2684,
51,蕨山,わらびやま,1044,2042,
52,父不見山,ててみずやま,1047,2368,
53,武川岳,たけかわだけ,1052,2064,
54,秩父御岳山,ちちぶおんたけさん,1080,1895,
55,三合落,さんごうつ,1115,21227,
56,天理岳,てんりだけ,1150,2331,
57,二子山（小鹿野）,ふたごやま（おがの）,1166,344,
58,諏訪山,すわやま,1207,2326,
59,瞽女ヶ岳,ごぜがたけ,1208,21531,
60,有間山,ありまやま,1213,2034,
61,小持山,こもちやま,1273,2057,
62,大持山,おおもちやま,1294,2058,
63,武甲山,ぶこうさん,1304,359,
64,妙法ヶ岳,みょうほうがたけ,1332,1847,
65,倉明山,くらけやま,1334,21533,
66,秩父槍ヶ岳,ちちぶやりがたけ,1341,21148,
67,矢岳,やだけ,1358,2031,
68,熊倉山,くまくらやま,1427,1897,
69,芋掘ドッケン,いもほりどっけん,1464,18456,
70,蕎麦粒山,そばつぶやま,1473,2038,
71,南天山,なんてんさん,1483,2328,
72,宗四郎山,そうしろうやま,1510,17923,
73,霧藻ヶ峰,きりもがみね,1523,1848,
74,赤岩岳,あかいわだけ,1570,17856,
75,天目山,てんもくざん,1576,2036,
76,大平山,おおひらやま,1603,2033,
77,帳付山,ちょうづけやま,1619,17854,
78,狩倉槍ヶ岳,かりくらやりがたけ,1640,21530,
79,七跳山,ななはねやま,1651,17973,
80,酉谷山,とりだにやま,1718,362,
81,両神山,りょうかみさん,1723,345,
82,長沢山,ながさわやま,1738,1850,
83,白泰山,はくたいさん,1794,1894,
84,赤沢山,あかざわやま,1819,18253,
85,三国山,みくにやま,1834,1892,
86,白岩山,しらいわやま,1921,1849,
87,笠取山,かさとりやま,1953,1835,
88,仙波山,せんばやま,2003,1840,
89,雲取山,くもとりやま,2017,363,
90,和名倉山,わなくらやま,2036,364,
91,十文字山,じゅうもんじやま,2072,18199,
92,飛龍山,ひりゅうさん,2077,366,
93,唐松尾山,からまつおやま,2109,365,
94,古礼山,これいさん,2112,1834,
95,水晶山,すいしょうやま,2158,1833,
96,雁坂嶺,かりさかれい,2289,1832,
97,破風山,はふさん,2318,1838,
98,木賊山,とくさやま,2469,20145,
99,甲武信ヶ岳,こぶしがたけ,2475,348,
100,三宝山,さんぽうざん,2483,347,
