raw_id,name,kana,elevation,mountain_id,description
1,戸隠山,とがくしやま,1904,435,
2,高妻山,たかつまやま,2353,434,
3,西岳,にしだけ,2053,3008,
4,飯綱山,いいづなやま,1917,436,
5,黒姫山,くろひめやま,2053,433,
6,荒倉山,あらくらやま,1432,2945,
7,虫倉山,むしくらやま,1378,437,
8,雨飾山,あまかざりやま,1963,430,
9,天狗原山,てんぐはらやま,2197,7828,
10,大渚山,おおなぎやま,1566,7755,
11,堂津岳,どうつだけ,1927,3011,
12,東山,ひがしやま,1849,2936,
13,聖山,ひじりやま,1447,438,
14,冠着山,かむりきやま,1252,439,
15,子檀嶺岳,こまゆみだけ,1223,2477,
16,独鈷山,とっこさん,1266,2434,
17,美ヶ原,うつくしがはら,2034,440,
18,鉢伏山,はちぶせやま,1929,441,
19,霧ヶ峰,きりがみね,1925,442,
20,八ヶ岳,やつがたけ,2899,450,
21,蓼科山,たてしなやま,2531,443,
22,天狗岳,てんぐだけ,2646,446,
23,横岳,よこだけ,2480,444,
24,斑尾山,まだらおやま,1381,425,
25,鍋倉山,なべくらやま,1289,3080,
26,高社山,こうしゃさん,1351,323,
27,鳥甲山,とりかぶとやま,2038,322,
28,苗場山,なえばさん,2145,319,
29,佐武流山,さぶりゅうやま,2192,320,
30,白砂山,しらすなやま,2140,321,
31,岩菅山,いわすげやま,2295,325,
32,志賀山,しがやま,2036,326,
33,笠ヶ岳,かさがたけ,2076,327,
34,横手山,よこてやま,2307,328,
35,御飯岳,おめしだけ,2160,2640,
36,四阿山,あずまやさん,2354,331,
37,烏帽子岳,えぼしだけ,2066,2543,
38,太郎山,たろうやま,1164,2542,
39,籠ノ登山,かごのとやま,2228,334,
40,浅間山,あさまやま,2568,335,
41,鼻曲山,はなまがりやま,1655,337,
42,荒船山,あらふねやま,1423,341,
43,茂来山,もらいさん,1718,2351,
44,御座山,おぐらやま,2112,346,
45,天狗山,てんぐやま,1882,1886,
46,甲武信ヶ岳,こぶしがたけ,2475,348,
47,国師岳,こくしだけ,2592,353,
48,金峰山,きんぷさん,2599,351,
49,小川山,おがわやま,2418,1817,
50,白馬岳,しろうまだけ,2932,465,
51,唐松岳,からまつだけ,2696,470,
52,五竜岳,ごりゅうだけ,2814,471,
53,鹿島槍ヶ岳,かしまやりがたけ,2889,472,
54,爺ヶ岳,じいがたけ,2670,473,
55,針ノ木岳,はりのきだけ,2821,478,
56,蓮華岳,れんげだけ,2799,479,
57,烏帽子岳,えぼしだけ,2628,483,
58,野口五郎岳,のぐちごろうだけ,2924,485,
59,鷲羽岳,わしばだけ,2924,490,
60,三俣蓮華岳,みつまたれんげだけ,2841,491,
61,餓鬼岳,がきだけ,2647,521,
62,有明山,ありあけやま,2268,523,
63,燕岳,つばくろだけ,2763,522,
64,大天井岳,おてんしょうだけ,2922,524,
65,常念岳,じょうねんだけ,2857,527,
66,蝶ヶ岳,ちょうがたけ,2677,528,
67,大滝山,おおたきやま,2616,529,
68,槍ヶ岳,やりがたけ,3180,533,
69,穂高岳,ほたかだけ,3190,539,
70,焼岳,やけだけ,2455,542,
71,霞沢岳,かすみさわだけ,2646,543,
72,乗鞍岳,のりくらだけ,3026,546,
73,御嶽山,おんたけさん,3067,549,
74,鉢盛山,はちもりやま,2447,548,
75,小秀山,こひでやま,1982,550,
76,経ヶ岳,きょうがたけ,2296,554,
77,木曽駒ヶ岳,きそこまがたけ,2956,558,
78,空木岳,うつぎだけ,2864,565,
79,南駒ヶ岳,みなみこまがたけ,2841,566,
80,安平路山,あんぺいじやま,2363,570,
81,風越山,かざこしやま,1535,573,
82,南木曽岳,なぎそだけ,1677,572,
83,富士見台,ふじみだい,1739,18187,
84,恵那山,えなさん,2191,574,
85,大川入山,おおかわいりやま,1908,1351,
86,茶臼山,ちゃうすやま,1416,650,
87,守屋山,もりやさん,1651,575,
88,戸倉山,とぐらやま,1681,608,
89,鬼面山,きめんさん,1890,619,
90,入笠山,にゅうかさやま,1955,576,
91,鋸岳,のこぎりだけ,2685,577,
92,甲斐駒ヶ岳,かいこまがたけ,2967,578,
93,仙丈ヶ岳,せんじょうがたけ,3033,589,
94,塩見岳,しおみだけ,3052,604,
95,赤石岳,あかいしだけ,3121,617,
96,聖岳,ひじりたけ,3013,623,
97,茶臼岳,ちゃうすだけ,2604,625,
98,光岳,てかりだけ,2592,627,
99,池口岳,いけぐちだけ,2392,628,
100,熊伏山,くまぶしやま,1654,630,
