raw_id,name,kana,elevation,mountain_id,description
1,赤城山,あかぎやま,1828,279,
2,赤久縄山,あかぐなやま,1523,342,
3,朝日岳,あさひだけ,1945,311,
4,浅間隠山,あさまかくしやま,1757,336,
5,浅間山,あさまやま,2568,335,
6,四阿山,あずまやさん,2354,331,
7,吾妻耶山,あづまやさん,1341,318,
8,吾妻山,あづまやま,481,2746,
9,阿能川岳,あのうがわだけ,1611,3059,
10,荒船山,あらふねやま,1423,341,
11,有笠山,ありかさやま,873,2647,
12,稲包山,いなつつみやま,1598,2985,
13,稲含山,いなふくみやま,1370,2361,
14,岩櫃山,いわびつやま,803,2619,
15,牛伏山,うしぶせやま,491,2421,
16,エビ山,えびやま,1744,2982,
17,烏帽子岳,えぼしたけ,1150,2356,
18,王城山,おうじょうさん,1123,2616,
19,大桁山,おおげたやま,836,2411,
20,大水上山,おおみなかみやま,1831,8096,
21,大峰山,おおみねやま,1254,2992,
22,小沢岳,おざわだけ,1089,17871,
23,小野子山,おのこやま,1208,2622,
24,御飯岳,おめしだけ,2160,2640,
25,篭ノ登山,かごのとやま,2228,334,
26,笠ヶ岳,かさがたけ,2057,3194,
27,笠ヶ岳,かさがだけ,1852,7898,
28,笠丸山,かさまるやま,1189,2358,
29,迦葉山,かしょうざん,1322,3146,
30,鹿岳,かなたけ,1012,2410,
31,金山,かなやま,239,17972,
32,鹿俣山,かのまたやま,1637,3148,
33,観音山,かんのんやま,227,18025,
34,鬼怒沼山,きぬぬまやま,2141,288,
35,草津白根山,くさつしらねさん,2171,330,
36,栗生山,くりゅうさん,968,2771,
37,黒滝山,くろたきさん,870,2406,
38,黒斑山,くろふやま,2404,2493,
39,景鶴山,けいづるやま,2004,293,
40,袈裟丸山,けさまるやま,1878,18026,
41,庚申山,こうしんやま,189,2693,
42,荒神山,こうじんやま,624,2740,
43,鉱石山,こうせきやま,1220,17878,
44,子持山,こもちやま,1296,339,
45,金精山,こんせいざん,2244,3165,
46,桜山,さくらやま,591,2679,
47,皿伏山,さらぶせやま,1917,3203,
48,茂倉岳,しげくらだけ,1978,313,
49,至仏山,しぶつさん,2228,295,
50,蛇骨岳,じゃこつだけ,2366,2490,
51,十二ヶ岳,じゅうにがたけ,1201,2653,
52,白毛門,しらがもん,1720,312,
53,白砂山,しらすなやま,2140,321,
54,四郎岳,しろうだけ,2156,3204,
55,皇海山,すかいさん,2144,275,
56,錫ヶ岳,すずがたけ,2388,3160,
57,諏訪山,すわやま,1550,2319,
58,諏訪山,すわやま,1207,2326,
59,石尊山,せきそんさん,571,2515,
60,仙ノ倉山,せんのくらやま,2026,317,
61,崇台山,そうだいさん,299,2468,
62,大源太山,だいげんたさん,1764,3045,
63,平標山,たいらっぴょうやま,1984,3043,
64,高岩,たかいわ,1080,17837,
65,高間山,たかまやま,1342,2617,
66,嵩山,たけやま,789,2651,
67,立岩,たついわ,1265,17868,
68,谷川岳,たにがわだけ,1963,17839,
69,丹後山,たんごやま,1808,8095,
70,茶臼山,ちゃうすやま,294,2713,
71,角落山,つのおちやま,1393,2555,
72,父不見山,ててみえじやま,1047,2368,
73,天狗岩,てんぐいわ,1230,17838,
74,天狗山,てんぐやま,667,17954,
75,天丸山,てんまるやま,1506,2324,
76,戸神山,とかみやま,772,3088,
77,鳴神山,なるかみやま,980,2741,
78,日暮山,にっくらやま,1207,2462,
79,日光白根山,にっこうしらねさん,2578,274,
80,根本山,ねもとさん,1199,2774,
81,八間山,はちけんざん,1934,2981,
82,鼻曲山,はなまがりやま,1655,337,
83,榛名山,はるなさん,1449,338,
84,桧沢岳,ひさわだけ,1133,17863,
85,平ヶ岳,ひらがたけ,2141,292,
86,武能岳,ぶのうだけ,1760,7899,
87,武尊山,ほたかさん,2158,296,
88,巻機山,まきはたやま,1967,309,
89,万太郎山,まんたろうやま,1954,316,
90,御荷鉾山,みかぼやま,1286,343,
91,三国山,みくにやま,1636,3047,
92,三峰山,みつみねやま,1122,17864,
93,御堂山,みどうやま,878,2455,
94,妙義山,みょうぎさん,1104,340,
95,物語山,ものがたりやま,1019,2405,
96,物見山,ものみやま,1375,2402,
97,温泉ヶ岳,ゆせんがたけ,2333,3164,
98,湯ノ丸山,ゆのまるやま,2101,333,
99,横手山,よこてやま,2307,328,
100,四ッ又山,よつまたやま,900,2408,
