raw_id,name,kana,elevation,mountain_id,description
1,大菩薩嶺,だいぼさつれい,2057,368,
2,小金沢山,こがねざわやま,2014,369,
3,雁ガ腹摺山,がんがはらずりやま,1874,370,
4,大蔵高丸,おおくらたかまる,1781,1739,
5,滝子山,たきごやま,1610,1689,
6,笹子雁ガ腹摺山,ささごがんがはらすりやま,1358,18190,
7,源次郎岳,げんじろうだけ,1477,1735,
8,棚横手山,たなよこてやま,1306,18189,
9,本社ヶ丸,ほんじゃがまる,1631,1642,
10,高川山,たかがわやま,975,1646,
11,三頭山,みとうやま,1531,373,
12,権現山,ごんげんやま,1312,371,
13,扇山,おうぎやま,1138,372,
14,百蔵山,ももくらさん,1003,1692,
15,岩殿山,いわどのさん,634,1691,
16,高柄山,たかつかやま,733,1971,
17,倉岳山,くらたけやま,990,1939,
18,九鬼山,くきやま,970,1649,
19,二十六夜山,にじゅうろくやさん,972,1940,
20,菜畑山,なばたけうら,1283,1945,
21,今倉山,いまくらやま,1470,18191,
22,御正体山,みしょうたいさん,1681,390,
23,石割山,いしわりやま,1412,1583,
24,杓子山,しゃくしやま,1598,1581,
25,大室山,おおむろやま,1587,389,
26,鳥ノ胸山,とりのむねやま,1207,7106,
27,雨乞岳,あまごいだけ,2037,1762,
28,日向山,ひなたやま,1660,1764,
29,鋸岳,のこぎりだけ,2685,577,
30,甲斐駒ヶ岳,かいこまがたけ,2967,578,
31,アサヨ峰,あさよみね,2799,581,
32,仙丈ヶ岳,せんじょうがたけ,3033,589,
33,小太郎山,こたろうやま,2725,591,
34,北岳,きただけ,3193,592,
35,間ノ岳,あいのだけ,3190,593,
36,農鳥岳,のうとりだけ,3051,594,
37,笹山,ささやま,2733,599,
38,笊ヶ岳,ざるがたけ,2629,639,
39,鳳凰山,ほうおうざん,2841,585,
40,甘利山,あまりやま,1740,1719,
41,千頭星山,せんとうぼしやま,2139,1717,
42,櫛形山,くしがたやま,2052,588,
43,源氏山,げんじやま,1827,1610,
44,富士見山,ふじみさん,1640,1562,
45,身延山,みのぶさん,1153,642,
46,七面山,しちめんざん,1983,643,
47,八紘嶺,はっこうれい,1918,9242,
48,山伏,やんぶし,2013,644,
49,十枚山,じゅうまいさん,1726,645,
50,篠井山,しのいさん,1394,646,
51,貫ヶ岳,かんがたけ,897,9214,
52,高ドッキョウ,たかどっきょう,1133,647,
53,白鳥山,しらとりやま,567,9216,
54,富士山,ふじさん,3776,396,
55,三ツ峠山,みつとうげやま,1785,392,
56,達沢山,たつざわやま,1358,1681,
57,黒岳,くろだけ,1793,393,
58,釈迦ヶ岳,しゃかがたけ,1641,394,
59,大栃山,おおとちやま,1415,1631,
60,春日山,かすがやま,1158,1624,
61,滝戸山,たきどやま,1221,1620,
62,節刀ヶ岳,せっとうがたけ,1736,395,
63,十二ヶ岳,じゅうにがたけ,1683,1629,
64,王岳,おうだけ,1623,1622,
65,三方分山,さんぽうぶんざん,1422,1616,
66,蛾ヶ岳,ひるがたけ,1279,1613,
67,足和田山,あしわだやま,1355,1576,
68,竜ヶ岳,りゅうがたけ,1485,1566,
69,毛無山,けなしやま,1964,398,
70,長者ヶ岳,ちょうじゃがたけ,1336,1522,
71,三石山,みついしやま,1173,1521,
72,思親山,ししんざん,1031,9245,
73,赤岳,あかだけ,2899,450,
74,権現岳,ごんげんだけ,2715,452,
75,編笠山,あみがさやま,2524,455,
76,横尾山,よこおやま,1818,349,
77,小川山,おがわやま,2418,1817,
78,瑞牆山,みずがきやま,2230,350,
79,金峰山,きんぷさん,2599,351,
80,国師ヶ岳,こくしがたけ,2592,353,
81,甲武信ヶ岳,こぶしがたけ,2475,348,
82,鶏冠山,とさかやま,2115,1829,
83,破風山,はふうさん,2318,1838,
84,雁坂嶺,かりさかれい,2289,1832,
85,笠取山,かさとりやま,1953,1835,
86,飛龍山,ひりゅうさん,2077,366,
87,雲取山,くもとりやま,2017,363,
88,鶏冠山,けいかんざん,1710,367,
89,黒金山,くろがねやま,2232,1828,
90,乾徳山,けんとくさん,2031,355,
91,小楢山,こならやま,1713,356,
92,茅ヶ岳,かやがたけ,1704,357,
93,曲岳,まがりだけ,1643,1772,
94,黒富士,くろふじ,1633,1773,
95,太刀岡山,たちおかやま,1296,1771,
96,羅漢寺山,らかんじやま,1058,1723,
97,帯那山,おびなやま,1422,1725,
98,要害山,ようがいざん,780,1724,
99,兜山,かぶとやま,913,1727,
100,大蔵教寺山,だいぞうきょうじやま,715,1677,
