raw_id,name,kana,elevation,mountain_id,description
1,西吾妻連峰,にしあづまれんぽう,2035,219,
2,川桁山,かわげたやま,1413,17207,
3,磐梯山,ばんだいさん,1816,228,
4,雄国山,おぐにやま,1271,17242,
5-1,猫魔ヶ岳,ねこまがたけ,1403,17239,
5-2,厩岳山,まやたけさん,1261,17240,
6,大仏山,だいぶつやま,708,17089,
7-1,飯森山,いいもりやま,1595,249,
7-2,鉢伏山,はちぶせやま,1576,17105,
8,飯豊連峰,いいでれんぽう,2105,244,
9,鏡山,かがみやま,1339,8420,
10,高陽山,こうようざん,1126,248,
11,黒森山,くろもりやま,917,17080,
12,鳥屋山,とやさん,580,17028,
13,須刈岳,すがりたけ,438,17056,
14,飯谷山,いいたにさん,783,17030,
15,三坂山,みさかやま,832,16976,
16,本名御神楽,ほんなみかぐら,1266,8286,
17,惣山,そうやま,816,16978,
18,白鳳三山,はくほうさんざん,408,16993,
19,背炙山,せあぶりやま,863,18207,
20,大戸岳,おおとだけ,1416,16945,
21,明神ヶ岳,みょうじんがたけ,1074,16986,
22,志津倉山,しづくらやま,1234,17860,
23,博士山,はかせやま,1482,281,
24,小野岳,おのだけ,1383,282,
25,中山,なかやま,855,4873,
26,斎藤山,さいとうざん,1278,4790,
27,御前ヶ岳,ごぜんがだけ,1233,4860,
28,金石が鳥屋山,かないしがとややま,969,4825,
29,高森山,たかもりやま,1100,16981,
30,蒲生岳,がもうだけ,828,16885,
31-1,浅草岳,あさくさだけ,1585,301,
31-2,鬼ヶ面山,おにがつらやま,1465,8187,
32,会津朝日岳,あいづあさひだけ,1624,289,
33,唐倉山,からくらやま,1176,4778,
34,七ヶ岳,ななつがだけ,1636,283,
35,荒海山,あらかいざん,1581,284,
36,佐倉山,さぐらやま,1073,4730,
37,大嵐山,おおあれやま,1635,4697,
38-1,田代山,たしろやま,1971,285,
38-2,帝釈山,たいしゃくざん,2060,286,
39-1,三岩岳,みついわだけ,2065,4691,
39-2,窓明山,まどあけやま,1842,4715,
40-1,会津駒ヶ岳,あいづこまがたけ,2133,291,
40-2,中門岳,ちゅうもんだけ,2060,4682,
41,燧ヶ岳,ひうちがたけ,2356,294,
42,東吾妻連峰,ひがしあづまれんぽう,1975,222,
43,安達太良連峰,あだたられんぽう,1728,225,
44,額取山,ひたいとりやま,1008,17170,
45,高旗山,たかはたやま,968,17133,
46,笠ヶ森山,かさがもりやま,1012,17134,
47,高土山,たかどやま,729,16857,
48,権太倉山,ごんだぐらやま,976,16861,
49,二岐山,ふたまたやま,1544,4801,
50-1,大白森山,おおしろもりやま,1642,4799,
50-2,小白森山,こしろもりやま,1563,4800,
51,甲子山,かしやま,1549,4797,
52,大倉山,おおくらやま,1885,3319,
52-1,流石山,ながれいしやま,1822,3321,
52-2,三倉山,みくらやま,1888,3322,
53,赤面山,あかづらやま,1701,3337,
54,三本槍岳,さんぼんやりだけ,1917,264,
55,厚樫山,あつかしやま,289,17402,
56,半田山,はんだやま,863,17400,
57,信夫山,しのぶやま,275,218,
58,羽山,はやま,457,17408,
59,霊山,りょうぜん,825,250,
60,虎捕山,とらとりやま,705,18208,
61,女神山,めがみやま,599,17317,
62,千貫森,せんがんもり,462,17322,
63,花塚山,はなつかさん,918,17271,
64,木幡山,こはたさん,666,17266,
65,口太山,くちぶとやま,842,17267,
66,麓山,はやま,897,17232,
67,日山,ひやま,1057,251,
68,五十人山,ごじゅうにんやま,883,17186,
69,鎌倉岳（常葉）,かまくらだけ（ときわ）,967,252,
70,移ヶ岳,うつしがたけ,994,17180,
71,片曽根山,かたそねやま,718,17185,
72,桧山,ひやま,992,17146,
73,大滝根山,おおたきねやま,1192,253,
74,高柴山,たかしばやま,884,17142,
75,矢大臣山,やだいじんやま,964,16872,
76,宇津峰,うづみね,677,16862,
77,蓬田岳,よもぎだだけ,952,255,
78,鎌倉岳（竹貫）,かまくらだけ（たかぬき）,669,16780,
79,烏峠,からすとうげ,485,18209,
80,関山,せきさん,618,16771,
81,天狗山,てんぐやま,625,18210,
82,小富士山,こふじさん,446,16765,
83,八溝山,やみぞさん,1022,260,
84,矢祭山,やまつりやま,383,16732,
85,鹿狼山,かろうさん,429,17411,
86,羽黒山,はぐろさん,345,17373,
87,野手上山,のてがみさん,628,17274,
88,国見山,くにみやま,563,17278,
89,懸の森山,かけのもりやま,530,18211,
90,手倉山,てくらやま,611,17193,
91,十万山,じゅうまんやま,448,17196,
92,日隠山,ひがくれやま,601,17164,
93,大倉山,おおくらさん,592,17163,
94,五社山,ごしゃやま,685,16839,
95,鬼ヶ城山,おにがじょうさん,892,16871,
96,三森山,みつもりやま,656,16840,
97,二ツ箭山,ふたつやさん,709,16838,
98-1,水石山,みずいしやま,735,16820,
98-2,閼伽井岳,あかいだけ,604,16821,
99,湯ノ岳,ゆのだけ,593,6152,
100,明神山,みょうじんやま,751,16764,
