raw_id,name,kana,elevation,mountain_id,description
1,仙人ヶ岳,せんにんがたけ,663,2749,
2,赤雪山,あかゆきやま,621,2750,
3,駒戸山,こまとやま,540,18010,
4,弁天山,べんてんやま,520,21560,
5,深高山,しんこうざん,506,2715,
6,石尊山,せきそんさん,486,2716,
7,行道山,ぎょうどうさん,442,2717,
8,秋葉山,あきばやま,432,17921,
9,大岩山,おおいわさん,417,2718,
10,彦谷湯殿山,ひこやゆどのさん,399,17844,
11,高萩山,たかはぎやま,377,18116,
12,山王山,さんのうさん,363,21461,
13,湯ノ沢山,ゆのさわやま,340,21561,
14,彦間浅間山,ひこませんげんやま,339,18113,
15,藤坂山,ふじさかやま,319,22071,
16,鳩ノ峰,はとのみね,317,21451,
17,妙義山,みょうぎさん,314,2705,
18,城山,しろやま,305,18013,
19,野山,のやま,297,21462,
20,大坊山,だいぼうさん,285,17861,
21,大小山,だいしょうやま,282,21563,
22,天池山,あまいけやま,280,21463,
23,馬打山,うまうちやま,273,21564,
24,つつじ山,つつじやま,270,21565,
25,南陽山,なんようさん,267,21566,
26,寺山,てらやま,264,21567,
27,正頂山,せいちょうさん,259,21568,
28,名草山,なぐさやま,258,18125,
29,石尊山,せきそんさん,240,21569,
30,天狗山,てんぐやま,259,17987,
31,両崖山,りょうがいさん,251,2719,
32,東山,ひがしやま,247,21570,
33,あわぎ山,あわぎやま,190,21571,
34,天神山,てんじんやま,241,21572,
35,羽黒山,はぐろさん,210,21573,
36,御堂山,みどうやま,230,21574,
37,奥山,おくやま,229,21575,
38,雷電山,らいでんやま,223,17988,
39,わたごさま,わたごさま,160,21576,
40,宿山,やどやま,219,21577,
41,二十丁山,にじっちょうやま,204,21578,
42,てっぺん山,てっぺんやま,150,21579,
43,須永山,すながやま,154,21580,
44,大七山,だいしちやま,170,21581,
45,天道山,てんどうさん,170,21582,
46,三日月山,みかづきやま,150,21583,
47,五十部東山,よべひがしやま,140,21584,
48,西山,にしやま,171,21585,
49,内郷山,うちごうやま,120,21586,
50,本覚山,もとがくやま,170,21587,
51,湯殿山,ゆどのやま,160,21588,
52,西場富士,にしばふじ,159,17925,
53,雷電山,らいでんやま,157,21589,
54,板倉要害山,いたくらようがいさん,150,21590,
55,鏡山,かがみやま,160,21591,
56,観音山,かんのんやま,130,21592,
57,樺崎八幡山,かばさきはちまんやま,153,21464,
58,稲荷山,いなりやま,110,22072,
59,浅間山,せんげんやま,140,21594,
60,高尾山,たかおさん,110,21595,
61,飯縄山,いいづなやま,110,21596,
62,玄藩山,げんばやま,139,21465,
63,妙見山,みょうけんさん,138,21597,
64,新田山,しんでんやま,198,21598,
65,三足富士,みあしふじ,180,21599,
66,山川浅間山,やまかわせんげんやま,130,21600,
67,愛宕山,あたごやま,124,21601,
68,機神山,はたがみやま,118,18094,
69,助戸東山,すけどひがしやま,116,21466,
70,福徳山,ふっとくやま,112,21467,
71,浅間山,せんげんやま,110,2704,
72,三葉つつじ山,みつばつつじやま,122,21602,
73,富士山,ふじさん,109,21603,
74,駒場山,こまばやま,104,21604,
75,西山,にしやま,130,21605,
76,荒神山,こうじんやま,95,21606,
77,立岩山,たちいわやま,96,21607,
78,多田木山,ただきやま,94,21608,
79,水道山,すいどうやま,93,21609,
80,稲荷山,いなりやま,90,21610,
81,西場観音山,にしばかんのんやま,60,21611,
82,菅東山,かんとうやま,90,21612,
83,中山,なかやま,81,21628,
84,八幡山,はちまんやま,69,21469,
85,明神山,みょうじんやま,61,21471,
86,尻無山,しりなしやま,63,21614,
87,堂山,どうやま,70,21615,
88,岩井山,いわいやま,59,21470,
89,岡崎山,おかざきやま,53,21616,
90,船頭山,せんどうやま,60,21617,
91,流山,ながれやま,40,21618,
92,女浅間山,おんなせんげんやま,60,21619,
93,おとか山,おとかやま,30,21620,
94,相生山,あいおいやま,34,21621,
95,愛宕山,あたごやま,40,21622,
96,台山,だいやま,70,21623,
97,藤本観音山,ふじもとかんのんやま,40,21624,
98,離山,はなれやま,60,21625,
99,羽刈観音山,はかりかんのんやま,27,21626,
100,小曽根浅間山,おぞねせんげんやま,25,21627,
