raw_id,name,kana,elevation,mountain_id,description
1,日本国,にほんこく,555,5079,
2,化穴山,ばけあなやま,1506,5055,
3,以東岳,いとうだけ,1772,236,
4,相模山,さがみやま,1591,5028,
5,西朝日岳,にしあさひだけ,1814,5038,
6,大朝日岳,おおあさひだけ,1870,237,
7,新保岳,しんぼだけ,852,240,
8,石黒山,いしぐろやま,968,8643,
9,鷲ヶ巣山,わしがすやま,1093,239,
10,頭布山,ずきんやま,1017,8618,
11,光兎山,こうさぎさん,966,8616,
12,大境山,おおざかいやま,1101,8484,
13,葡萄鼻山,ぶどうはなやま,798,8600,
14,朳差岳,えぶりさしだけ,1636,242,
15,二ツ峰,ふたつみね,1642,8451,
16,御西岳,おにしだけ,2012,8463,
17,北股岳,きたまただけ,2025,243,
18,飯豊本山,いいでほんざん,2105,244,
19,大日岳,だいにちだけ,2128,245,
20,赤津山,あかつやま,1408,8452,
21,二王子岳,にのうじだけ,1420,246,
22,烏帽子山,えぼしやま,1573,8402,
23,蒜場山,ひるばやま,1363,8404,
24,風倉山,かざくらさん,931,8472,
25,焼峰山,やけみねやま,1085,8395,
26,高陽山,こうようさん,1126,248,
27,棒掛山,ぼうかけやま,1025,8366,
28,松平山,まつだいらやま,954,8382,
29,五頭山,ごずさん,912,247,
30,菅名岳,すがなだけ,909,8355,
31,白山,はくさん,1012,8315,
32,光明山,こうみょうさん,879,8249,
33,角田山,かくだやま,482,8531,
34,弥彦山,やひこやま,634,421,
35,山毛欅ヶ平山,ぶながひらやま,947,8587,
36,金剛山,こんごうせん,962,8586,
37,金北山,きんぽくさん,1172,419,
38,大地山,おおちやま,1394,646,
39,経塚山,きょうづかやま,636,8543,
40,粟ヶ岳,あわがたけ,1292,298,
41,青里岳,あおりだけ,1215,8271,
42,矢筈岳,やはずだけ,1257,299,
43,五剣谷岳,ごけんやだけ,1187,8269,
44,日本平山,にほんだいらさん,1081,8325,
45,中ノ又山,なかのまたやま,1070,16957,
46,守門岳,すもんだけ,1537,300,
47,浅草岳,あさくさだけ,1585,301,
48,鬼ヶ面山,おにがつらやま,1465,8187,
49,御神楽岳,みかぐらだけ,1386,297,
50,貉ヶ森山,むじながもりやま,1315,16963,
51,毛猛山,けもうやま,1517,302,
52,未丈ヶ岳,みじょうがたけ,1553,303,
53,越後駒ヶ岳,えちごこまがたけ,2003,304,
54,中ノ岳,なかのだけ,2085,306,
55,八海山,はっかいさん,1778,305,
56,荒沢岳,あらさわだけ,1968,307,
57,灰ノ又山,はいのまたやま,1852,13738,
58,兎岳,うさぎだけ,1926,8098,
59,平ヶ岳,ひらがたけ,2141,292,
60,景鶴山,けいづるやま,2004,293,
61,丹後山,たんごやま,1808,8095,
62,下津川山,しもつごうやま,1928,308,
63,巻機山,まきはたやま,1967,309,
64,金城山,きんじょうさん,1369,7991,
65,大兜山,おおかぶとやま,1341,7994,
66,大源太山,だいげんたやま,1598,310,
67,谷川岳,たにがわだけ,1963,17839,
68,万太郎山,まんたろうやま,1954,316,
69,仙ノ倉山,せんのくらやま,2026,317,
70,平標山,たいらっぴょうやま,1984,3043,
71,苗場山,なえばさん,2145,319,
72,佐武流山,さぶるやま,2192,320,
73,白砂山,しらすなやま,2140,321,
74,菱ヶ岳,ひしがたけ,1129,424,
75,米山,よねやま,992,422,
76,刈羽黒姫山,かりわくろひめやま,891,423,
77,鍋倉山,なべくらやま,1289,3080,
78,妙高山,みょうこうさん,2454,432,
79,火打山,ひうちやま,2462,431,
80,焼山,やけやま,2400,429,
81,金山,かなやま,2245,7827,
82,昼闇山,ひるくらやま,1841,7910,
83,大毛無山,おおけなしやま,1430,7916,
84,斑尾山,まだらおさん,1381,425,
85,青田南葉山,あおたなんばさん,949,7958,
86,鉾ヶ岳,ほこがたけ,1316,426,
87,雨飾山,あまかざりやま,1963,430,
88,駒ヶ岳,こまがたけ,1487,7788,
89,鋸岳,のこぎりだけ,1631,428,
90,烏帽子岳,えぼしだけ,1450,7782,
91,阿彌陀山,あみだやま,1511,7784,
92,青海黒姫山,おうみくろひめやま,1221,456,
93,明星山,みょうじょうさん,1188,457,
94,高妻山,たかつまやま,2353,434,
95,白鳥山,しらとりやま,1287,7764,
96,犬ヶ岳,いぬがだけ,1592,458,
97,朝日岳,あさひだけ,2418,459,
98,雪倉岳,ゆきくらだけ,2611,460,
99,小蓮華山,これんげさん,2766,462,
100,白馬岳,しろうまだけ,2932,465,
