raw_id,name,kana,elevation,mountain_id,description
1,蛭ヶ岳,ひるがだけ,1673,386,
2,黒崎の鼻　,くろさきのはな,10,22348,
3,金時山,きんときやま,1212,401,
4,金沢山,かなざわやま,76,22351,
5,菰釣山,こもつるしやま,1379,391,
6,権現山,ごんげんやま,243,1904,
7,大杉山,おおすぎやま,861,18639,
8,加瀬山,かせやま,33,22350,
9,塔ノ岳,とうのだけ,1491,388,
10,景信山,かげのぶやま,727,1979,
11,鷹落場,たかおちば,819,22177,
12,鉄砲木ノ頭,てっぽうぎのあたま,1291,17938,
13,駒ヶ岳,こまがたけ,1356,1257,
14,黍殻山,きびがらやま,1273,1955,
15,西丸,にしまる,1227,20353,
16,鐘ヶ嶽,かねがたけ,561,1933,
17,丹沢山,たんざわさん,1567,387,
18,本郷ふじやま,ほんごうふじやま,80,22346,
19,箒沢権現山,ほうきざわごんげんやま,1138,1915,
20,嵐山,あらしやま,406,1978,
21,円山木ノ頭,えんざんぎのあたま,1345,1923,
22,武山,たけやま,200,1273,
23,生藤山,しょうとうざん,990,2000,
24,大野山,おおのやま,723,1130,
25,仏果山,ぶっかさん,747,1963,
26,峯,みね,423,22352,
27,臼ヶ岳,うすがたけ,1460,18521,
28,天園,てんえん,159,22331,
29,二子山（箱根町）,ふたごやま,1099,18031,
30,二子山（葉山町）,ふたごやま,208,1302,
31,花立ノ頭,はなだてのあたま,1370,20496,
32,本堂山,ほんどうやま,80,22343,
33,雨乞山,あまごいやま,429,21780,
34,見晴らし山,みはらしやま,40,22345,
35,寿岳,ことぶきだけ,1331,22175,
36,高尾山（横浜市緑区）,たかおさん,100,1964,
37,世附権現山,よづくごんげんやま,1018,1911,
38,大楠山,おおぐすやま,241,384,
39,袖平山,そでひらやま,1432,1956,
40,高松山,たかまつやま,801,1902,
41,高取山,たかとりやま,556,19870,
42,六国見山,ろっこくけんざん,147,1908,
43,三ノ塔,さんのとう,1205,7108,
44,草戸山,くさとやま,364,19104,
45,同角ノ頭,どうがくのあたま,1491,20120,
46,秋葉山,あきばやま,85,22344,
47,鍋嵐,なべわらし,817,22180,
48,湘南平,しょうなんだいら,180,19573,
49,明星ヶ岳,みょうじょうがたけ,924,1288,
50,金剛山,こんごうやま,418,22173,
51,加入道山,かにゅうどうやま,1418,1948,
52,白山,はくさん,284,1936,
53,ミズヒノ頭,みずひのあたま,1050,20941,
54,衣張山,きぬばりやま,120,1301,
55,檜岳,ひのきだっか,1167,1917,
56,灯明山　,とうみょうやま,96,22339,
57,畦ヶ丸,あぜがまる,1292,1913,
58,丸山,まるやま,60,22342,
59,三国山（丹沢）,みくにやま,1320,1536,
60,三国山（箱根）,みくにやま,1102,9228,
61,女郎小屋ノ頭,じょろうごやのあたま,1080,19591,
62,猿島,さるしま,40,22347,
63,大室山,おおむろやま,1587,389,
64,石垣山,いしがきやま,262,18388,
65,浅間山,せんげんやま,801,1253,
66,大峰山,おおみねやま,148,1305,
67,大山,おおやま,1252,385,
68,城山,しろやま,375,1962,
69,台ヶ岳,だいがたけ,1050,1290,
70,枡形山,ますがたやま,84,1982,
71,経ヶ岳,きょうがたけ,633,1960,
72,峰山,みねやま,570,1950,
73,弁当沢ノ頭,べんとうざわのあたま,1288,20720,
74,鷹取山,たかとりやま,139,1307,
75,明神ヶ岳,みょうじんがたけ,1169,1287,
76,池辺富士,いこのべふじ,55,22340,
77,入道丸,にゅうどうまる,714,18200,
78,南山,みなみやま,544,1953,
79,三峰山,みつみねさん,935,1930,
80,大丸山,おおまるやま,157,18723,
81,矢倉岳,やぐらだけ,870,1285,
82,曽我山,そがやま,328,1293,
83,幕山,まくやま,626,1270,
84,吾妻山,あづまやま,136,22337,
85,石老山,せきろうざん,702,1949,
86,櫟山,くぬぎやま,810,19126,
87,椿丸,つばきまる,902,22178,
88,鳶尾山,とびおさん,234,1961,
89,シダンゴ山,しだんごやま,758,17865,
90,石砂山,いしざれやま,578,1957,
91,松茸山,まつたけやま,571,20841,
92,頭高山,ずっこうやま,303,19684,
93,湯船山,ゆふねやま,1041,21171,
94,不老山,ふろうざん,928,1898,
95,檜洞丸,ひのきぼらまる,1600,1916,
96,大石山,おおいしやま,1220,18587,
97,鍋割山,なべわりやま,1272,1920,
98,江の島,えのしま,60,22349,
99,陣馬山,じんばさん,855,375,
100,神山,かみやま,1438,400,
