raw_id,name,kana,elevation,mountain_id,description
1,赤久奈山,あかぐなやま,923,2044,
2,赤指山,あかざすやま,1333,1801,
3,赤ぼっこ,あかぼっこ,410,18266,
4,網代城山,あじろしろやま,331,19583,
5,飛鳥山,あすかやま,25,18297,
6,麻生山,あそうやま,794,2027,
7,愛宕山,あたごやま,26,1983,
8,水松山,あららぎやま,1699,1851,
9,市道山,いちみちやま,795,1998,
10,今熊山,いまくまやま,505,18454,
11,芋木ノドッケ,いもきのどっけ,1946,7018,
12,イヨ山,いよやま,979,2014,
13,入小沢ノ峰,いりこざわのみね,1302,18462,
14,岩茸石山,いわたけいしやま,793,2017,
15,臼杵山,うすきやま,842,1996,
16,ウトウの頭,うとうのかしら,1588,2037,
17,大岳山,おおだけさん,1266,374,
18,大塚山,おおつかやま,920,2023,
19,大寺山,おおでらやま,950,1800,
20,大羽根山,おおはねやま,992,1988,
21,大洞山,おおぼらやま,536,18714,
22,奥の院,おくのいん,1077,22049,
23,御林山,おはやしやま,1078,18841,
24,景信山,かげのぶやま,727,1979,
25,勝峰山,かつぼうやま,454,1993,
26,榧ノ木山,かやのきやま,1485,7178,
27,茅丸,かやまる,1019,18977,
28,辛垣山,からかいさん,450,22057,
29,刈寄山,かりよせやま,687,1997,
30,川苔山,かわのりやま,1363,361,
31,草戸山,くさとやま,364,19104,
32,九重山,くじゅうさん,954,19109,
33,熊倉山,くまくらやま,966,1999,
34,雲取山,くもとりやま,2017,363,
35,倉掛山,くらかけやま,1078,19144,
36,倉戸山,くらとやま,1169,2009,
37,黒山,くろやま,842,2045,
38,小雲取山,こくもとりやま,1937,1845,
39,御前山,ごぜんやま,1405,2013,
40,小仏城山,こぼとけしろやま,670,1980,
41,金比羅山,こんぴらやま,468,1994,
42,サス沢山,さすざわやま,940,2011,
43,生藤山,しょうとうさん,990,2000,
44,笙ノ岩山,しょうのいわやま,1255,7220,
45,陣馬山,じんばさん,855,375,
46,浅間山,せんげんやま,80,2004,
47,浅間嶺,せんげんれい,903,1986,
48,惣岳山,そうがくさん,756,2020,
49,惣岳山,そうがくさん,1340,19752,
50,蕎麦粒山,そばつぶやま,1473,2038,
51,醍醐丸,だいごまる,867,19781,
52,高尾山,たかおさん,599,376,
53,鷹ノ巣山,たかのすやま,1737,7177,
54,高丸山,たかまるやま,1733,1802,
55,高水山,たかみずさん,759,2018,
56,滝入ノ峰,たきいりのみね,1310,7219,
57,乳房山,ちぶさやま,462,415,
58,月夜見山,つきよみやま,1147,2016,
59,天竺山,てんじくやま,310,22060,
60,天上山,てんじょうさん,572,409,
61,天祖山,てんそざん,1723,1852,
62,天地山,てんちさん,981,2010,
63,天目山,てんもくさん,1576,2036,
64,堂所山,どうどころやま,731,1977,
65,戸倉城山,とくらしろやま,434,1995,
66,土俵岳,どひょうだけ,1005,1990,
67,酉谷山,とりだにやま,1718,362,
68,長沢山,ながさわやま,1738,1850,
69,七ッ石山,ななついしやま,1757,1798,
70,鍋割山,なべわりやま,1084,2026,
71,ヌカザス山,ぬかざすやま,1175,2015,
72,鋸山,のこぎりやま,1109,2012,
73,箱根山,はこねやま,45,20441,
74,八王子城山,はちおうじしろやま,450,20459,
75,八丈富士,はちじょうふじ,854,412,
76,八丁山,はっちょうやま,1280,2040,
77,日蔭名栗山,ひかげなぐりやま,1725,1803,
78,日向沢ノ峰,ひなたさわのうら,1356,7208,
79,日の出山,ひのでやま,902,2025,
80,雹留山,ひょうどめやま,264,2003,
81,棒ノ嶺,ぼうのれい,969,7227,
82,本仁田山,ほにたやま,1224,2005,
83,槇寄山,まきよせやま,1188,1987,
84,馬頭刈山,まずかりやま,884,1991,
85,松生山,まつばえやま,934,1985,
86,丸山,まるやま,1098,1989,
87,万六ノ頭,まんろくのあたま,883,22053,
88,三国山,みくにさん,960,22051,
89,御岳山,みたけさん,929,2024,
90,三頭山,みとうさん,1531,373,
91,三原山,みはらやま,758,407,
92,三原山,みはらやま,701,1194,
93,三室山,みむろやま,647,20999,
94,宮塚山,みやつかやま,508,408,
95,六ッ石山,むついしやま,1479,2006,
96,湯久保山,ゆくぼやま,1040,21159,
97,要倉山,ようぐらやま,562,2001,
98,雷電山,らいでんやま,494,2021,
99,連行峰,れんぎょうみね,1010,21233,
100,六道山,ろくどうやま,190,22452,
