raw_id,name,kana,elevation,mountain_id,description
1,利尻山,りしりざん,1719,18,
2,羅臼岳,らうすだけ,1660,5,
3,斜里岳,しゃりだけ,1547,8,
4,阿寒岳,あかんだけ,1499,14,
5,大雪山,たいせつざん,2291,35,
6,トムラウシ,とむらうし,2141,41,
7,十勝岳,とかちだけ,2077,44,
8,幌尻岳,ぽろしりだけ,2052,75,
9,羊蹄山,ようていざん,1898,105,
10,岩木山,いわきさん,1624,174,
11,八甲田山,はっこうださん,1584,156,
12,八幡平,はちまんたい,1613,167,
13,岩手山,いわてさん,2038,171,
14,早池峰,はやちね,1917,146,
15,鳥海山,ちょうかいざん,2236,185,
16,月山,がっさん,1984,232,
17,朝日岳,あさひだけ,1870,237,
18,蔵王山,ざおうざん,1841,212,
19,飯豊山,いいでさん,2105,244,
20,吾妻山,あづまやま,2035,219,
21,安達太良山,あだたらやま,1700,227,
22,磐梯山,ばんだいさん,1816,228,
23,会津駒ヶ岳,あいづこまがたけ,2133,291,
24,那須岳,なすだけ,1915,265,
25,越後駒ヶ岳,えちごこまがたけ,2003,304,
26,平ヶ岳,ひらがたけ,2141,292,
27,巻機山,まきはたやま,1967,309,
28,燧ヶ岳,ひうちがたけ,2356,294,
29,至仏山,しぶつさん,2228,295,
30,谷川岳,たにがわだけ,1977,315,
31,雨飾山,あまかざりやま,1963,430,
32,苗場山,なえばさん,2145,319,
33,妙高山,みょうこうさん,2454,432,
34,火打山,ひうちやま,2462,431,
35,高妻山,たかつまやま,2353,434,
36,男体山,なんたいさん,2486,273,
37,奥白根山,おくしらねさん,2578,274,
38,皇海山,すかいさん,2144,275,
39,武尊山,ほたかやま,2158,296,
40,赤城山,あかぎさん,1828,279,
41,草津白根山,くさつしらねさん,2171,330,
42,四阿山,あずまやさん,2354,331,
43,浅間山,あさまやま,2568,335,
44,筑波山,つくばさん,877,263,
45,白馬岳,しろうまだけ,2932,465,
46,五竜岳,ごりゅうだけ,2814,471,
47,鹿島槍ヶ岳,かしまやりがたけ,2889,472,
48,剱岳,つるぎだけ,2999,496,
49,立山,たてやま,3015,502,
50,薬師岳,やくしだけ,2926,510,
51,黒部五郎岳,くろべごろうだけ,2840,512,
52,黒岳,くろだけ,2986,488,
53,鷲羽岳,わしばだけ,2924,490,
54,槍ヶ岳,やりがたけ,3180,533,
55,穂高岳,おくほたかだけ,3190,539,
56,常念岳,じょうねんだけ,2857,527,
57,笠ヶ岳,かさがたけ,2897,517,
58,焼岳,やけだけ,2455,542,
59,乗鞍岳,のりくらだけ,3026,546,
60,御嶽山,おんたけさん,3067,549,
61,美ヶ原,うつくしがはら,2034,440,
62,霧ヶ峰,きりがみね,1925,442,
63,蓼科山,たてしなやま,2531,443,
64,八ヶ岳,やつがたけ,2899,450,
65,両神山,りょうかみさん,1723,345,
