raw_id,name,kana,elevation,mountain_id,description
1,秋葉山,あきはさん,661,18268,
2,畦ヶ丸,あぜがまる,1292,1913,
3,吾妻山,あづまやま,151,18317,
4,油沢ノ頭,あぶらさわのあたま,1312,18326,
5,阿部倉山,あべくらやま,161,1303,
6,雨乞岳,あまごいだけ,546,18330,
7,雨乞山,あまごいやま,429,21780,
8,雨山,あめやま,1176,1918,
9,嵐山,あらしやま,406,1978,
10,石垣山,いしがきやま,262,18388,
11,石小屋ノ頭,いしごやのあたま,1353,18394,書籍の位置は・1254m峰
12,石砂山,いしざれやま,578,1957,
13,石棚山,いしだなやま,1351,18399,
14,石橋山,いしばしやま,70,,‼️新規
15,石保土山,いしほどやま,1297,20346,
16,伊勢沢ノ頭,いせざわのあたま,1177,18411,
17,板小屋沢ノ頭,いたごやさわのあたま,1126,18417,
18,イタドリ沢ノ頭,いたどりさわのあたま,506,18418,
19,一本松山,いっぽんまつやま,337,18433,
20,芋ノ沢ノ頭,いものさわのあたま,840,22157,
21,岩堂山,いわどうやま,84,1238,
22,岩戸山,いわとやま,377,21753,
23,上ノ丸,うえのまる,879,22159,
24,臼ヶ岳,うすがだけ,1460,18521,
25,海ノ平,うみのたいら,942,6692,
26,榎窪山,えのくぼやま,420,22152,
27,円海山,えんかいざん,153,1909,
28,円山木ノ頭,えんざんぎのあたま,1360,1923,
29,エンナミノ頭,えんなみのあたま,620,,‼️新規
30,扇山,おうぎやま,101,1276,
31,大石山,おおいしやま,1220,18587,
32,大楠山,おおぐすやま,241,384,
33,大久保山,おおくぼやま,614,22160,
34,大笄,おおこうげ,1514,18623,
35,大沢ノ頭,おおさわのあたま,476,,‼️新規
36,大沢ノ頭,おおさわのあたま,864,,‼️新規
37,大杉沢ノ頭,おおすぎさわのあたま,1292,22165,
38,大杉丸,おおすぎまる,1169,18638,
39,大杉山,おおすぎやま,861,18639,
40,大ゾウリ山,おおぞうりやま,837,18643,
41,大棚ノ頭,おおだなのあたま,1268,18657,
42,大タル丸,おおたるまる,1031,18668,
43,大栂,おおつが,1204,18670,
44,大野山,おおのやま,723,1130,
45,大ノ山,おおのやま,723,22166,
46,大平山,おおひらやま,159,22331,
47,大平山,おおひらやま,511,18702,
48,大洞山,おぼらやま,536,18714,
49,大丸,おおまる,1386,18720,
50,大丸山,おおまるやま,157,18723,
51,大峰,おおみね,328,21783,
52,大峰山,おおみねやま,148,1305,
53,大室山,おおむろやま,1587,389,
54,大山,おおやま,1252,385,
55,小倉山,おぐらさん,318,1958,
56,鬼ヶ岩ノ頭,おにがいわのあたま,1608,22168,
57,小渕山,おぶちやま,350,21754,
58,景信山,かげのぶやま,727,1979,
59,風巻ノ頭,かさまくのあたま,745,18892,
60,風巻ノ頭,かざまきのあたま,1077,18894,
61,柏原ノ頭,かしわばらのあたま,633,18903,
62,ガタクリ峰,がたくりほう,860,18918,
63,加入道山,かにゅうどうやま,1418,1948,
64,鐘ヶ嶽,かねがたけ,561,1933,
65,鐘沢ノ頭,かねさわのあたま,1108,22172,
66,鐘撞山,かねつきやま,900,1946,
67,神山,かみやま,1438,400,
68,茅丸,かやまる,1019,18977,
69,烏尾山,からすおやま,1136,1927,
70,革籠石山,かわごいしやま,640,21948,
71,冠ヶ岳,かんむりがたけ,1409,1255,
72,桔梗山,ききょうやま,113,19036,
73,衣笠山,きぬがさやま,134,19062,
74,衣張山,きぬばりやま,121,1301,
75,木ノ又大日,きのまただいにち,1396,19065,
76,黍殻山,きびがらやま,1273,1955,
77,経ヶ岳,きょうがたけ,633,1960,
78,行者ヶ岳,ぎょうじゃがたけ,1180,1926,
79,京塚山,きょうづかやま,359,,‼️新規
80,金時山,きんときやま,1212,401,
81,草戸山,くさとやま,364,19104,
82,櫟山,くぬぎやま,810,19126,
83,熊笹ノ峰,くまざさのみね,1523,22174,
84,鞍掛山,くらかけやま,1004,1268,
85,栗ノ木洞,くりのきどう,908,19161,
86,華厳山,けごんやま,602,1934,
87,源氏山,げんじやま,93,1300,
88,弘法山,こうぼうやま,235,1906,
89,小笄,ここうげ,1288,19261,
90,小塚山,こづかやま,859,1289,
91,御殿森ノ頭,ごてんもりのあたま,653,22580,書籍は標高585m峰
92,寿岳,ことぶきだけ,1331,22175,
93,駒ヶ岳,こまがたけ,1356,1257,
94,子孫山ノ頭,こまごやまのあたま,543,22161,
95,高麗山,こまやま,168,1297,
96,小丸,こまる,1341,19351,
97,菰釣山,こもつるしやま,1379,391,
98,権現平,ごんげんだいら,569,22167,
99,権現山（秦野）,ごんげんやま,243,1904,
100,権現山（箒沢）,ごんげんやま,1138,1915,
101,権現山（世附）,ごんげんやま,1018,1911,
102,金剛山（名倉）,こんごうさん,418,22173,
103,金剛山（日連）,こんごうさん,420,,‼️新規
104,コンピラ山,こんぴらやま,515,19401,
105,坂田山,さかたやま,111,22176,
106,桜山,さくらやま,280,21778,
107,三角山（大山）,さんかくやま,600,19456,
108,三角山（鳥屋）,さんかくやま,515,19455,
109,三所山,さんしょやま,892,20966,
110,三ノ塔,さんのとう,1205,7108,
111,敷地山ノ頭,しきちやまのあたま,687,22156,
112,志田山,しだやま,415,22334,
113,シダンゴ山,しだんごやま,758,17865,
114,下ノ丸,しものまる,762,,‼️新規
115,シャガクチ丸,しゃがくちまる,1191,19541,
116,城ヶ尾山,じょうがおやま,1199,19562,
117,生藤山,しょうとうさん,990,2000,
118,湘南平,しょうなんだいら,181,19573,
119,城山,じょうやま,536,19584,
120,女郎小屋ノ頭,じょろうごやのあたま,1080,19591,
121,白クラノ頭,しらくらのあたま,978,19601,
122,白銀山,しろがねやま,993,1261,
123,城山（小仏）,しろやま,670,1980,
124,城山（津久井）,しろやま,375,1962,
125,城山（箱根）,しろやま,743,,‼️新規
126,城山（山北）,しろやま,347,1899,
127,城山（湯河原）,しろやま,563,8717,
128,新大日,しんだいにち,1340,1925,
129,陣馬山,じんばさん,855,375,
130,水晶沢ノ頭,すいしょうざわのあたま,1278,19666,
131,スイリカンバノ頭,すいりかんばのあたま,587,,‼️新規
132,頭高山,ずっこうやま,308,19684,
133,石老山,せきろうざん,702,1949,
134,瀬戸沢ノ頭,せとざわのあたま,1375,19718,
135,浅間台,せんげんだい,221,19727,
136,仙元山,せんげんやま,118,1304,
137,浅間山（大磯丘陵）,せんげんやま,181,19732,
138,浅間山（大山南尾根）,せんげんやま,680,1931,
139,浅間山（曽我丘陵）,せんげんやま,317,1291,
140,浅間山（箱根）,せんげんやま,802,1253,
141,浅間山（秦野）,せんげんやま,196,,‼️新規
142,浅間山（寄）,せんげんやま,568,22872,
143,浅間山（山北）,せんげんやま,248,1900,
144,仙洞寺山,せんどうじさん,583,1951,
145,早雲山,そううんざん,1151,1252,
146,曽我山,そがやま,328,1293,総称
147,袖平山,そでひらやま,1432,1956,
148,大界木山,だいかいぎやま,1246,1912,
149,台ヶ岳,だいがだけ,1055,1290,
150,大観山,たいかんざん,1012,1266,
151,泰光寺山,たいこうじさん,475,19775,
152,醍醐丸,だいごまる,867,19781,
153,台山,だいやま,153,1292,
154,第六天,だいろくてん,569,19812,
155,高岩山,たかいわやま,801,19814,
156,高尾山,たかおさん,100,1964,
157,鷹落場,たかおちば,819,22177,
