raw_id,name,kana,elevation,mountain_id,description
1,根本山,ねもとさん,1199,2774,
2,十二山,じゅうにやま,1128,2775,
3-1,三境山,さんきょうさん,1088,2776,
3-2,高禅寺山,こうぜんじやま,,,三境山の別称？
4,熊鷹山,くまたかやま,1169,2777,
5,屋敷山,やしきやま,990,,
6,愛宕山,あたごやま,560,,新規
7,丸岩岳,まるいわだけ,1127,2778,
8,高竹山,たかたけやま,1035,,新規
9,藤生山,ふじゅうやま,980,,
10,残馬山,ざんばさん,1107,17867,
11,岳山,たけやま,1079,17899,
12,座間峠,ざまとうげ,,,
13,野峰,のみね,1010,2780,
14,十二山,じゅうにさん,797,17914,
15,蚕影山,こかげやま,619,17916,
16,観音山,かんのんやま,632,,
17,鳴神山,なるかみやま,980,2741,
18,湯山,ゆやま,583,,
19,持丸山,もちまるやま,725,17893,
20,天竹山,あまたけやま,431,,新規
21,高芝山,たかしばやま,606,,
22,鷹ノ巣山,たかのすやま,497,,
23,高戸山,たかとやま,706,,高鳥屋山？出典不詳
24,石尊山,せきそんざん,520,18158,
25,駒見山,こまみやま,614,17918,
26,三本木山,さんぼうぎやま,450,21400,
27,高戸山,たかとやま,625,17885,
28,御蔵山,みくらやま,325,,新規
29,二渡山,ふたわたりやま,348,17892,
30,栗生山,くりうやま,341,18174,
31,三峰山,みつみねさん,697,17889,
32,柄杓山,ひしゃくやま,361,2744,
33,琴平山,ことひらやま,,,
34,山神山,やまかみやま,294,,新規
35,雷電山,らいでんやま,300,,
36,大形山,おおがたやま,682,2743,
37,桜峠,さくらとうげ,,,
38,八ツ山,やつやま,449,17919,
39,金比羅山,こんぴらやま,295,,
40,雷電山,らいでんやま,406,,
41,丸山,まるやま,372,17910,
42,愛宕山,あたごやま,302,17952,
43,堂平,どうだいら,,,
44,西方寺沢の頭,さいほうじざわのあたま,,,
45,雷電山,らいでんやま,319,18182,
46,琴平山,ことひらやま,390,,
47,岩久保山,いわくぼやま,394,18159,
48,萱野山,かやのやま,568,18157,
49,笹久保山,ささくぼやま,361,17911,
50,八幡山,はちまんやま,,,新規
51,前仙人ヶ岳,まえせんにんがたけ,647,17880,
52,仙人ヶ岳,せんにんがたけ,663,2749,
53,雨降山,あぶりやま,384,,新規
54,愛宕山,あたごやま,,,
55,鳳仙寺沢の頭,ほうせんじざわ,500,,
56,愛宕山,あたごやま,166,18177,
57,経ヶ峰,きょうがみね,216,18178,
58,小松山,こまつやま,179,18173,
59,小友沢の頭,おともざわのあたま,528,17895,
60,花柄山,はながらやま,342,18161,
61,野山稲荷,のやまいなり,260,,
62,堂所山,どどころやま,484,21833,
63,物見山,ものみやま,275,2747,
64,吾妻山,あづまやま,481,2746,
65,経塚山,きょうづかやま,341,18160,
66,和田山,わだやま,243,,新規
67,丸山,まるやま,269,17953,
68,琴平山,ことひらやま,269,21926,
69,要害山,ようがいさん,270,17845,
70,永明山,ようめいさん,176,,
71,青葉台,あおばだい,203,,新規
72,水道山,すいどうやま,212,18180,
73,御嶽山,おんたけさん,201,18181,
74,深高山,しんこうさん,509,2715,
75,湯殿山,ゆどのやま,399,17844,標高修正
76,小丸山,こまるやま,173,,新規
77,北森山,きたもりやま,403,26524,標高修正
78,森山,もりやま,357,,
79,雷電山,らいでんやま,,18172,
80,高萩山,たかはぎやま,377,18116,
81,観音山,かんのんやま,308,18162,
82,熊ノ沢山,くまのさわやま,276,,
83,ガッチン山,がっちんやま,,17849,
84,でんべい山,でんべいやま,,17859,
85,石尊山,せきそんざん,486,2716,標高修正
86,姥穴山,うばなやま,380,17891,
87,雷電山,らいでんやま,187,18170,標高修正
88,八王子山,はちおうじやま,,,
89,愛宕山,あたごやま,177,,
90,雨乞山,あまごいやま,200,18167,
91,小倉山,おぐらやま,203,,
92,丸山,まるやま,174,18179,
93,富士山,ふじやま,163,18183,
94,浅間山,せんげんやま,172,18168,
95,金比羅山,こんぴらやま,178,,
96,鳶山,とびやま,210,17960,
97,桂山,かつらやま,281,17959,標高修正
98,城山,じょうやま,,18013,
99,鹿田山,しかたやま,232,2709,
100,道帰り山,みちかえりやま,235,17886,
101,稲荷山,いなりやま,188,18163,
102,琴平山,ことひらやま,196,2711,
103,荒神山,こうじんやま,,2712,
104,黒石峠,くろいしとうげ,,,
105,雷電山,らいでんやま,,,
106,茶臼山,ちゃうすやま,294,2713,
107,八王子山,はちおうじやま,260,18165,
108,水道山,すいどうやま,,,
109,手臼山,てうすやま,194,18166,標高修正
110,賀茂山,かもやま,,,
111,天王山,てんのうざん,,17881,
112,鷹ノ巣山,たかのすやま,186,,
113,菅塩峠,すがしおとうげ,,,
114,唐沢山,からさわやま,261,17882,
115,愛宕山,あたごやま,221,21796,
116,御所山,ごしょやま,263,21795,
117,高尾山,たかおさん,240,,
118,橋木山,はしぎやま,,,新規
119,一色山,いっしきやま,290,21906,
120,水道山,すいどうやま,178,,
121,木落山,きおとしやま,244,,
122,熊野山,くまのやま,,21597,
123,雷電山,らいでんやま,,21605,
124,愛宕山,あたごやま,,21601,
125,山王山,さんのうさん,,,新規
126,姥沢の頭,うばさわのあたま,,,新規
127,八幡山,はちまんやま,,,
128,琴平山,ことひらやま,,,
129,建岩山,たていわやま,,,
130,山谷戸峠,やまがいととうげ,,,
131,曲坂峠,まかっさかとうげ,,,
132,経持坂,けいじっさか,,,
133,駒転峠,こまころばしとうげ,,,
134,駒見峠,こまみとうげ,,,
135,富士山,ふじやま,,,
136,雷電山,らいでんやま,231,18171,
137,日向山,ひなたやま,,,新規
138,西溪山,にしたにやま,236,,
139,鍋足沢の頭,なべあしさわのあたま,1059,21415,
140,ヘロコヤシキ,へろこやしき,,,
141,杉ノ入山,すぎのいりやま,225.4,,新規
142,黒石山,くろいしやま,,,
143,観音山,かんのんやま,,,
144,高壷山,たかつぼやま,,,
145,雷電山,らいでんやま,,21797,
146,三本木峠,さんぼうぎとうげ,,,
147,角山,かどやま,,,
148,湯沢峯,ゆざわみね,,,新規
149,勝山,かつやま,,,
150,八王子山,はちおうじやま,,18184,
151,朴の木山,ほおのきやま,624,17847,
152,越路,こいじ,,,
153,明神山,みょうじんさん,,,
154,萱野峠,かやのとうげ,,,
155,天神山,てんじんやま,,,
156,中山,なかやま,,26527,
157,つつじケ峰,つつじがみね,,,
158,天池山,あまいけやま,,21463,
159,小倉山,おぐらやま,,,
160,山,やま,,,
161,園田山,そのだやま,,,
162,岩木戸山,いわきどやま,489,,新規
163,西久保山,にしくぼやま,,,
164,天神山,てんじんやま,,,
165,金沢峠,かなざわとうげ,,,
166,羽場山,はばやま,,,
167,琴平山,ことひらやま,,,
168,雷電山,らいでんやま,,,
169,前浅間,まえせんげん,,,
170,山神山,やまがみやま,,,
171,高倉山,たかくらやま,584,21399,
172,下菱八幡山,はちまんやま,,,
173,下菱雷電山,しもびしらいでんやま,,,
174,引田山,ひきたやま,366,26525,
175,かわご石山,かわごいしやま,,,
176,鍋足山,なべあしやま,1017,,新規
177,沖山赤城山,おきやまあかぎさん,,21397,
178,丸山（離山）,まるやま（はなれやま）,1064,17884,
179,愛宕山,あたごやま,181,,
180,立岩山,たちいわやま,,,
181,高山,たかやま,,,
182,元雷電山,もとらいでんやま,,,
183,燧坂,ひうちざか,,,
184,オオクボ,おおくぼ,,,
185,日光坂,にこうざか,,,
186,手振山,てぶりやま,,18164,
187,竹山,たけやま,,,
188,雷電山,らいでんやま,,,
189,十二時山,じゅうにじやま,1056,17842,
190,カラスノネド,からすのねど,334,21416,
191,叶花湯殿山,かのうけゆどのやま,200,,新規
192,子繋山,こつなぎやま,973,23314,
193,椚田,くぬぎった,,,
194,穴切峠,あなぎりとうげ,,,
195,二渡愛宕山,ふたわたりあたごやま,375,17894,
196,籾山,もみやま,228,,
197,足垂山,あしだれやま,250,,
198,広沢御嶽山,ひろさわおんたけさん,,,
199,寺の入山,てらのいりやま,241,21907,
200,広見山,ひろみやま,,,
201,象頭山,ぞうずさん,416,,
202,とりでん様,とりでんさま,,,
203,椚田,くぬぎった,,,
204,御所平,ごしょだいら,,,
205,比良の峯,ひらのみね,,,
206,唐沢山,からさわやま,,18169,
207,天神山,てんじんやま,,,
208,不動山,ふどうさん,122,21602,
209,正頂山,せいちょうさん,,21568,
210,作網山,さかみやま,401,18175,
211,大茂峠,だいもんとうげ,,,
212,燧石山,ひうちいしやま,847,17898,
213,赤粉山,あかごなやま,,,新規
214,茸岩山,きのこいしやま,1002,23851,
215,唐沢山,からさわやま,606,,新規
216,寄日峠,よっぴとうげ,,,
217,北沢山,きたざわやま,830,21911,
218, 六本松,ろっぽんまつ,,,
