raw_id,name,kana,elevation,mountain_id,description
1,三ノ丸,さんのまる,1464,20362,
2,三室山,みむろやま,1358.04,813,
3,後山,うしろやま,1344.36,816,
4,船木山,ふなきやま,1334,12570,
5,赤谷山,あかたにやま,1216,21647,
6,波佐利山,はさりやま,1191.7,21648,
7,植松山,うえまつやま,1191,12572,
8,ダルガ峰,だるがなる,1163,12566,
9,千町ヶ峰,せんちょうがみね,1141,10356,
10,藤無山,ふじなしやま,1139.36,807,
11,竹呂山,たけろやま,1129,12565,
12,三国平,みくにだいら,1128,21649,
13,三久安山,さんきゅうあんざん,1123.13,10349,
14,荒尾山,あらおやま,1108,18344,
15,長義山,なぎさん,1105.39,12564,
16,段ヶ峰,だんがみね,1103.4,808,
17,杉山,すぎやま,1088,21650,
18,阿舎利山,あじゃりやま,1087,10350,
19,暁晴山,ぎょうせいざん,1077.11,10343,
20,一山,ひとつやま,1064.56,10351,
21,日名倉山,ひなくらさん,1047.09,10334,
22,大甲山,おおこうざん,1035,21651,
23,笠杉山,かさすぎやま,1032.11,10353,
24,黒尾山,くろおざん,1024.6,10339,
25,東山,ひがしやま,1015.9,10352,
26,大段山,おおだんやま,966,10354,
27,三辻山,みつじやま,961,21652,
28,銅山,どうやま,953,21653,
29,深山,ふかやま,907.76,21654,
30,空山,そらやま,900.84,12567,
31,笛石山,ふえいしやま,895,12573,
32,水剣山,すいけんざん,872,21655,
33,水上山,みずかみやま,862,21656,
34,高峰,たかみね,844.7,10357,
35,五蔵山,ごぞうやま,790.76,21657,
36,日ノ原山,ひのはらやま,788.92,21659,
37,行者山,ぎょうじゃさん,787,21660,
38,岩谷山,いわたにやま,732,21658,
39,笠ヶ城山,かさがじょうやま,669,21661,
40,母栖山,もすやま,653.9,21662,
41,宮山,みややま,646,21663,
42,花咲山,はなさきやま,637.6,21664,
43,長水山,ちょうずいさん,584,10320,
44,宮山,みやま,514,21007,
45,篠の丸,ささのまる,511.8,21665,
46,高取山,たかとりさん,490,21666,
47,国見山,くにみやま,465,10306,
48,城山,じょうやま,458,21667,
49,禅師山,ぜんじやま,434.07,21668,
50,南山,みなみやま,430.96,21669,
51-1,出石山,ひついしやま,1050,25729,
51-2,熊ノ原,くまのはら,1015,25727,
51-3,岡ノ上,おかのうえ,949,25728,
52,十年,じゅうねん,1039,24468,
53,三郡山,さんぐんやま,950,,新規
54,藤ヶ峰,ふじがみね,942,24633,
55,秋葉山,あきばさん,449,25600,
