raw_id,name,kana,elevation,mountain_id,description
1,中ノ尾根山,なかのおねやま,2296.4,14835,
2,ドーム,どーむ,2251,22748,ヨモギ沢の頭
3,三又山,みつまたやま,2220,20960,
4,不動岳,ふどうだけ,2172,632,
56,ヒコウキ平,ひこうきだいら,2155,24611,
5,黒沢山,くろさわやま,2122.8,9229,
9,黒山,くろやま,2095,23717,
6,鎌崩岳,かまなぎだけ,2075,18962,鎌崩ノ頭・鎌崩山
7,黒法師岳,くろぼうしだけ,2068,633,
8,丸盆岳,まるぼんだけ,2066,9202,
10,笠松山,かさまつやま,2013,24877,
11,バラ谷ノ頭,ばらたにのあたま,2010,20514,バラ谷山・三合山
12,鹿の平,しかのたいら,2009,28758,新規
99,カモシカ平,かもしかだいら,1960,,
13,上西平山,かみにしだいらやま,1909,24612,上西平の頭
14,房小山,ふさこやま,1868,9172,川上山
15,中又山,なかまたやま,1862.2,24613,
16,白倉山,しらくらやま,1851,629,
17,栃生山,とちうやま,1835,19539,シヤウヅ山・白倉山
18,平森山,ひらもりやま,1812.8,9079,
19,前黒法師山,まえくろぼうしやま,1781.7,9049,
20,六呂場山,ろくろばやま,1747.4,9204,
21,奥布山,おくぶやま,1741,18784,
24,朝日山,あさひやま,1690,9078,
22,麻布山,あざぶやま,1685,9046,
23,鋸山,のこぎりやま,1668,9173,
25,熊伏山,くまぶしやま,1653.3,630,
26,奈良代山,ならしろやま,1624,9047,
27,高塚山,たかつかやま,1621.1,635,京丸山
28,戸中山,とちゅうざん,1610,,
98,前熊伏山,まえくまぶしやま,1615,,
29,三合山,みつあいやま,1602,20947,
30,六呂場峠,ろくろばとうげ,1600,,
31,打越峠,うちこしとうげ,1539,,
32,三本栃山,さんぼんとちやま,1533.1,23932,
33,都沢山,みやこざわやま,1532,23933,都沢の頭
34,矢筈山,やはずやま,1473,23842,
35,京丸山,きょうまるやま,1470,636,
36,常光寺山,じょうこうじさん,1438.3,9018,
37,灰縄山,はいなわやま,1436.3,23674,三ツ森、
39,青崩の頭,あおくずれのあたま,1433,,ヤマレコでは▲1379（ID=24614）
38,鶏冠山,とさかやま,1428.8,28759,新規
40,観音山,かんのんやま,1418.2,9043,
41,ナダクマシロ山,なだくましろやま,1418,20279,
42,大ハカ山,おおはかやま,1377,24615,
43,門桁山,かどげたやま,1375,9019,オクトウヤマ
44,五丁坂頭山,ごちょうざかとうやま,1368.4,9015,
45,青崩嶺,あおくずれれい,1368,24616,
46,トサワ山,とさわやま,1358,20162,
47,井戸口山,いどぐちやま,1334.8,9017,
66,大島山,おおしまやま,1334,24617,
48,水梨山,みずなしやま,1317,22395,
50,遠木山,とうきやま,1308,28760,新規
51,三森,みつもり,1304,23863,
52,イロウ山,いろうやま,1300,24618,
53,大高遠山,おおたかとうやま,1295.8,24619,大達山
49,経塚,きょうづか,1291,27905,
55,テタア山,てたあやま,1291,24047,
57,ハチモリ山,はちもりやま,1256.1,20470,
58,オオモウ山(水窪富士),おおもうやま（みさくぼふじ）,1250,28763,新規
59,国盗山,くにとりやま,1247,28761,新規
54,扇平山,おおぎだいらやま,1173,24620,
60,青薙山,あおなぎやま,1168.8,18235,
61,大沢山,おおさわやま,1168,18633,
62,塩沢山,しおざわやま,1166.3,24621,
63,ヒョウ越,ひょうこし,1165,,兵越峠
64,大ヌタ山,おおぬたやま,1157.2,18687,青葉山
65,画栃山,えどちやま,1136.2,23931,
67,高森,たかもり,1132.7,19903,小倉山
68,天塚,てんづか,1112,20110,
69,山住峠,やまずみとうげ,1068,,
70,青崩峠,あおくずれとうげ,1082.3,,
71,ナダクマ山,なだくまやま,1081,28762,新規
72,ニゴリ沢山,にごりさわやま,1077,24623,
73,大津山,おおつやま,1074.1,23939,
74,大寄山,おおよりやま,1053,24622,
76,門谷矢筈山,かどたにやはずやま,1050,28764,新規、門谷山
75,長尾矢筈山,なごうやはずやま,1040,28765,新規、長尾山
96,瀬戸野山,せどのやま,1040,28766,新規
77,大野山,おおのやま,1001,24624,
78,クロテ山,くろてやま,983,,
79,覗山,のぞきやま,974,24625,
80,ゼンモン山,ぜんもんやま,963.9,9045,
81,大津峠,おおつとうげ,950,,
95,堀切峠,ほりきりとうげ,930,,
82,ボンガ塚,ぼんがづか,943,9042,
94,風越峠,かざこしとうげ,1095,,
97,針間野峠,はりまのとうげ,1050,,地蔵峠
83,大洞山,おおぼらやま,929.8,9016,
84,矢落峠,やおつとうげ,929,,
85,亀ノ甲山,かめのこうやま,880.6,,地形図では・848（ID=14713）
86,イラアラ山,いらあらやま,865,27890,
87,松林山,まつばやしやま,855,24626,
93,池の平峠,いけのたいらとうげ,815,,
88,中根山,なかねやま,755.3,9044,
89,池の平,いけのたいら,654,,
90,夏焼山,なつやきやま,651.3,24517,
100,山王岩峰,さんのうがんぽう,570,24021,
91,石仏山,いしぼとけやま,470,24518,
92,高根山,たかねやま,447,24627,
