raw_id,name,kana,elevation,mountain_id,description
1-1,若杉峠,わかすぎとうげ,1050,,
1-2,峰越峠,みそぎとうげ,1020,,
2,ダルガ峰,だるがなる,1163,12566,
3,駒の尾山,こまのおやま,1280.25,12569,
4,後山,うしろやま,1344.36,816,
5,日名倉山,ひなくらさん,1047.09,10334,
6,袴ヶ仙,はかまがせん,931,10327,
7-3,広戸仙,ひろどせん,1115,12540,
7-2,滝山,たきやま,1197,12541,
7-1,那岐山,なぎさん,1255,817,
8,山形仙,やまがたせん,791,12536,
9,矢筈山,やはずやま,756,12553,
10,桜尾山,さくらおうざん,956.26,12557,
11,黒岩高原,くろいわこうげん,969.6,24805,
12,大ヶ山,だいがせん,990,12552,
13,マッコウ,まっこう,1115.2,21520,
14-2,天狗岩,てんぐいわ,1196.6,20075,
14-1,三十人ケ仙,さんじゅうにんがせん,1171.7,12574,
15,角ヶ仙,つのがせん,1153,12551,
16,天狗寺山,てんぐうぎさん,832,12535,
17,公郷仙,くごうせん,862,12534,
18,恩原三国山,おんばらみくにやま,1213,12751,
19,妹山,いもやま,1121,18457,
20,三ヶ上,さんがじょう,1034.9,16717,
21-2,オオヒラ山,おおひらさん,1131.1,21522,
21-1,大地山,おおちやま,1077.5,21521,
22,泉山,いずみがせん,1208.9,16688,
23,入道山,にゅうどうやま,752,16650,
24,黒沢山,くろさわやま,668,16648,
25-2,霧ヶ峰,きりがみね,1079,16719,
25-1,人形仙,にんぎょうせん,1004,16718,
26,岡山県立森林公園,おかやまけんりつしんりんこうえん,,,
27,湯岳,ゆだけ,1058,16720,
28,岡曽山,おかそやま,963.6,16675,
29,不溜山,たまらずがせん,1124.6,16676,
30-1,富栄山,ふえいざん,1205,16679,
30-2,大空山,おおぞらやま,1104,16678,
31,扇山,おうぎやま,825.1,16677,
32,天ヶ山,あまがせん,766,16642,
33-1,妙見山,みょうけんやま,613,16640,
33-2,矢倉山,やぐらやま,659,16641,
34-3,山乗山,やまのりやま,1053,16681,
34-2,白髪山,しらすやま,1114,16682,
34-1,津黒山,つぐろせん,1117.8,829,
35,霰ヶ山,あられがせん,1074.1,16684,
36,雨乞山,あまごいせん,889.1,16672,
37,摺鉢山,すりばちやま,879,16645,
38,三坂山,みさかやま,902.5,16636,
39,仏ヶ仙,ほとけがせん,743.5,16715,
40-1,櫃ヶ山,ひつがせん,953.4,16635,
40-2,星山,ほしやま,1030.3,836,
41-3,下蒜山,しもひるぜん,1100.4,16706,
41-2,中蒜山,なかひるぜん,1123.3,16710,
41-1,上蒜山,かみひるぜん,1202,830,
42-1,二俣山,ふたまたせん,1083,16703,
42-2,皆ヶ山,みながせん,1159.35,16702,
42-3,アゼチ,あぜち,1116,18302,
