id,info_type,source_table,display_name,reliability_rank,full_name,url
0,DATASET,_stg_template_pois,全国,0,全国,
1,DATASET,stg_gsi_gcp_pois,基盤地図,0,,
2,DATASET,stg_gsi_1003_pois,1003山,10,日本の主な山岳標高（1003山）,
3,DATASET,stg_gsi_dm25k_pois,数値地図,70,数値地図25000（地名・公共施設）,
4,DATASET,stg_gsi_vtexp_pois,地形図,20,国土地理院ベクトルタイル提供実験：地名情報（自然地名）,
5,DATASET,stg_wikidata_pois,ウィキ,80,ウィキペディア日本語版,
6,DATASET,stg_yamap_pois,ヤマップ,60,ヤマップ（YAMAP）,
7,DATASET,stg_yamareco_pois,ヤマレコ,90,ヤマレコ（Yamareco）,
9,DATASET,stg_legacy_pois,その他,100,その他（独自選定・個別資料）,
10,BOOK,stg_book_web_pois,静岡の百山,50,静岡百山研究会 編『静岡の百山』（1991）,http://id.ndl.go.jp/bib/000002152914
11,BOOK,stg_book_web_pois,石川の山,50,石川の山編集委員会 編『石川の山』（1989）,http://id.ndl.go.jp/bib/000002016598
12,BOOK,stg_book_web_pois,大分の山,50,梅木秀徳 編著『大分の山 : 大分県主要山岳丘陵一覧』（1987）,http://id.ndl.go.jp/bib/000001972726
13,BOOK,stg_book_web_pois,大分300山超,45,菅博行 著『大分三百山超 : 大分のかくれた名山たち : 登山ガイド. 第2集』（2022）,http://id.ndl.go.jp/bib/032087116
14,BOOK,stg_book_web_pois,大分250山超,45,菅博行 著『大分二百五十山超 : 登山ガイド : 大分のかくれた名山たち第一集』（2023）,http://id.ndl.go.jp/bib/032842477
15,BOOK,stg_book_web_pois,奈良名山案内,50,エスカルゴ山の会関西支部 編著『奈良名山案内 : 世界遺産の峰めぐり』（2014）,http://id.ndl.go.jp/bib/025575741
16,BOOK,stg_book_web_pois,富山県山名録,45,"橋本廣, 佐伯邦夫 編『富山県山名録』（2001）",http://id.ndl.go.jp/bib/000003001579
17,BOOK,stg_book_web_pois,福井の山150,50,増永迪男 著『福井の山150』（1989）,http://id.ndl.go.jp/bib/000002022656
