raw_id,name,kana,name_fixed,kana_fixed,mountain_id,description
29388-11886-0,ウェンシリ岳,うぇんしりだけ,ウエンシリ岳,うえんしりだけ,26,地図上の表記に修正
29382-12097-0,１８３９峰,いっぱさんきゅうほう,1839峰,いっぱさんきゅうほう,81,全角数字を半角数字に変換
29191-12572-0,薬莱山,やくらいさん,薬萊山,やくらいさん,207,地図上の表記に修正
29108-12560-0,金峰山,きんぼうさん,金峯山,きんぼうさん,230,地図上の表記に修正
28246-13260-0,八重岳,くらたけ,倉岳,くらたけ,1034,データ誤り
28211-13431-2,八重岳,やぐらだけ,櫓岳,やぐらだけ,1039,データ誤り
28930-12906-0,烏帽子ヶ岳,えぼしがだけ,烏帽子岳,えぼしだけ,1430,地図上の表記に修正
28945-12892-0,高鳥谷山,たかずややま,高烏谷山,たかずややま,1748,地図上の表記に修正
29404-12123-0,野塚岳,のつかだけ,野塚岳,のつかだけ,3702,旧字「塚」を変更
29212-12035-0,阿女ます岳,あめますだけ,阿女鱒岳,あめますだけ,3755,地図上の表記に修正
29350-11933-0,突しょう山,とつしょうざん,突哨山,とつしょうざん,4262,地図上の表記に修正
29419-11922-0,辺留加蜂,へるかみね,辺留加峰,へるかみね,4381,データ誤り
29062-12719-0,石へつり沢山,いしへつりさわやま,石岪沢山,いしへつりさわやま,4814,地図上の表記に修正
29142-12543-0,堂ヶ蜂山,どうがみねさん,堂ヶ峰山,どうがみねさん,5176,データ誤り
29251-12446-0,兜明神獄,かぶとみょうじんごく,兜明神岳,かぶとみょうじんだけ,6292,データ誤り
29208-12285-0,芽岳,かやだけ,茅岳,かやだけ,7045,データ誤り
28764-12898-0,栄螺が岳,さざえがだけ,蠑螺が岳,さざえがだけ,7234,地図上の表記に修正
28963-12735-1,砦殿山,いわどのさん,岩殿山,いわどのさん,7999,データ誤り
29046-12670-0,菩堤寺山,ぼだいじやま,菩提寺山,ぼだいじやま,8346,データ誤り
28918-12984-0,天日山,てんにちやま,大日山,だいにちざん,8942,データ誤り？
28627-13004-1,嫦峨山,じょうがさん,嫦娥山,じょうがさん,10238,データ誤り
28433-13016-0,牛ヶ首山,うしがくびやま,牛が首山,うしがくびやま,11936,地図上の表記に修正
28435-13011-0,樋佐毛川,ひさげがわ,樋佐毛山,ひさげやま,12037,データ誤り
28456-12964-2,太平山,たいへいざん,大平山,おおひらやま,12293,地図上の表記に修正
28323-13360-0,笠祓岳,かさぎだけ,笠祇岳,かさぎだけ,14202,地図上の表記に修正
28196-13245-1,祗園山,ぎおんやま,祇園山,ぎおんやま,14297,地図上の表記に修正
28347-13276-0,失筈岳,やはずだけ,矢筈岳,やはずだけ,14582,データ誤り
28354-13231-0,鋒岳,ほこだけ,鉾岳,ほこだけ,15149,地図上の表記に修正
