raw_id,name,kana,name_fixed,kana_fixed
29025-12902-0,雁ケ腹摺山,がんがはらすりやま,雁ヶ腹摺山,がんがはらすりやま
28491-13063-1,鷲ケ頭山,わしがとうざん,鷲ヶ頭山,わしがとうざん
29053-12805-0,駒ケ岳,こまがたけ,駒ヶ岳,こまがたけ
29023-12900-0,牛奥ノ雁ケ腹摺山,うしおくのがんがはらすりやま,牛奥ノ雁ヶ腹摺山,うしおくのがんがはらすりやま
28814-12882-0,堂ケ辻山,どうがつじやま,堂ヶ辻山,どうがつじやま
28705-13063-0,最初ケ峰,さいしょがみね,最初ヶ峰,さいしょがみね
29017-12910-0,笹子雁ケ腹摺山,ささごがんがはらすりやま,笹子雁ヶ腹摺山,ささごがんがはらすりやま
28468-12932-2,鶏ケ烏帽子,とりがえぼし,鶏ヶ烏帽子,とりがえぼし
28491-13145-0,正木の森,まさきのもり,正木ノ森,まさきのもり
29404-12123-0,野塚岳,のつかだけ,野塚岳,のづかだけ
28233-13373-0,西の丘,にしのおか,西ノ丘,にしのおか
29218-12431-0,七ツ頭山,ななつがしらやま,七ツ頭山,ななつがしらやま
29050-13065-0,櫛ヶ峯,くしがみね,櫛ヶ峰,くしがみね
28433-13016-0,牛ヶ首山,うしがくびやま,牛が首山,うしがくびやま
29219-12440-1,三手ノ森,さんてのもり,三手の森,みてのもり
