group_id,parent_name,parent_kana,child_id,child_name,relation_type,is_representative
1,大雪山,だいせつさん,35,旭岳,AREA_TO_PEAK,1
2,有珠山,うすざん,110,大有珠,AREA_TO_PEAK,1
3,駒ヶ岳,こまがたけ,117,剣ヶ峯,AREA_TO_PEAK,1
4,八甲田山,はっこうださん,156,大岳,AREA_TO_PEAK,1
5,戸来岳,へらいだけ,159,三ッ岳,AREA_TO_PEAK,1
6,岩手山,いわてさん,171,薬師岳,AREA_TO_PEAK,1
7,駒ヶ岳,こまがたけ,173,男女岳,AREA_TO_PEAK,1
8,鳥海山,ちょうかいさん,185,新山,AREA_TO_PEAK,1
9,甑山,こしきやま,187,男甑山,AREA_TO_PEAK,1
10,加無山,かぶやま,188,男加無山,AREA_TO_PEAK,1
11,蔵王山,ざおうざん,212,熊野岳,AREA_TO_PEAK,1
12,吾妻山,あづまやま,219,西吾妻山,AREA_TO_PEAK,1
13,朝日岳,あさひだけ,237,大朝日岳,AREA_TO_PEAK,1
14,筑波山,つくばさん,263,女体山,AREA_TO_PEAK,1
15,那須岳,なすだけ,265,茶臼岳,AREA_TO_PEAK,1
16,高原山,たかはらやま,268,釈迦ヶ岳,AREA_TO_PEAK,1
17,赤城山,あかぎやま,279,黒檜山,AREA_TO_PEAK,1
18,七ヶ岳,ななつがたけ,283,一番岳,AREA_TO_PEAK,1
19,燧ヶ岳,ひうちがたけ,294,柴安嵓,AREA_TO_PEAK,1
20,武尊山,ほたかやま,296,沖武尊,AREA_TO_PEAK,1
21,守門岳,すもんだけ,300,袴岳,AREA_TO_PEAK,1
22,八海山,はっかいさん,305,入道岳,AREA_TO_PEAK,1
23,谷川岳,たにがわだけ,315,オキノ耳,MAIN_TO_SUB_PEAK,1
23,谷川岳,たにがわだけ,17839,トマノ耳,MAIN_TO_SUB_PEAK,0
24,榛名山,はるなさん,338,掃部ヶ岳,AREA_TO_PEAK,1
25,妙義山,みょうぎさん,340,相馬岳,AREA_TO_PEAK,1
26,清澄山,きよすみやま,377,妙見山,AREA_TO_PEAK,1
27,鹿野山,かのうざん,378,白鳥峰,AREA_TO_PEAK,1
28,富士山,ふじさん,396,剣ヶ峯,AREA_TO_PEAK,1
29,愛鷹山,あしたかやま,397,越前岳,AREA_TO_PEAK,1
30,箱根山,はこねやま,400,神山,AREA_TO_PEAK,1
31,天城山,あまぎさん,404,万三郎岳,AREA_TO_PEAK,1
32,三原山,みはらやま,407,三原新山,AREA_TO_PEAK,1
33,美ヶ原,うつくしがはら,440,王ヶ頭,AREA_TO_PEAK,1
34,霧ヶ峰,きりがみね,442,車山,AREA_TO_PEAK,1
35,八ヶ岳,やつがたけ,450,赤岳,AREA_TO_PEAK,1
36,鹿島槍ヶ岳,かしまやりがたけ,472,南峰,MAIN_TO_SUB_PEAK,1
36,鹿島槍ヶ岳,かしまやりがたけ,2281,北峰,MAIN_TO_SUB_PEAK,0
37,立山,たてやま,502,大汝山,AREA_TO_PEAK,1
38,大滝山,おおたきやま,529,北峰,MAIN_TO_SUB_PEAK,1
38,大滝山,おおたきやま,28755,南峰,MAIN_TO_SUB_PEAK,0
39,穂高岳,ほたかだけ,539,奥穂高岳,AREA_TO_PEAK,1
40,乗鞍岳,のりくらだけ,546,剣ヶ峰,AREA_TO_PEAK,1
41,御嶽山,おんたけさん,549,剣ヶ峰,AREA_TO_PEAK,1
42,鳳凰山,ほうおうざん,585,観音ヶ岳,AREA_TO_PEAK,1
43,荒川岳,あらかわだけ,615,中岳,AREA_TO_PEAK,1
44,聖岳,ひじりだけ,623,前聖岳,AREA_TO_PEAK,1
45,池口岳,いけぐちだけ,628,北峰,MAIN_TO_SUB_PEAK,1
