src_char,dst_char
罒,㓁
𦉰,㓁
幮,㡡
纑,䋆
鼃,䵷
弌,一
萬,万
𠀋,丈
弎,三
丄,上
丅,下
與,与
丒,丑
丗,世
卋,世
坵,丘
两,両
兩,両
傡,並
竝,並
乘,乗
椉,乗
亂,乱
乹,乾
龜,亀
豫,予
爭,争
亊,事
叓,事
弍,二
亙,亘
亞,亜
焏,亟
兦,亡
亯,享
亰,京
佛,仏
仭,仞
彴,仢
假,仮
傠,伐
牫,伐
會,会
倅,伜
傳,伝
侐,伵
佀,似
怔,佂
竚,佇
仾,低
躰,体
軆,体
骵,体
體,体
餘,余
做,作
侫,佞
儞,你
倂,併
價,価
侮,侮
矦,侯
爼,俎
悓,俔
侠,俠
訫,信
㑨,俣
俢,修
𠈓,倆
倐,倏
傹,倞
剚,倳
俱,倶
儉,倹
賰,偆
僀,偙
徤,健
傯,偬
僞,偽
仐,傘
僃,備
俲,傚
徱,僄
僲,僊
仂,働
僭,僣
僧,僧
俦,儔
㑪,儕
侭,儘
儹,儧
𠑊,儼
灮,光
炗,光
兊,兌
免,免
兔,兎
莵,兎
兒,児
黨,党
兠,兜
丌,其
兾,冀
冋,冂
圓,円
冄,冉
册,冊
剮,冎
叧,冎
囧,冏
冐,冒
冩,写
寫,写
㝡,冣
寃,冤
羃,冪
冱,冴
沍,冴
洌,冽
淒,凄
凛,凜
凢,凡
處,処
尲,凲
尶,凲
櫈,凳
凾,函
刅,刀
刄,刃
苅,刈
鬀,剃
尅,剋
剷,剗
剥,剝
剱,剣
劍,剣
劒,剣
劔,剣
釼,剣
𠝏,剣
劑,剤
剩,剰
劄,剳
箚,剳
戧,創
刘,劉
㓛,功
伮,努
刧,劫
勵,励
勞,労
效,効
敕,勅
勈,勇
勉,勉
㔟,勢
勤,勤
勸,勧
勛,勲
勳,勲
匀,勻
匇,匆
匞,匠
匩,匡
滙,匯
區,区
醫,医
芔,卉
卑,卑
卆,卒
桌,卓
單,単
嘽,単
巵,卮
夘,卯
卽,即
皍,即
卻,却
賉,卹
厈,厂
庬,厖
垕,厚
厡,原
廁,厠
廈,厦
廚,厨
橱,厨
廏,厩
廐,厩
廝,厮
嚴,厳
厺,去
參,参
叅,参
雙,双
收,収
敍,叙
敘,叙
壡,叡
睿,叡
樷,叢
藂,叢
䑓,台
坮,台
臺,台
號,号
仝,同
呑,吞
呍,吽
吴,呉
咒,呪
詍,呭
咊,和
龢,和
咜,咤
喎,咼
胭,咽
啠,哲
喆,哲
嚞,哲
羋,哶
脣,唇
