mountain_id,name,display_name,description
214,屛風岳,その他,地図上の表記
361,川苔山,数値地図,地図上の表記は「川乗山」
10713,西谷山,京都府山岳総覧,地形図の「西山」は誤り
10817,ハナノ木段山,京都府山岳総覧,地形図の「ハナノ谷段山」は誤り
18026,前袈裟丸山,ヤマレコ,
277,袈裟丸山,栃木273山,袈裟丸山最高点
20961,三峰山,その他,
21928,向山,その他,
21680,横畑,その他,
18472,岩阿沙利山,ヤマップ,地形図の「岩阿砂利山」は誤り
22550,旭岳,ヤマップ,総称「権現岳」を回避
19463,三叉峰,ヤマレコ,総称「横岳」を回避
17880,前仙人ヶ岳,ヤマレコ,
17924,神成山,その他,
20273,泣坂ノ頭,ヤマレコ,
21392,下の浅間山,ヤマレコ,
21773,岩茸山,ヤマレコ,
22358,ガラ沢岳,その他,
22835,東由良ヶ岳,ヤマレコ,
23023,大烏沢ノ頭,その他,
23782,本庄山,ヤマレコ,
19466,三千坊,富山県山名録,
18541,裏寺小屋山,その他,ヤマップの「裏寺子屋山」は誤記
2527,𣘹原山,ヤマレコ,地図上は「たら原山」
6774,糠森,ヤマレコ,地図上の「糖森」は誤り
13397,鍛冶屋谷山,その他,地図上の「鍛治屋谷山」は誤り
13437,鍛冶ヶ峰,ヤマレコ,地図上の「鍛治ヶ峰」は誤り
8501,三本橅山,数値地図,地形図上の三本撫山は誤記
2596,尼巌山,数値地図,地形図上の「尼厳山」は誤り
