item,itemLabel,coord,elevation,nativeLabel,kanaQualifier,wikipedia_url
http://www.wikidata.org/entity/Q100527571,桜山 (群馬県),Point(139.021166666 36.161694444),591,,,https://ja.wikipedia.org/wiki/%E6%A1%9C%E5%B1%B1_(%E7%BE%A4%E9%A6%AC%E7%9C%8C)
http://www.wikidata.org/entity/Q100527571,桜山 (群馬県),Point(139.02116667 36.16169444),591,,,https://ja.wikipedia.org/wiki/%E6%A1%9C%E5%B1%B1_(%E7%BE%A4%E9%A6%AC%E7%9C%8C)
http://www.wikidata.org/entity/Q101097333,半月山,Point(139.475917 36.710861),1753,,,https://ja.wikipedia.org/wiki/%E5%8D%8A%E6%9C%88%E5%B1%B1
http://www.wikidata.org/entity/Q101584131,姫神山 (長崎県),,,,,https://ja.wikipedia.org/wiki/%E5%A7%AB%E7%A5%9E%E5%B1%B1_(%E9%95%B7%E5%B4%8E%E7%9C%8C)
http://www.wikidata.org/entity/Q102432126,筆ノ山,Point(133.763558333 34.221791666),296,,,https://ja.wikipedia.org/wiki/%E7%AD%86%E3%83%8E%E5%B1%B1
http://www.wikidata.org/entity/Q102432160,大明神山,,2082.8,,,https://ja.wikipedia.org/wiki/%E5%A4%A7%E6%98%8E%E7%A5%9E%E5%B1%B1_(%E5%AF%8C%E5%B1%B1%E7%9C%8C)
http://www.wikidata.org/entity/Q102432210,仰烏帽子山,,1302,,,https://ja.wikipedia.org/wiki/%E4%BB%B0%E7%83%8F%E5%B8%BD%E5%AD%90%E5%B1%B1
http://www.wikidata.org/entity/Q103285093,石裂山,Point(139.581388888 36.597222222),1020,,,https://ja.wikipedia.org/wiki/%E7%9F%B3%E8%A3%82%E5%B1%B1
http://www.wikidata.org/entity/Q1036938,吉野山,Point(135.870616666 34.356433333),678,吉野山,よしのやま,https://ja.wikipedia.org/wiki/%E5%90%89%E9%87%8E%E5%B1%B1
http://www.wikidata.org/entity/Q1036938,吉野山,Point(135.8773 34.3504),678,吉野山,よしのやま,https://ja.wikipedia.org/wiki/%E5%90%89%E9%87%8E%E5%B1%B1
http://www.wikidata.org/entity/Q1036938,吉野山,Point(135.870616666 34.356433333),350,吉野山,よしのやま,https://ja.wikipedia.org/wiki/%E5%90%89%E9%87%8E%E5%B1%B1
http://www.wikidata.org/entity/Q1036938,吉野山,Point(135.8773 34.3504),350,吉野山,よしのやま,https://ja.wikipedia.org/wiki/%E5%90%89%E9%87%8E%E5%B1%B1
http://www.wikidata.org/entity/Q103888095,笠ヶ岳,Point(138.481461111 36.676486111),2076,,,https://ja.wikipedia.org/wiki/%E7%AC%A0%E3%83%B6%E5%B2%B3_(%E9%95%B7%E9%87%8E%E7%9C%8C)
http://www.wikidata.org/entity/Q10395095,湘南平,Point(139.30972222 35.32055556),,,,https://ja.wikipedia.org/wiki/%E6%B9%98%E5%8D%97%E5%B9%B3
http://www.wikidata.org/entity/Q104528391,光明山 (新潟県),Point(139.219194444 37.477638888),879,,,https://ja.wikipedia.org/wiki/%E5%85%89%E6%98%8E%E5%B1%B1_(%E6%96%B0%E6%BD%9F%E7%9C%8C)
http://www.wikidata.org/entity/Q104533448,世田山,Point(133.04145 33.977480555),339,,,https://ja.wikipedia.org/wiki/%E4%B8%96%E7%94%B0%E5%B1%B1
http://www.wikidata.org/entity/Q104601308,小白木峰,Point(137.092778 36.396944),1437,,,https://ja.wikipedia.org/wiki/%E5%B0%8F%E7%99%BD%E6%9C%A8%E5%B3%B0
http://www.wikidata.org/entity/Q104650530,長峰山 (安曇野市),Point(137.940916666 36.33575),933.4,,,https://ja.wikipedia.org/wiki/%E9%95%B7%E5%B3%B0%E5%B1%B1_(%E5%AE%89%E6%9B%87%E9%87%8E%E5%B8%82)
http://www.wikidata.org/entity/Q105001667,荒川岳,Point(138.182222222 35.500555555),3141,,,https://ja.wikipedia.org/wiki/%E8%8D%92%E5%B7%9D%E5%B2%B3
http://www.wikidata.org/entity/Q105745443,両崖山,,251,,,https://ja.wikipedia.org/wiki/%E4%B8%A1%E5%B4%96%E5%B1%B1
http://www.wikidata.org/entity/Q105941635,鳴門山,Point(134.640138888 34.237055555),98.6,,,https://ja.wikipedia.org/wiki/%E9%B3%B4%E9%96%80%E5%B1%B1
