item,extract
http://www.wikidata.org/entity/Q100527571,桜山（さくらやま）は、群馬県藤岡市にある標高591mの山。
http://www.wikidata.org/entity/Q101097333,半月山（はんげつやま、はんげつさん）は、栃木県日光市にある山。
http://www.wikidata.org/entity/Q101584131,姫神山（ひめがみやま）は、長崎県対馬市美津島町緒方にある山。
http://www.wikidata.org/entity/Q102432126,筆ノ山（ふでのやま）は、香川県善通寺市に座する標高296mの山。
http://www.wikidata.org/entity/Q102432160,大明神山（だいみょうじんやま）は、富山県魚津市にある山。
http://www.wikidata.org/entity/Q102432210,仰烏帽子山（のけえぼしやま）は、九州山地の南部にある日本の山。
http://www.wikidata.org/entity/Q103285093,石裂山（おざくさん、尾鑿山）は、栃木県鹿沼市入粟野、同市上久我にまたがる標高879mの山。
http://www.wikidata.org/entity/Q1036938,吉野山（よしのやま）は、奈良県の中央部・吉野郡吉野町にある吉野川（紀の川）南岸から大峰山脈へと南北に続く約8キロメートルに及ぶ尾根続きの山稜の総称、または金峯山寺を中心とした社寺が点在する地域の広域地名である。
http://www.wikidata.org/entity/Q103888095,"笠ヶ岳（かさがたけ）は、長野県下高井郡山ノ内町と上高井郡高山村の境にある標高2,076mの山。"
http://www.wikidata.org/entity/Q10395095,湘南平（しょうなんだいら）は、神奈川県の平塚市と大磯町の境にある標高約180mの泡垂山（あわたらやま）の山頂一帯を指す地名。
http://www.wikidata.org/entity/Q104528391,光明山（こうみょうさん）は新潟県三条市にある山。
http://www.wikidata.org/entity/Q104533448,世田山（せたやま）は、愛媛県西条市に座する標高339mの山で、笠松山（かさまつやま 標高357m）は当山と同じ山塊の北西約1.5kmのところにあり、両山の稜線中間地点の標高327.8mに二等三角点笠松山がある。
http://www.wikidata.org/entity/Q104601308,"小白木峰（こしらきみね）は、岐阜県飛騨市と富山県富山市にまたがる飛騨高地の標高1,436.6 mの山。"
http://www.wikidata.org/entity/Q104650530,長峰山（ながみねやま）は、長野県安曇野市明科にある山。
http://www.wikidata.org/entity/Q105001667,荒川岳（あらかわだけ）は、南アルプス国立公園内の赤石山脈（南アルプス）中央部にある前岳、中岳、悪沢岳（東岳）の3つの山の総称。
http://www.wikidata.org/entity/Q105745443,両崖山（りょうがいさん）は、栃木県足利市にある標高251mの山。
http://www.wikidata.org/entity/Q105941635,鳴門山（なるとやま）は、徳島県鳴門市の大毛島に位置する山である。
http://www.wikidata.org/entity/Q106236168,高取山（たかとりやま）は、丹沢の東部に位置し、神奈川県厚木市、愛甲郡清川村の境にある標高522mの山。
http://www.wikidata.org/entity/Q106599623,五十人山（ごじゅうにんやま）は、福島県双葉郡葛尾村と田村市にまたがる阿武隈高地に属する山。
http://www.wikidata.org/entity/Q106619076,"高塚山（たかつかやま）は、静岡県浜松市天竜区水窪町にある標高1,621mの山。"
http://www.wikidata.org/entity/Q1067417,箱根山（はこねやま）は、日本の神奈川県足柄下郡箱根町を中心に、神奈川県と静岡県にまたがる火山の総称である（内訳は『主な山』節参照）。
http://www.wikidata.org/entity/Q106772772,後鉢巻山（うしろはちまきやま）は、兵庫県神戸市、西宮市、芦屋市にある六甲山系の山。
http://www.wikidata.org/entity/Q106809257,本宮山（ほんぐうざん）は、島根県松江市北西部に位置する山である。
http://www.wikidata.org/entity/Q106863728,戸室山（とむろさん、とむろやま）は、栃木県宇都宮市大谷町にある標高228mの山。
http://www.wikidata.org/entity/Q107198286,徳楽山（とくらさん）は、京都府京丹後市網野町三津と丹後町徳光と丹後町間人字砂方にまたがる境界の山。
http://www.wikidata.org/entity/Q107282051,貧乏山（びんぼうやま）は北海道七飯町にある山。
http://www.wikidata.org/entity/Q107297838,社山（しゃざん）は、栃木県日光市と足尾町（現日光市）の境界にそびえる山。
http://www.wikidata.org/entity/Q107421408,七ッ山（ななつやま）は、徳島県徳島市八万町にある山である。
http://www.wikidata.org/entity/Q107539259,経ヶ峰（きょうがみね）は、三重県津市安濃町、芸濃町、美里町をまたぐ標高およそ819メートルの独立峰である。
http://www.wikidata.org/entity/Q107978578,鬼ヶ城山（おにがじょうやま）は長野県下伊那郡喬木村にある山。
http://www.wikidata.org/entity/Q108395246,妙法ヶ岳（みょうほうがたけ）は、岐阜県揖斐郡揖斐川町 にある標高666.8 mの山。
http://www.wikidata.org/entity/Q10859199,明星ヶ岳（みょうじょうがたけ）は、神奈川県小田原市と箱根町の境にある標高924mの山で、箱根山の古期外輪山の一峰である。
http://www.wikidata.org/entity/Q10860561,鷹取山（たかとりやま）は、神奈川県横須賀市北部の逗子市との境にある海抜139メートルの山（孤立丘）。
http://www.wikidata.org/entity/Q10865239,三上山（みかみやま）は、滋賀県野洲市三上にある山。
http://www.wikidata.org/entity/Q10871707,嵐山（あらしやま）は、神奈川県相模原市緑区にある山である。
http://www.wikidata.org/entity/Q10871727,六ツ石山（むついしやま）は、東京都西多摩郡奥多摩町にある山である。
http://www.wikidata.org/entity/Q10871739,蕎麦粒山（そばつぶやま）は、日本の関東地方中部に位置し、東京都西多摩郡奥多摩町と埼玉県秩父市の境界（都県境）に所在する山。
http://www.wikidata.org/entity/Q10871744,川苔山または川乗山（かわのりやま）は、東京都西多摩郡奥多摩町にある標高1363.3mの山。
http://www.wikidata.org/entity/Q10871753,"大岳山（おおだけさん、おおたけさん）は、東京都西多摩郡檜原村、奥多摩町の境界、奥多摩山域にある標高1,266.5mの山。"
http://www.wikidata.org/entity/Q10871763,日の出山（ひのでやま）は、東京都青梅市御岳2丁目と東京都西多摩郡日の出町大字大久野の境界に位置する、標高902メートルの山である。
http://www.wikidata.org/entity/Q10871776,御前山（ごぜんやま）は、東京都西多摩郡奥多摩町、檜原村の境界、奥多摩山域にある標高1405mの山。
http://www.wikidata.org/entity/Q10871785,"三頭山（みとうさん）は、東京都西多摩郡奥多摩町・檜原村、山梨県上野原市、北都留郡小菅村にまたがる標高1,531mの山。"
http://www.wikidata.org/entity/Q10871822,"鍋割山（なべわりやま）は、丹沢大山国定公園に含まれ、丹沢山地の南部に聳える標高1,272メートルの山である。"
http://www.wikidata.org/entity/Q10871840,"大室山（おおむろやま・地形図「おおむろざん」）は丹沢山地北部、山梨県と神奈川県の境にある標高1,587 mの山。"
http://www.wikidata.org/entity/Q10871854,菰釣山（こもつるしやま）は、丹沢山地西部の甲相国境尾根上にある山である。
http://www.wikidata.org/entity/Q10871866,"焼山（やけやま）は、丹沢主脈の北端にある標高1,060mの山である。"
http://www.wikidata.org/entity/Q10871880,"檜岳（ひのきだっか）は、丹沢山地南部の檜岳山稜に位置する標高1,167 mの山である。"
http://www.wikidata.org/entity/Q10871895,高松山（たかまつやま）は、神奈川県厚木市にある標高147mの山。
http://www.wikidata.org/entity/Q10871905,弘法山（こうぼうやま）は、神奈川県秦野市東部にある標高235 mの山である。
http://www.wikidata.org/entity/Q10871917,"明神ヶ岳（みょうじんがたけ）は神奈川県南足柄市と箱根町の境にある標高1,169mの山で、箱根山の古期外輪山の一峰である。"
http://www.wikidata.org/entity/Q10871928,"神山（かみやま）は神奈川県足柄下郡箱根町にある標高1,438mの山で、箱根山の最高峰である。"
http://www.wikidata.org/entity/Q10871940,"三国山（みくにやま）は、神奈川県足柄下郡箱根町と静岡県裾野市とをまたぐ標高1,101.8mの山である。"
http://www.wikidata.org/entity/Q10871952,"鷹ノ巣山（たかのすやま）は東京都西多摩郡奥多摩町にある標高1,736.6mの山である。"
http://www.wikidata.org/entity/Q10871964,石垣山（いしがきやま）は、神奈川県小田原市にある山。
http://www.wikidata.org/entity/Q10871978,辺室山（へんむろやま）は、丹沢山地の東部に位置する標高644.3mの山である。
http://www.wikidata.org/entity/Q10871989,経ヶ岳（きょうがたけ）は、丹沢山地の東部にある標高633 mの山。
http://www.wikidata.org/entity/Q10872001,仏果山（ぶっかさん）は、丹沢山地の東部に位置する標高747 mの山。
http://www.wikidata.org/entity/Q10872015,石老山（せきろうさん）は丹沢山地の北部、神奈川県相模原市緑区にある標高702mの山である。
http://www.wikidata.org/entity/Q10872033,生藤山（しょうとうさん）は、笹尾根にある標高990.3mの山。
http://www.wikidata.org/entity/Q10872086,大丸山（おおまるやま）は、神奈川県横浜市にある標高156.8メートルの山である。
http://www.wikidata.org/entity/Q10872095,円海山（えんかいざん）は、神奈川県横浜市磯子区に位置する三浦丘陵の北端部の山。
http://www.wikidata.org/entity/Q10872107,大楠山（おおぐすやま）は、神奈川県横須賀市西部にある海抜241.3mの山である。
http://www.wikidata.org/entity/Q10872115,武山（たけやま）とは、横須賀市南部に位置する海抜206.1mの山である。
http://www.wikidata.org/entity/Q10872144,景信山（かげのぶやま）は、笹尾根にある標高727.1mの山。
